Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucius.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	As Albucius begins his words, since he has compiled this book for you as the final work of medicine, by completing it I see that it will be an end to it, and through its explanations and clarifications, it seems fitting for me to complete this treatise on surgery for you.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is entirely destroyed in our region and in our time, so that the science of it suffers great danger and its tools are lost; except for a few small descriptions in the books of the ancients, which have been misinterpreted and led to error and uncertainty until the meanings of them are closed and the strength and art prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that I will bring this treatise to life according to the method of explanation and clarification and abbreviation; and for the forms of the instruments of cautery and the other tools of work as well, with the addition of description, and for the preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Moreover, the reason why a good craftsman cannot be found in this time is because medicine is long, and that its practitioner must first be experienced in the science of anatomy which includes knowing the joints and shapes of the members; and having knowledge of bones, nerves and ligaments, and their numbers and origins; and recognizing the arteries pulsating and quiet ones, and the locations for bleeding them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said with his name "art," but in small work, and even more so in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Moreover, we have already said about that in the introduction of this book; because whoever is not knowledgeable about what I have said concerning anatomy, cannot avoid falling into error, so that many men have died in this way as I have seen often, for some are unskilled in this science and take themselves to be without it and its experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced doctor make an abscess called scrophilus on a woman's neck, and cut some arteries of the neck so that much blood flowed out, until the woman died among those present.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who thought he could extract a stone from a man's body, which was in its state, and the stone was large, and it came out and cut through the bladder with it, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for him to extract it, and saw that due to the size of the stone and the position of the patient he would die as a result.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took payment from a duke of our land for surgery and approached a negro slave who had a broken thigh; and with his ignorance he prepared the doctor, extracted the fracture through the wound, using pulley devices and strong rods, but did not allow the wound to breathe.
