Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Since I have completed this book for you, which is the last of the knowledge of medicine, by completing it, its purpose will be accomplished in it, and by exposing it, and by declaring it, I see that I should complete this treatise for you, which deals with surgery, as part of my art.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery has been abandoned in our region and in these times entirely, except by a few who greatly risk the science of it, and its tools are lost; not remaining from it except some small descriptions in the books of the Ancients, which were changed and led to those errors and distress until their meanings were closed up and their force was weakened and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I shall vivify this treatise in the manner of exposition and declaration and abbreviation; and so that it comes with the forms of the cautery tools and other instruments of work, as by adding a description, and by preparing them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Yet the reason why a good craftsman is not found with his art in this our time, is because the art of medicine is long, and that its practitioner must be exercised in the science of anatomy, which includes Gaul until he knows the joints of the members and their forms; and have knowledge of bones, nerves, ligaments, and their number, and the origin of them; and of the pulsating veins and quiet ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And by this it is said that "a word is a small thing", but more in the work of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about this in the introduction of this book; for whoever does not know what we have said about anatomy, is not equipped that he does not fall into error by which many men are killed, as I have seen often, for some are trained in this science and withdraw from it and its experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced doctor make an abscess called scrophulus in the neck of a woman, and cut some arteries of the neck, causing much blood to flow until the woman fell dead among them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who thought he would extract a stone from a man who was in his state, and the stone was large, and came to him and cut out that stone with a piece of the bladder, by which the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already called to extract it, and saw that due to the size of the stone and the position of the patient he knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipend from a duke of our land for surgery, and went to a blacksmith who was owing him for a fracture in his leg; and prepared the doctor with his ignorance, extracted the fracture, on the wound, with tendons and nails with strong construction, and did not let air into the wound.
