Ayssi comensan las paraulas de Albucasim .	Thus, the sentence begins with the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Therefore, my sons, since I have committed this book to you, which is the last in the science of medicine, by its completion it shall be completed through you, and by its explanations, and by its declarations, it is evident to me that I commit this treatise on surgery to you.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since surgery is almost completely abandoned in our region and in our times, it is greatly endangered by peril, and the science of it is lost; there remains only a few small descriptions in the books of the ancients, which are misunderstood and lead to error and confusion before their intentions and power are understood and their art is extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It appears to me that I will organize this treatise in the second way, through explanation and declaration and abbreviation; and because it comes with the shapes of the cautery tools and other instruments of the work, along with the addition of the declaration, and the preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	However, the reason that a good craftsman is not found with his skill in our times, is because the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which includes understanding the joints and forms of the members; knowing the connection and separation of them; having knowledge of bones, nerves and ligaments, their number, and their function; and the origin of blood vessels, quiet vessels, and pulsating ones; and the location of their emergence.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said, "A name is nothing, but in the work it is much, and especially in the art of the hand."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	However, we have already said this in the introduction of this book; because whoever is not acquainted with what we have said about anatomy, is not fit to avoid error and risk causing death for men, as I have seen many times, because some are uneducated in this science and abandon it without its knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because I saw a foolish and experienced doctor make an abscess called scrophulus on the neck of a woman, and he cut some arteries in her neck, causing a large amount of blood to flow, which resulted in the woman dying among others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out a stone from a man's body that had been suffering from the disease for some time, and the stone was large; he came to him and removed the stone with a piece of the bladder, causing the man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I myself called for it to be opened, and I saw that due to the size of the stone and the condition of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took payment from a duke of our land for surgery, and he treated a blacksmith who had a fracture in his thigh; and the doctor prepared himself with his ignorance, cut open the fracture with pulvines and pins with strong construction, but did not let the wound breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Approach the wound according to their wishes, and close it, and let it dry for several days and command that we unbind it; and this way it will be until the flesh and limb are healed, and it may lead to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	Then you should be called to it, and prepared to undo the bandage, and wait for peace and let him endure his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption was already confirmed in the member, so it could not be stopped, and the corruption spread through the member until the patient is in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor found an abscess cancerous, and it became ulcerated near some days, until the evilness of it was magnified by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancerous tumor is full of melancholic humor, so it may not spread to everything, but only to an area that suffers from it all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my sons, it is necessary that the operation be divided into two divisions: one is the operation associated with health, and another is the work in which there is the greatest risk of danger.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already experienced this in all places of this book in which there is an operation in which there is error and fear; therefore, it is necessary for you to guard against this and let go of it, so that the fools do not take a wrong path and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your weapons with solicitude and with the protection of God, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Take the best path for God's grace to lose and attain salvation and laudable succession, and leave behind the terrible illnesses of difficult healing, and withdraw your weapons from what terrifies you, so that examination in your faith and in your name does not mislead you: for more remains for your glory, and thus also in this world and forever to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gaulia then said in some of her monasteries:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat evil illnesses, so that bad doctors are not named".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and it starts with the first section of the first division.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered for the foot, in the forms of instruments and in the ironwork of the cauteries, and about what is necessary in the operation.
La divisio de la segonda partida.	The division of the second division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cysts and perforations, and of abscesses, and of plagues, and of extraction of sacs and similar to those, all in one chapter and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third division.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is ordered for the restoration and dislocation, and cure of twists and similar to those; the chapter is divided into the foot, and forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and acute medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	It begins with the treatment of everything in the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I say the quality of the benefits and harms of this cautery, and in what kind of circumstances cautery should be prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I will say that the discussion of the benefit of cautery and its harm is a long, intricate, and subtle discourse, and secretly hidden; and many wise people have spoken about it, and they have disagreed with each other, and my words are among the few of theirs, fearing tediousness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery applies universally to all matter or substances, except for two cases, which are cases of caution without substance.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry and desiccated matter with substance, there is disagreement; for some say that cautery is beneficial in this case, while others say the opposite, that cautery is not appropriate for illnesses of quality and desiccation, because the nature of fire is of quality and desiccation, and it is appropriate that dry and desiccated matter that is cauterized should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say the opposite of that, that cautery is beneficial in all dry and desiccated illnesses that come into the bodies of men, because when you compare the body of a man and the humidity in it to the nature of fire, you find that the body of a man is extinguished by fire.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say through the discussion of this, that I have experienced this myself on several occasions.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But it is not necessary that this comes to the one who has already been explained and practiced in the chapter of cautery in a previous exercise, and has come to know the diversity of the cases of men and the disposition of illnesses in their bodies, and the causes of these, and the accidents of them, and the time span of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other cases, there is no fear for you, and especially in cold and wet illnesses, because all doctors have agreed on these, and there is no disagreement about the benefit of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Understand, sons, that the secret of healing by cautery with fire and the goodness of it is above cautery as medicine burns, is because the fire is simple, its action does not extend to the member being cauterized except for minor harm to the adjacent member.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of burning medicine spreads to the member adjacent to it, and strong heat brings the disease in the ill member to worsen and accelerate.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its sublimity and the goodness of its substance, does not accomplish this; it is already known to us through experiment and the long duration of study on the art concerning the truth of causes; and because it is not lawful for me to reveal my secret hidden in the fire, and the quality of the operation of it in the body and its expulsion of diseases, philosophical demonstrative speech, which could sharpen your thoughts, I shall abstain.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Understand, sons, that they disagree about the time when it is appropriate to perform cautery and pause in the best time of springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is appropriate in all times, because the harm caused by an accidental time is submerged in the benefit of what the cauterization achieves, and especially if the cauterization is for pains or necessary pains, fistulas, which cannot tolerate delay, it is feared that the evil of those who come with malice, which is greater than minor harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not think in your thoughts, or sons, that this is not believed only by the common people and foolish doctors, because the remedy of that illness which is cured with cauterization does not work at all times, and they pause due to its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think, because cauterization is not simply a medicine that alters the complexion and dries the moisture which is the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauterization exceeds medicine by the desire for its value and virtue of its operation and the greatness of its Lord.
