Ayssi comensan las paraulas de Albucasim .	Thus, the text begins with the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Therefore, my sons, since I have completed this book for you, which is the last of the science of medicine, by complying with it, its end is achieved in it, and by explaining it, and by declaring it, it seems to me that I should complete that treatise for you, which is about surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is utterly deserted in our region and in our time, such that its science is greatly endangered, and its instruments are abandoned; it remains only some small descriptions in the books of the ancients, which have become obscure and lead to errors and confusion until their intentions are closed and their strength and art is prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I shall revive that order of the treatise according to its exposition and declaration and abbreviation; and because it comes with the shapes of cautery instruments and other tools of work along with the addition of a description, as well as their preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	However, the reason why there is not a good artisan with his tools in this time is that the art of medicine is long, and that its practitioner must be exercised in the science of anatomy which includes knowledge of the joints and shapes of the members; and the connection and separation of them; and have knowledge of bones, nerves and ligaments, as well as their number, and the incision of them; and of the arteries that pulse and those that are quiet, and the locations of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said in his words, much depends on the name, but in work, it is even more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	However, we have already said about that in the introduction of this book; for whoever is not skilled in what we have told you about anatomy cannot avoid error, and it causes men to die as I have seen many times, because some are trained in this science and abandon it due to lack of knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a mad and skilled doctor make an abscess called scrophilus in the neck of a woman, and cut some arteries in her neck so that a large amount of blood flowed until the woman died among those present.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out a stone from a man who was in his condition, and the stone was large, and it came to him and cut out that stone with a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for it to be extracted, and saw that due to the size of the stone and the position of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a fee from a duke of our land for surgery, and went to a black prisoner who had a fracture in his thigh; and the doctor prepared himself with ignorance, extracted the fracture, over the wound, with bladders and sticks with strong structure, but did not let the wound breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he wrapped it according to his desires, and applied the dressing, and left him for some days and commanded us to remove the bandages; and thus it was until the thigh and leg became abscessed and came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called for it, prepared to remove the bandages, and achieved calmness and alleviated his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption had already been confirmed in the member, so that it could not stop, and the corruption spread throughout the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who punctured an abscess called cancer, and it became ulcerated in several days, so that the evil of it was magnified by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For the cancer is free of black bile, therefore it is not necessary that it reach the entire body, but rather some member which is hostile to it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my sons, it is necessary that surgery be divided into two categories: one is the operation associated with health, and the other is work associated with danger in greater situations.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already explained this throughout the book in which there is an operation where there is error and fear; therefore it is necessary for you to guard against it and leave it alone, so that fools do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And thus, take up your weapons with diligence and protection of God, and your patients with compassion and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for God's grace to obtain salvation and a favorable outcome, and leave terrible diseases with difficult healing, and abandon the weapons that make you fearful, so that examination in your faith and in your name does not deceive you: for it remains in your glory, and thus in the world and in eternity in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galenus already said in some of his teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat bad diseases, for thus bad doctors will not be named."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and the first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first capital section deals with the feet, their shapes, the instruments used and the ironwork of cauteries, as well as what is necessary in the operation.
La divisio de la segonda partida.	The second division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on abscesses and perforation, fumigation, boils, extraction of stones, and similar issues, all dealt with and organized according to the shapes of the instruments.
Divisio de la tersa partida.	The third division.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and the cure of twisting and similar issues; a section organized concerning the feet and the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterization with fire and acute medicine, as well as recalling the operation.
Am aquel comensa le tractat de tot le libre.	This treatment begins the entire book's discussion.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to discuss the quality of those cauterization remedies and their adverse effects, as well as when cautioning against cauterization is appropriate.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Thus I say that the discussion of the quality of the cauterization remedy and its adverse effects is lengthy, complex, subtle, and secret; it has been spoken about greatly by many wise people, and they disagree on it, but I will only discuss a small part of their discourse, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus I say that cauterization generally involves all materials universally, with the exception of two categories: those that are called cauda without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the category of dry and material-less cauda, there is disagreement; some say that cauterization is beneficial for this condition, while others argue the opposite, stating that cauterization is not suitable for diseases characterized by quality and dryness, because the nature of fire is quality and dryness, and it is inappropriate to treat a dry and material-less cauda with something that is hot and dry.
