Ayssi comensan las paraulas de Albucasim .	"Thus begin the words of Albucasis."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"O, children, since I have completed this book for you, which is the last of medical science, to achieve its completion and purpose, it seems to me that I should fulfill my promise to you with this treatise on surgery."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the art of surgery is greatly neglected in our region and time, and its science has greatly declined, leaving only a few traces behind. And unless it were for some brief descriptions found in the books of the Ancients, which are now muddled and unclear due to changes over time, leading to errors and misconceptions, so that their true meanings are obscured and their strength diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	"And it seems to me that I should revive this art with a well-ordered treatise following the path of explanation, declaration, and abbreviation; also including figures of cautery instruments and other tools used in surgery, both for addition to the explanation and preparation thereof, which is necessary."
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"But the reason why there are few skilled surgeons in our time is because the art of medicine is lengthy, and its practitioner must first be well-exercised in the science of anatomy, which contains knowledge of the joints of members and their shapes, connections, and separations; also knowing the bones, nerves, and sinews, their number, size, and location of the pulsating veins and quiet ones, and the places where they discharge."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"And therefore Hippocrates said that 'in words little, but in deeds much, especially in surgery.'"
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But we have already said this at the beginning of this book: whoever is not knowledgeable about what we have said about anatomy will surely fall into error, causing many deaths among men, as I have seen too often. For some are formed in this science but lack its knowledge and experience."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"For I once saw a foolish and inexperienced doctor who incised an escrofulous abscess in the neck of a woman, cutting some arteries of the neck so that much blood flowed, causing the woman to suddenly die."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another doctor who tried to remove a stone from the bladder of a man who had fallen into that state, and the stone was large. He came upon it and removed that stone with a piece of the bladder wall, causing that man to die on the third day."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I had already foreseen that this would happen, and when I saw the size of the stone and the condition of the patient, I knew for certain that he would die."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another doctor who was paid by our Duke to practice surgery. He attended a blacksmith who had fractured his hip joint; due to the doctor's ignorance, he reduced the fracture with pillows and bandages of great tension, not allowing room for respiration."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"And he kept him bound up according to his desires, and then released him, and allowed him to rest for several days, commanding that the bandages be loosened. And so it happened that the hip joint became inflamed, and the thigh flesh putrefied, resulting in ruin."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"And I was called to him, and I prepared to loosen the bandages. And thus there was tranquility and alleviation of his pain."
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	"But nonetheless, corruption was already confirmed in the member, so that I could not prevent it. The corruption did not cease to spread throughout the limb until the patient perished."
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	"And I saw another doctor who perforated a cancerous abscess. It was soon ulcerated, and the evil of it greatly magnified in its lord."
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	"This is because the cancerous caul is pure of melancholic humor. Therefore, it should not be cauterized with iron in its entirety, but only where necessary on the member that suffers from it."
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	"And therefore, my children, it is necessary for you that the operation with the hand be divided into two parts: one is the operation associated with health, and the other is the work in which there is danger in the greatest situations."
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	"And I have already mentioned this throughout the entire book wherever operation is spoken of where there is danger and fear. Therefore, it is necessary for you to keep watch over this and leave that alone, so that foolish people may not find an opportunity to speak against you."
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	"And therefore take up your weapons with sincerity and protection of God, and deal with illnesses with gentleness and firmness."
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"And use the best way by the grace of God to bring about health and praise-worthy success. Leave behind terrible illnesses that are difficult to cure, and put aside your weapons at that which makes you fearful, so that you may remain steadfast in your faith and in your name: for more remains to your glory, both now and in the future, than in your sanctity."
Gualia ja diyssec en alcunas sieuas monicios:	"Wherefore, as I have said in some of my writings:"
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat illnesses badly, lest you be called bad doctors."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have already divided this book into three parts."
Comensa la divisio del libre, e primier de la primieyra partida.	"Here begins the division of the book, and first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter ordered in this manner: regarding the weights of tools and their shapes, and concerning the instruments for burning, and that which is necessary in operation."
La divisio de la segonda partida.	"Here begins the second part of the division:"
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter: concerning incision and perforation, and of cupping glasses, compresses, and the extraction of arrows and similar things. This chapter is ordered regarding the shapes of instruments."
