Ayssi comensan las paraulas de Albucasim .	"Thus begins the speech of Albucasim."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"Oh, my children, since I have completed this book for you, which is the last of the science of medicine, due to its completion it has come to an end. And because of its explanations and clarifications, it seems to me that I fulfill what I promised to you with this treatise, which deals with surgery by hand."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	"Since the operation by hand is almost entirely lost in our region and time, to such an extent that the science of it is completely forgotten, and only a few descriptions remain in the books of the Ancients, which are now changed hands and have become obsolete due to their errors and mistakes. Therefore, its intentions are closed and its power weakened."
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	"And it seems to me that I should revive this with an ordering of this treatise according to the way of exposition and clarification and abbreviation; and so that it comes with the forms of cautery tools and other instruments of the work, both for addition to the clarification and preparation of it, which is necessary."
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"However, the reason why there is no good craftsman with his own hand in our time is because the art of medicine is long, and its practitioner must be well-trained beforehand in the science of anatomy, which includes knowing the joints of the limbs, their shapes, connections, separations, knowledge of bones, nerves, and muscles, their numbers, arrangements, and locations of pulsating veins and quiet ones."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"And therefore Hippocrates says that 'in the name but not in deed', meaning that he excelled more in writing than in surgery."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But we have already said at the beginning of this book that anyone who does not know what we have said about anatomy will surely fall into error and cause many deaths. For I have seen too many such cases, where some are formed in this science but depart from it without knowledge or experience."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"For I saw a foolish and inexperienced doctor who operated on an abscess in a woman's neck, cutting some arteries of the neck so that much blood flowed out and the woman died immediately."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another doctor who tried to remove a stone from a man's bladder that had become very enlarged. He came and removed that stone along with a piece of the bladder wall, causing the man to die three days later."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I had already predicted that this would happen, for I saw that because of the size of the stone and the disposition of the illness, he would certainly die."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another doctor who was paid by one of our dukes to perform surgery. This doctor approached a blacksmith with a dislocated hip fracture. However, due to his ignorance, he reduced the dislocation improperly using pillows and wedges with great force, not allowing the hip joint any room to breathe."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"And he then relocated the limb according to his desires, but when he reduced it, he immediately released it and left it alone for some days. Then he commanded that the bandages be removed, and thus he caused the hip joint and thigh to become inflamed, leading to ruin."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"And I was called to him, and I prepared to release the bandages. Then he became calm and free from his pains."
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	"But nevertheless, corruption had already established itself in the limb, so that I could not prevent it. And corruption continued to spread throughout the limb until the patient died."
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	"And I saw another doctor who perforated a cancerous abscess. The wound became ulcerated after some days, and the malignancy of it was greatly magnified in the patient."
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	"This is because cancerous tumors are caused by black bile. Therefore, it is not necessary to cauterize them completely with hot iron, but rather to operate on the limb that suffers from it so that it may be hosted."
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	"And therefore, my sons, it is necessary for you to divide surgery into two parts: one part concerns operations associated with health, and the other involves works in which there is great danger in most dispositions."
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	"And I have already stated this in every place throughout this book where there is mention of operations involving error and danger. Therefore, it is necessary for you to guard against that and leave it alone, so that foolish people may not find an opportunity to speak and bring dishonor upon you."
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	"Therefore, take up your arms with diligence and protection from God, and treat your patients with skillfulness and steadfastness."
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"And follow the best path through the grace of God, losing your way to health and success. Leave behind difficult diseases that are hard to cure, and put aside your fears, so that you may remain steadfast in your faith and name: for it is more glorious for you, both here on earth and afterwards, with regard to your sanctity."
Gualia ja diyssec en alcunas sieuas monicios:	"Just as I have stated in some previous discourses:"
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat an illness badly, lest you be named a bad doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have already divided this book into three sections according to its contents."
Comensa la divisio del libre, e primier de la primieyra partida.	"Begin the division of the book, starting with the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter is concerned with the following topics within the first section: the shape of instruments and the forms of cauterizing irons, and what is necessary for surgery."
La divisio de la segonda partida.	"Division of the second part"
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter is about cautery and perforation, cupping glasses, ligatures, extraction of arrows and similar objects, all ordered according to the forms of instruments."
Divisio de la tersa partida.	"Division of the third part"
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter is about reduction and relocation, and treatment of torsion and similar conditions. This chapter is organized according to the shape of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cauterization with fire and medicine, acute remedies, and memorandum on surgery."
Am aquel comensa le tractat de tot le libre.	"With that, begin the discussion of this entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"It is necessary for me to speak about the qualities of those things that are useful and harmful in cauterization, and in what condition cautery is prohibited."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore, I say that the discussion about the qualities of what is useful and harmful in cautery is long and detailed, subtle through science, and secretively concealed. Many wise men have spoken at length about this topic, and they disagree with each other on it. It suffices me to mention a little of their discussions, for fear of prolonging."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"And therefore I say that cautery generally benefits all conditions universally, whether they are material or immaterial, except for two conditions which are without matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the case of a dry and hot complexion with matter that is out of order; for some say that cautery is beneficial for this, while others say the opposite, that cautery is not suitable for an illness that is due to heat and dryness, since fire has qualities of heat and dryness, and it is inappropriate for an illness of a hot and dry nature with matter that is cauterized and dry to be healed in this way."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And he who says the opposite of that, namely that cautery is beneficial in all hot and dry illnesses that occur in human bodies, argues that when you compare the body of man and its humidity to the complexion of fire, you find the body of man very similar."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"I say according to the speech of him, that I have experienced this many times myself."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"However, it is not necessary for me to speak further about this, since the matter has already been thoroughly examined and discussed in the chapter on cautery. And having known the diversity of complexions among men, the disposition of illnesses within them, their causes, accidents, and duration of time, [I have covered] everything."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"But in other complexions, there is no doubt, and especially in hot and humid illnesses, for all physicians agree about them, and they are not in disagreement about the benefit of cautery in those cases."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And know, my son, that the secret of curing with cautery by fire and its effectiveness lies in cautery with burning medicine. For fire is simple, whose action does not extend beyond the member that is cauterized, and it does not harm any other member adjacent to it except with a slight injury."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"But the action of burning medicine extends to those members that are burned by it, and sometimes it causes illness in them that is difficult to cure, and sometimes it even causes death."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"But fire, because of its subtlety and its good substance, does not do anything except superfluous. And we know this through experience and the length of service in study with the art concerning the truth of causes; therefore I am excused from lengthy speech. And if it were not that my book is not yet read in this place, I would conceal from you in this pause a secret about fire, namely the quality of its operation on bodies and its expulsive power by which it expels illnesses, demonstrated with philosophical proof, which would clarify your thoughts."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And know, my son, that they disagree about the time when it is convenient to perform cautery, and they consider the best time to be in spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cautery is convenient at all times, because the harm that may occur by chance is submerged in the benefit of what is attracted by the cautery. And especially if the cautery is performed for pains or necessary operations, such as fistulas, which do not tolerate delay because it is feared that greater malice will come, which is worse than a slight injury entering through time."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And do not think about this, my son, for only the common people and foolish physicians estimate that. For those illnesses that are cured by cautery have a remedy at all times, but they postpone it."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	"And the reason is not as they imagine it to be because cautery is only a substitute for medicine that alters complexion and dries out humidity, which are the cause of pain."
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	"But nevertheless, cautery is superfluous over medicine because of its volatility and virtue of its operation and the greatness of its heat."
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	"But it is possible that the illness returns at some time in the future, depending on the complexion of the patient and the location of the illness, and the virtue of cautery, and what is prepared in the body from the aggregation of its superfluities, and what is received by it in its acquisition through foods and similar causes. But the illness in which cautery is administered should be a subtle one in a member with few superfluities and humidity; thus, cautery for toothache and similar ones does not usually return, but this occurs rarely."
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	"And also the common saying is that cautery is the last resort of medicine, and this saying is truer than they understand it to be because they believe that nothing else profits besides cautery."
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	"But the reason is contrary to this; and the intention that cautery is the last resort of medicine only applies when other methods of cure are tried for certain illnesses, and those medicines do not help, and therefore cautery is administered at the end of the cause, and it profits there."
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	"And from now on understand that cautery is the last resort of medicine, not according to the intention understood by the common people and many foolish physicians."
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	"And the ancients said that cautery with gold is better than cautery with iron, and they did not say this because of anything other than the equality of gold and the subtlety of its substance."
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	"And they said that the place of cautery does not matter, which is not absolutely true because I have seen and proven that this is only the case in some bodies without others, and cautery with it is good and better than with iron, as they said. But when you perform cautery with fire using gold, it is not declared to you because it depends on the quantity of heat that you want from the roughness of the gold, and because it prepares to receive friction; and if you adjust the ignition, the gold will melt in the fire, and some laminae may fall into the fire due to the occupation of the artisan."
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	"And for that reason, cautery with iron should be performed more gently and more moderately according to the virtue of its operation."
