Ayssi comensan las paraulas de Albucasim .	 In English this means: Here come the words from Albucasis
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 The translation of this sentence into English is: O friends, please complete reading this book which is the latest in the science of medicine and by doing so you will contribute to its completion at the end thereof, as well as for the explanations and declarations made therein it is my wish that you shall read and understand this treatise which is part of our craft or surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 This sentence translates to: As the operation is made in our region and at a time of great importance, the knowledge it brings is precious; moreover, its description is short but clear enough that it will clarify all the details about it and extend its length as well as art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 It is advisable that you clarify the order of this treatise through explanation and declaration sections; to include any additional declarations as well as for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 The reason for which there is no good doctor in this time and place could be that the art of medicine is long-lived, so that being an actor on its science of anatomy it may learn from Galenus how to know the youthfulness of members and their shapes, as well as their connection and separation. And if they have bone knowledge nerves and cartilage, and also the number of them, and the extent of theirs, veins pulse and quiet places where the secretion occurs of them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 When you have cut open a patient's abdomen, the first sentence tells us that
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 When you have made an incision in a patient's abdomen, the first sentence means that those who do not know anatomy may be making a mistake which could lead to their death, as can happen when people like them perform such surgeries without proper training and experience in this science.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 When a doctor made an incision in the abdomen of a woman and perforated the appendix there, he also cut some arteries within it so that blood flowed into her abdominal cavity causing her to die between two o's.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 Another doctor prescribed a purgative for a man who had processed into a state of illness and the purge was large, it caused him to vomit and a portion of his intestines came out, causing that man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 You had already seen this and knew that due to the size of the purge and the disposition of the patient who would die as well
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 Another doctor prescribed a strip of black cloth for the surgery and attached it to his fracture in the shoulder; but the ignorance of the surgeon caused the strip to tear away from the wound, over the plate, the ribs, and the spine, causing no breathing.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 When you want to do what you please, and let the other servant go as well, lead the wheel, lay down the lashes for days ahead, and make sure that everything is in place so that no one gets hurt; then come up on top
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 You have requested to do it and will get the relief you need for days ahead with no pain or discomfort
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 If it is necessary to remove corruption from the member in order to prevent its spread into another part of the body, you cannot proceed until
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 There is another doctor who cures ulcers by applying a poultice made of flowers for three days, preventing the malignancy from growing stronger.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 If the cause is because of a melancholic humor that infiltrates each part of the body, then the pain will not go away completely but only from one place where it hurts, leaving all other places untouched.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 In order for that to happen then you need to make an operation in two days: one is the operation which is associated with health and one which is perilously close to being fatal.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 You have already seen this situation in every free place where an operation that is an error and fear occurs. In order to prevent such a thing from happening again you must keep it contained and eliminate the other one, so that others may not stumble upon them and be disturbed.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 And then you take your weapons of solicitude, protection from God, and your illnesses to silence and cease
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And with the help of God's grace you will receive healing and success in your efforts to restore these terrible illnesses that are difficult to cure, and put away the weapons of fear so that salvation in your faith and in your name does not forsake you: for how much remains of your glory, and power among men and women may be preserved by their holiness.
Gualia ja diyssec en alcunas sieuas monicios:	 Then begin the preparation
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not take ill-health as a reason that good doctors should be silenced.
E yeu ja he devesit aquest libre segontz tres capitols.	 You have already completed the three sections.
Comensa la divisio del libre, e primier de la primieyra partida.	 Begin division of the section, and first part of the first chapter.
