Ayssi comensan las paraulas de Albucasim .	 When joints are affected by cold humors
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 I believe that you are looking for the translation of "Albucias" in this context.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 The operation is considered to be of great importance in our region and at this time, because it is very useful to the science of medicine, and its visibility has decreased; therefore, small descriptions are included in ancient books, which have helped to correct many errors and misunderstandings about that procedure and its duration.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 It is advisable to make such a reading of the book in accordance with its exposition and declaration and abbreviation; and by adding instruments for cautery and other tools related to it, so that the declaration can be added as well, and prepared accordingly, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 One of the reasons why medicine is long-lived and important in this time period is that anatomy has developed to a great extent, which helps us understand better the youth of members, their shapes, connections, and separations; it also covers bones, nerves, muscles, names for them, and descriptions.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this reason, Ypocras calls it the "little work" of the larger craft of medicine
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 And those who do not understand anatomy are in danger of making errors that could cost them their lives; as has been seen many times among those who study this science and make it a part of their own knowledge, practice, and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 When a doctor made an incision into the abdomen of a woman and found some arteries there that were bleeding heavily as water flowed out quickly making her die between two stools
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 Another doctor asked for someone who had already been bled in their state to bleed them again and the wound was great, and he did not live long after that, as he died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 You already know that to treat such wounds, and you realize due to the size of it and the condition of the patient's leg, he would die
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 Another doctor who was given a stipend from our land for surgery even set an iron rod that would break the fracture in his thigh; and because of his ignorance he failed to heal it properly over time, breaking down the skin at the incision point, bruising all around it, tearing tendons and muscles as well, but failing to cure it.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 "When you have prepared the place according to their desires, open it up and remove any obstacles that might hinder its use for several days or until they agree on the agreement; after this has been done take away the cushion placed under them and prevent its escape.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 "You have called upon her/him to come here and after agreeing with the terms remove all obstacles that may hinder its use for some time or until they find peace in this agreement.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 "Even though it is confirmed to have entered into the member in order not to hinder its motion or escape from entering that part of the body.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 "And another doctor who performed a cauterization procedure and treated it with great care for several days to prevent the spread of its malice towards the lord thereof.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 "The reason why the gall bladder pain is due to melancholic humors and it cannot be treated completely as if from every other member that suffers must also suffer.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 "Thus, my friend, it is necessary for you to perform the operation in two parts: one is the procedure which associates with health and another procedure that poses great peril on important members.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 "You have already existed in this same place where the operation is performed that brings error and fear: it is necessary for you to keep guard on it and leave the other one so that those who may come along do not pass by speaking of this or causing harm.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 And therefore take your weapons in supplication and protection of God, and your misdeeds to silence and firmness
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And through the help of God's grace you will be saved and praised for success, and overcome the terrible sins with easy relief, and put away your weapons from this so that your faith in and by your name may not fail: for may remain at your glory, power over man and day to your holy virtues.
Gualia ja diyssec en alcunas sieuas monicios:	 And remember the following verses of Scripture:
