Ayssi comensan las paraulas de Albucasim .	 When the joints are affected by cold humors
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 And if it is necessary to make points on the surface of the foot
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 And if it is necessary to make points on the surface of the foot
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And if it is necessary to make points on the surface of the foot
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 And if it is necessary to make points on the surface of the foot
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 It is customary that gout be called by doctors when joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 "You have already opened the space between the patient's thighs and placed a cushion under them. A servant is now positioned on their legs and another on their chest to hold their hands.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 "When a doctor found an abscess in the vagina of a woman and incised some arteries from it to prevent excessive blood loss that could kill her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 "Another doctor prescribed a poultice to someone who had suffered from it in his state, the poultice was large and he wrapped it around his thigh to prevent that poultice causing any more harm.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 "You have already called for care for that, and saw that because of the size of the poultice and the condition of the patient it was likely to be fatal.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 "Another doctor prescribed a stipendium for a duke of our land from surgery, and added a black ribbon to remind him not to fracture the bone in that leg; but he neglected it, broke his promise, overplowed the wound with poultice, burned the skin around it with firebrands, and left out to dry.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 "Then he did things according to his desires, and released the binding, and commanded that we would do it in accordance with our will; and thus began from what is called the beginning of life, and ended with death.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 "You have come to alleviate the pain of your ailments.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 "However, if this corruption is confirmed in the member to prevent it from spreading further and to stop walking around with it on your leg.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 "And I saw another doctor who prescribed a cancerous poultice and applied it daily, in order to cure the malignancy of that member.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 "If the gout is caused by melancholic humors, then it is not to be feared throughout the body but only in that member where you suffer.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 "Therefore, you see, it is necessary to perform the operation in two sessions: one for the member which is associated with health and another for that part of which there are greater possibilities.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 "And you have already seen in every place of this kind where the operation is performed without any error or fear; so it's necessary for you to keep this and set aside that one, lest others stumble on their way and bring about misfortune.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 "So then remember your weapons of self-defense against God, your sins against righteousness, and your transgressions against firmness.
