Ayssi comensan las paraulas de Albucasim .	 When joint pain is caused by cold humors that infiltrate each part of the body,
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 Certainly, O fellow! Please complete this book which is the last of science and medicine for its completion in it and through its disclosures, and by its declarations, I urge you to please comply with that towards this treatise, as it is a part of surgery itself.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 Certainly, O fellow! The operation is now closed in our region and time of private disclosure; it is very light on the science itself, and its witness has ended; and except a few descriptions in ancient books, which can be found, they will correct any errors and clarify any doubts about what we have learned from it and what follows.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 Certainly! You should now translate this treatise following the way of disclosure and declaration, as well as abbreviation; and to be added are the forms of cautery tools and other instruments of that work with its addition of declaration preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 Certainly! The reason for which the artifex failed in our time is that the art of medicine is long and to know from which actor practicing this science anatomy as we continue with Galen into knowing the youth members forms and how they are connected, separated, and have their names listed with their roles.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 "And for this reason Ypocras says that it is called 'major' in the small arts and 'minor' in the large ones.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 "For those who do not understand the anatomy of this matter, they are in error and may die from it as well, just like someone has seen many examples where such things happen frequently when people have no knowledge or understanding of these sciences.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 "When a surgeon found an abscess in the groin of a woman and incised some arteries from it to prevent large blood loss that could kill her among many.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 "Another surgeon decided to remove the tumor of a man in his state, and it was large, and he cut off part of his bladder so that the man would not die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 "You have already appealed to separate that, and saw that because of the size of the tumor and the condition of the patient, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 "Another surgeon who took a stipend from our country for surgery, even set on a black castrating that was to be fractured in the chest of him; and because of his ignorance he fractured it instead over the lungs and the heart, causing him great pain.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 When the patient's desires are known and approved by you, open the door to the bedchamber, make preparations for intercourse, remove any coverings of the body, and after washing yourself properly, enter into it with your partner.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 You have called upon him and he will open the door to make love, after which you both will find tranquility and forget your pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 However, if the corruption is already established in a member and cannot be removed without causing harm to that member or any other part of his body.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 Another doctor who performed a cautery also inflamed the patient's feet after several days, and it was noticeable that he had malice towards his lord.
