Ayssi comensan las paraulas de Albucasim .	 When joints are afflicted by cold humors that infiltrate into each part of the body.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 O, friends, please do not neglect this book, which is the end of medical science and its purpose in life is to complete it, and for its exposure and declaration - that's why I recommend you read it, because surgery is part of medicine.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 This operation has been removed from our region and time completely private; because it was very light, the science of it is exhausted; and there are no longer any small descriptions in the ancient books that could correct this error or improve its accuracy.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 It is advisable to live through the exposition and declaration of this treatise in that way, with the forms of instruments used for cauterization and other tools of the work when necessary; and it is also important to make a declaration preparation, which causes necessity.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 The reason why this was not a popular art of medicine in our time is because the study of anatomy that we were practicing there was long-lasting and to know how the limbs and their forms came about; and how connections are made between them, how they are separated, and more detailed information on bones, nerves, and cartilage.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for that reason Ypocras calls this method a mot and work little, and mostly in the craft of the master.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 And for those of you who have not yet understood anatomy in this way, but rather follow the traditional method, will fall into error and may cause harm to themselves or others, as it has been seen that some do when they first learn about these things.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 A doctor who performed an operation on the abdomen of a woman and found some arteries in it that were flowing with a great deal of blood causing her to die between two o's.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 Another doctor who believed that the pain of an artery had been caused by its obstruction in his state, removed it and attached part of the vein to it, causing him to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 They appealed for a surgeon, and seeing the size of the artery and the disposition of their patient knowing he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 Another doctor who took on the task of performing surgery for a noble from our land with his own personal funds and performed an operation on a black crow that was expected to break its leg in their cage; instead of the fracture being set properly by the surgeon, he left it gaping open, making wounds over the plumage, pulling out feathers, tearing at the strong structure, leaving the chest exposed.
