Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking about Albulaccius.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, you have completed this book before me, the last of medical science'dictions, due to your mastery over it as evidenced by how quickly and effectively you learn from what I present; through my lectures, explanations, and declarations, I see that you understand thoroughly this subject matter which is apart from surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	When the operation is exhausted in our region and at all times, as long as I observe you (the patient), until only small descriptions remain from Ancient texts, which I change into these errors and ignorance; they are closed off by my understanding of it, thus lengthening its force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	Here comes the first source sentence to translate:
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Here comes the first source sentence to translate:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	Through what Hippocrates says about it being movement (motion), may in small things be observed and mostly in the work of hands (handcraft).
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we already have this information about it as we enter here; who does not know what we have told them regarding anatomy will fall into error in the end, since those people are formed by these things and take from that science and their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here comes the first source sentence to translate: "Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor ordered that the patient swallow a stone from within which had progressed in its state, and this stone was large; it was drawn out through one of the bladders, so that by the third day, the internal substance died inside the urinary bladder.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for it to be removed there, and because of the greatness of the stone and due consideration given by the abdomen's position beneath her that she will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here comes the first source sentence to translate: And another doctor takes pay from our lord of this land for surgery, and brings with him a black instrument which was used by someone else due to his fracture in the thigh; thus prepares the doctor based on ignorance, extracts the fracture onto soft materials like pillows and beds, without letting air escape into these.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here you return the ligaments according to your wishes, and secure them in place with pins during rest days and command that we remove the stitches; at this time, the thigh and buttocks will form an opening (perforation).
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And it is called him (referred to as 'lu'), and his apparatus was used for untying the ligature, achieving calmness and relief from their pains.
