Ayssi comensan las paraulas de Albucasim .	When Albucasis speaks now.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, you have completed this book of mine, which is the latest in medical science, as I brag about it here and through my expositions and declarations, showing that you understand what concerns me most - that portion from surgery where an operation takes place today.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	When the operation is exhausted in our region and at all times of complete privacy, while you observe me closely; until only small descriptions remain from ancient texts that I have changed to these errors and healings methods hereby stated – which are now closed clauses and lengths of knowledge gained.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	Here comes the first source sentence to translate:
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May be the reason why no artisan from his hand is absent in our time, for medicine has become long and it's necessary now that its practitioner be trained in anatomy as known by Gaius within these days; knowing the joints and separations of their bodies—the bones, nerves, and sinews along with their names, pulsating veins and quiet ones, plus all locations where blood is refreshed.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	Through Aqua Ypocrates' guidance, it may be in this small work and mostly within the field of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we already have told you about that in the entrance of this book; who does not know what has been told to us regarding anatomy, will stumble into error if they haven'thy seen much of those things themselves, as are formed within this science and through its knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here is the line-by extralanguage translation:
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	Here comes another doctor who prescribes that the patient drink a stone from a home which had been processed in his state; this stone was large and came into view, whereby they extract it using a tool from the bladder, causing death of that person by the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for it to be removed from there, and because of the great size of the stone and the positioning within the spleen'dictated by its location that led directly to death.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor received the pay of our duke as compensation for surgery, and brought forth a black instrument which was fractured in his thigh; due to the surgeon's ignorance, he mended the bone on the ground using stiff pillows and bedposts, without allowing breath.
