Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking (or is about to speak) with Albuccas.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, you have completed this book of medicine with your own hands, which is on the other side of science and whose content I present to you through explanations, expositions, and declarations; it becomes clear to me that you understand this subject we are discussing today, from which surgery derives.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	When the operation is prostrate in our region and at all times private, I am bound within it due to my knowledge of it; yet only small descriptions are found freely dispersed among Ancient texts, which I change into errors herein contained, and thus lengthen both body'diction (sic) and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	Here comes the first source sentence to translate: "And I have seen that you must vivify (revive or bring back) that order of this treatise in its second part according to exposure and declaration, as well as for preparation with these tools used by a cauterist and others necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May be the reason why no one dares to remove a skilled artisan from their seat in our times, for medicine is an old profession that demands constant exercise within its science of anatomy—which knows Gualia inside out as she understands the functions and forms of these body parts; knowing joint connections and separations, bone structure, nerves, muscles (lacertz), names of all those things, pulsating veins and quiet vessels, places of their internal cleansing.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	Through Aqua of Ippocrates who knows well by name the work and its parts, mostly in the manner or technique of touching.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we already have this information about what was told us at the entrance of this free; those who do not know that which has been conveyed to them will err and serve death to men, even if they seem acquainted with some aspects of it, as these are formed in this science and taken from its knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here is the translation line by line:
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	Here comes another doctor who ordered the patient to drink a stone of wine that had passed through his state, and this stone was large; it came down into him via an intestine's thread, so that by the third day he died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you call for its extraction hereby due to the greatness of the stone and because it has been lodged in a way under him that he will surely die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And there comes another doctor who receives the salary of our duke here on this land for surgery; and he brings with him one that is black in color because it was used to fix his bone fracture, taking advantage of the surgeon'thy ignorance—he repairs the fracture outside (on the ground), using strong pillows and chairs, without allowing breath.
