Ayssi comensan las paraulas de Albucasim .	Albuccus begins the words.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, you have completed this free book, which is the last of the science of medicine, praised by its author and his followers, as I have seen that you had complexed me in this subject, which belongs to surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of astronomy in our region and throughout our times of total privacy was so subdued that, seeing the great peril it faced, I observed it from afar; and did not abandon it until a few limited descriptions were found in ancient texts, which I have mostly corrected to those errors and delusions, causing their intentions to be closed and the force of its art and elongation has been diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It appears to me that you have lived this order of the treatise in this second part through exposure and explanation and abridgement; and for that reason I come with the tools of cautery and other instruments of the work as an addition, which is necessary for preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Mayb's reason for not being an atrocious artist in the era she lived in is that medicine was a long process back then and it required physicians to be exercised in the field of anatomy, as Galen said he knew well the benefits of the body parts and their shapes; and about the bones, nerves, and limbs, and number of them, and their organization. He also had knowledge of the veins (pulsatile and non-pulsatile), arteries, and locations within the body. In addition to this, he understood the anatomy of the heart.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	E per água diz Ipse quem é o meu nome, mas na obra pequeno, e principalmente no ofício da arte.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have said about that man in the beginning of this book; whoever is not aware of what we have told him regarding anatomy, will be excluded and may fall into a mistake due to which men die, so many times I have seen those whom he formed in this science and applied his knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a playwright wrote a scene where the main character, a doctor, performs an appendectomy on a woman while she is in labor. During the procedure, he accidentally damages some blood vessels near her uterus, leading to significant internal bleeding that ultimately results in the woman's death shortly after giving birth.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only swore that he would take a stone from a man whom he had processed in his state, and the stone was big. They took this stone away from him along with part of his intestines the next day, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You already called that one wandering and I saw with the greatness of the stone and its misalignment that under it we would die. (Note: The original text seems to be in Catalan, not English.)
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A different doctor took the salary of Duke's land for surgery and even inflicted a black-skinned man who suffered from a fracture in his shoulder joint. Due to the doctor's ignorance, he mishandled the break, cutting into the blood clot with heavy tools, without properly treating it.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	According to His wishes, the law provides us with the right to separation, and it prescribes the legal procedure for divorce each year, and commands that we proceed with the request; provided there is no fault on his part, so he remains liable until proven guilty in court.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	You called upon me, and prepared to release the chain, achieving peace and easing their pain from their sorrows.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	The empire had already been confirmed in the member, so they could not prevent that and thus did not stop the corruption within the member before the disorder broke out.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	There was another man who pierced a cancerous appendix in someone's abdomen, and it caused massive inflammation inside the body days later, highlighting the cunning of his master.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of severe chronic depression is not that the person's soul descends to him from above, but rather it is about one of his limbs which suffers so greatly that it feels burdened by everything.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	In the context of water-powered mills (E per aquo), it is essential for you that the operation be divided into two phases: one associated with salvation and the other involving work where risk is involved in major decisions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	You have already acted in all places of this free text where the opposing performance takes place, where there is an error and fear; therefore, it's necessary for you to protect that content and set up these rules so that your words do not harm or discredit me.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore, take up your arms in service and protection of God, and seek the well-being and closure for your troubles.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	By the grace of God, those who are lost have forgiveness through salvation and holy succession; let us consider your sufferings as terrible trials for difficult healing, and remember that we fear what is coming from you so that by this action in faith and in your name, you will not be abandoned: but rather remain to your glory, and perhaps in the kingdom of God and among the saints.
Gualia ja diyssec en alcunas sieuas monicios:	It seems like the text you provided is in Spanish, but it's incomplete. However, if I were to guess based on a similar request for "monios" (meaning idols), here's how a completed question might look in both Spanish and English:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no medical malpractice if not for the fact that sick patients do not need to be named."
E yeu ja he devesit aquest libre segontz tres capitols.	You have already started reading this book in the afternoon for three hours.
Comensa la divisio del libre, e primier de la primieyra partida.	In the first division of literature, one can trace back to ancient times when stories were primarily oral traditions. As societies evolved and writing systems emerged, literature began to be recorded in written form, giving rise to various literary genres such as poetry, prose, drama, and folklore.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first capitalized letter ordered in the chapter within this section, regarding the forms of instruments and the materials used for cauterization, as well as what is necessary for surgical operations.
La divisio de la segonda partida.	The second half of the game. (In Spanish)
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, full of scissors and perforation, and hand pumps, and plagues, and extraction of sausages and candy wrappers to those things, it ordered the forms of these instruments.
Divisio de la tersa partida.	Division of the third matchday in football (soccer).
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The Third Council of the Tridentine, which dealt with restoration and dislocation, care for teeth and facial appearance among others; an order within the head that regulates weights, and forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Cauterization is a medical procedure that involves the use of heat, electricity, or chemicals to burn and seal damaged blood vessels or tissue. It has been used since ancient times for treating various conditions such as abscesses, hemorrhoids, warts, and more recently in controlling bleeding during surgery.
Am aquel comensa le tractat de tot le libre.	At this point, the discussion begins on everything free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The jurists of that time would have likely described the youths as inexperienced and naive due to their age, emphasizing a lack of maturity and understanding. In terms of completion, it might be prohibited for them to perform certain dangerous procedures, considering their limited knowledge and skills at such a young stage in their professional development.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The sermon of youthfulness and the night's companion is long and verbose, as well as scientific and secretly profound; they have spoken much with wisdom and disagreed among themselves. As for me, it suffices to recount a small part from their discourses, which I find lengthy.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Hence, let's say that caution completely eliminates the entirety of all universally complete types, except for two kinds of types whose matter is their matter. These are the two kinds of types that are tail-types.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complete context of caulde and secae materia, these substances dehydrate; however, some people argue that it is not beneficial for such matter to be hydrated with water at that moment, while others disagree with those who say this, asserting that it's not suitable in illnesses characterized by quality and dryness. Nature of the focus includes both qualities and dryness; therefore, it is convenient that the cauld and secae matter hydrated and dried be treated so that the water in which they are cauterized and dried is also sanitary.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The substance that states the opposite of what is needed to cauterize in its entirety and dry harmful diseases found on human arteries, when compared with your body's blood, as a complete focus, you worsen the appearance of human arteries. (Note: This statement appears to be philosophical or metaphorical rather than factual about medical treatments.)
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	You speak the language of that person who has experimented with water already several times at my expense.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	The emperor who came to witness the place where he had exercised and practiced his knife skills in the capital city for years, and knew the diversity of human bodies and the conditions they carried with them, as well as the causes and accidents of those ailments, and their duration.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May also in the other cases, it's not about your fear, but more on dirty blunders and wet messes that everyone among the bartenders is agreed upon already, and there's no disagreement when it comes to saving them from those situations.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Folks, here's the secret of curing injuries and preserving body integrity that we need to protect. Instead of using surgery as medicine for everyone who needs cauterization, it turns out the focus is not on the entirety of the heat source involved in the process. Rather, the targeted area only heats up to treat the specific limb affected, without causing harm to other parts of the body at all.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's thirst for medicine leads him to that which in his body is wounded and bruised, and from there he will come into the sick limb with difficulty and great strength.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mayes's focus, due to its sublimity and benevolence nature, does not affect us until it overflows; we know this through experiments and the long duration of service in studying art about truth of causes; therefore I ask for your indulgence on my lengthy speech and if not it would be unbecoming me here as a free man, to secretly hurt you with my focus, whose action in corridors and its exclusionary nature, which expels illnesses, is philosophically demonstrated, thus pleasing to you.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	You guys, fellows, who disagree with the timing of when it is most appropriate to pause and take a break during primary school.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	It is advisable to use caution at all times in order that the potential harm during transport be minimized by ensuring the safety of those being transported, especially if they are injured or require urgent medical care such as fractures and other serious injuries, which would not cause delay for those who could potentially suffer malicious intent. This is far greater than any minor inconvenience caused by delays in transportation.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	How disrespectfully some men behave towards women, their children and the common people, who do not value only vulgar language and foolish doctors, so that with this kind of illness which is treated by cauterization there are no permanent results, and they pause.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not where they seek to address it, but rather in a place of medicine that alters the composition and dries out the moisture levels which are the cause for these pains to occur.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	May's empire was destroyed due to the influence of his wife and daughters on his medical judgment, as well as the enormity of their power in his operation.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that her madness may return at some point in time, depending on the complexity of the illness and its location, as well as his ability to cope with the accumulation of superfluities related to this cause; however, if he receives care from a specialist for subtle madness involving few excesses and humidity (such as dental treatment for pain and appearance), it is possible that this particular pain will not return in him, but perhaps manifests itself on small things.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	It appears that the phrase "may vulgar speech be to dissect someone's dead body with medical tools" is considered crude language, and it should not be discussed in polite conversation as I don't understand its context, but many believe that such actions are neither medically justified nor have any legitimate purpose.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is contrary to that; I understand that the use of cauterization does not provide relief from medicine's treatment in some cases, and those medications do not give their effect on this particular matter. That person administered a caustic substance instead of providing proper care for the disease.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	It seems like you're expressing frustration about doctors and their understanding of common issues faced by the general public. While I can't fully comprehend your emotions, it's important to remember that healthcare professionals often face challenges due to systemic constraints and varying levels of expertise among them. However, there are many dedicated medical practitioners who work tirelessly to address patients' concerns and provide the best care possible.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The statement seems to be in a mix of languages and doesn't make coherent sense as written. It appears to discuss some concepts related to health (cura) and possibly the value or properties of blood (sang, aur). However, without additional context, it's challenging to provide an accurate translation or interpretation. Here is an attempt at a clearer English statement:
