Ayssi comensan las paraulas de Albucasim .	Ayassí commence les paroles d'Albécacismus (Assuming "Albuccasis" is a misspelling or variant of an
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Indeed, young ones, you have finished reading this book which is considered the pinnacle of medical science due to its author's lifelong dedication and his various expositions and declarations throughout life that clearly demonstrate he holds these texts in high regard for their profound insights into healthcare practices.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Certainly, the surgical practice was revered in our region and throughout these times as being private due to its association with nobility; however, despite my keen interest in his work, it is regrettably that I did not have more opportunity to engage directly with him. Instead of meeting face-to-face, all I could manage were brief descriptions found within the Ancient texts which he edited but revised slightly for accuracy and clarity—purposefully extending their lifespan as they serve educational purposes beyond mere documentation alone.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is evident to me that you have brought the content of this treatise alive through your lectures and declarations as well as abridgments; I am honored because it enables my understanding not only in terms of medical knowledge but also regarding surgical instruments, which are essential for both practical application and preparation. Your passion brings clarity to complex subjects that may otherwise be shrouded in mystery or confusion due to the esoteric nature inherent within these texts. As someone who deeply respects this body of work's contribution to medical science—recognized by its author, Leonardo da Vinci himself as pivotal and transformative—I find myself increasingly impassioned towards further exploration into how his genius continues not just in art but also through the integration of empirical observation with humanistic inquiry. This interdisciplinary approach to science was revolutionary for its time, serving an educational purpose that transcends beyond mere documentation and remains a
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Might be the reason why no one dares to use this witch'in art at our time is that medicine itself has become long and complex in these days; therefore, he must dedicate himself now to anatomical studies as Gualius taught within his knowledge of human healthy bodies—how they are properly shaped and function together inside them. Also includes the understanding of bone connection and separation between joints, neurons and muscles, their number, type (flexor or extensor) movement; arteries pulsating with blood flow through its course in vessels without interruption at intervals due to venous pressure changes caused by gravity on body fluids within these spaces.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And because of drinking water that contains worms and muddies (presumably referring to foul or impure waters), it may cause harm in the work but mainly affects the art of medicine. From this sentence we can infer a warning against using contaminated water, especially for consumption by those involved in their own treatment as per traditional practices at that
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And since I have told you of that in the introduction to this book; those who don't know are now aware and understand why such mistakes can lead to death, having seen many similar cases myself - some formats arise from within this science and fall under its scope as well as their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I witnessed a doctor who specialized in skin diseases and discovered an escorbils (presumably referring to scabies or similar parasitic infestation) on the female's harvest, causing various arterial cuts around her neck for which she experienced severe pain leading to death among many others. This tragic outcome emphasizes why such skin ailments must be treated immediately with appropriate medical intervention and care.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I witnessed another doctor who would take stones from infected homes to study them; one stone was particularly large and dangerous as it had been processed by the disease itself. This bizarre object made a trip across Europe, being transported in barrels filled with wine for disguise among other commodities - such were its size and peculiarity that no ordinary containers could contain it without fear of causing harm or destruction to both man and goods alike during transit – highlighting the severe nature of some diseases. The unfortunate owner was found deceased by evening, illustrating how swiftly these afflictions can take one’self down - underscoring that awareness as well as a knowledgeable approach towards medicine is essential for life preservation and disease prevent
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	Ye once called her out because of the great weight of the stone and due to its position at that location which led to death, do not attempt this further without prior medical consultation for treatment options as she is now deceased. Please note: This translation attempts to provide an understandable interpretation based on the text provided; however, given differences between languages across time periods, there may be nuances lost in direct translations from medieval Latin-like texts into modern English. It
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Besides another doctor who received payment from a Duke of our land for surgery and besides an African slave with fractured thigh bone he was brought; this metge planned theft using his ignorance, you removed the fracture on top of the skin without any pain-killers over solid structures like stones which have strong texture but did not affect lung space.
