Ayssi comensan las paraulas de Albucasim .	"Albucacis, let's start with the words."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, I have completed this book for you, which is the last of medicine science, praised by me as well as my success in it, and with all its explanations and declarations, I've seen that you had complex tasks to do on this subject, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	In our region and in our times of total privacy, I found science to be greatly threatened, and so I observed it from afar; and we did not abandon him until making some small descriptions in the books of the Ancients, which I have mostly corrected among them. From this correction, his intentions became closed and his strength was weakened, as well as prolonged art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I have shown you that it is necessary for me to live according to the order of this treatise in its first section, through exposure and explanation and abbreviation; and therefore by adding the tools of cautery and other instruments related to the work and their additional purpose with preparation for me, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May's reason for not being considered an extraordinary craftsman in her time is that the art of medicine was long and it required the actor to be exercised nowadays in the science of anatomy, which included Galen saying he knew well about the benefits of body parts and their forms; bones, nerves, and limbs. He also had knowledge of the senses of bones, muscles, tendons, arteries, veins, pulse points, organs, and the number of these; as well as the locations of their systems.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	Indeed, Hippocrates said that my name is of little importance, but rather in the work itself and above all in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have said about that person in the introduction of this book; who is not familiar with what we told him about anatomy, he will be excluded from consideration so that men may fall into error through which they die, as I have seen many times those formed in this science and led by their knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a man committed an act of assault that resulted in the infliction of an anal sex wound on a woman's colon during her collection (presumably referring to a prostitution scene). He also damaged several arteries from the site causing significant bleeding and internal injury, ultimately leading to the woman's death within 24 hours.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only took a stone from a person whom he had prosecuted in his state, and the stone was big, so they killed that man with another stone at their third day of trial.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You already called her away from me; I saw the enormity of the stone and its ominous positioning, and it's clear that if she goes there, death will follow.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A different master took the salary from our duke for surgery and also inflicted a black man who had suffered a fracture in his shoulder blade. Due to his ignorance, the master tried to treat it with large screws and plates, but did not heal the bleeding wound properly.
