Ayssi comensan las paraulas de Albucasim .	"Albucacim starts the conversation in Albanian."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, you have completed this book for me, which is the last of the science of medicine, praised by him and his success in it, as well as his explanations and declarations about it. I've seen that you found this complex topic quite challenging, being part of surgery work.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The action of her work is prostrated in our region and our times of total privacy, so much that I saw with my own eyes the danger to which science was exposed, and I observed it from its origins; and they did not break away from him except for a few descriptions in ancient books, which I modified most and even condemned them, thereby closing their intentions and prolonging the force of her art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It appears to me that you have lived this order of the treatise in that way of explanation and declaration and abbreviation; and for that reason come back with the tools of caution and other instruments related to the work and its additional content due to the preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May's cause for not being an extraordinary artist at the time was that the practice of medicine is long, and it requires that the patient be exercised in the science of anatomy, which encompasses Galen's knowledge of the usefulness of body parts and their shapes; understanding bones, nerves, and limbs, as well as the number of these elements; the organization of these elements, and the veins pulsating or still. The comprehension of blood vessels and the localities within the organism is also included in this knowledge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	E indeed proclaims that the name "Ypocras" comes from me, but it is little in the work itself and mostly in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have said about that person at the beginning of this book; who is not aware of what we told him about anatomy; he will not be exempt from falling into a mistake through which men can die, as I have seen many times such people formed in this science and used their own knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a doctor performed an excision on the vulva of a woman, which unfortunately resulted in an epispadias and injury to several arteries at the site of removal. This caused significant bleeding and led to the death of the woman within a few days afterward.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only took a stone from a person he had judged in his state, and the stone was big. He brought that stone to him and killed that person three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You already called me out as an outlaw, and because of the enormity of the stone and its positioning in such a malevolent manner, I foresaw that it would lead to my demise.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Once there was another doctor who would receive a salary from a duke of our land to perform surgery, and he even operated on a black man who had been severely injured in his shoulder joint. Driven by ignorance, the doctor attempted to treat the fracture above the wound using sharp instruments at a strong angle, but unfortunately did not properly address the bleeding.
