Ayssi comensan las paraulas de Albucasim .	"Albu Cem, let's start our conversation."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, you have completed this book for me, which is the last of medical science knowledge, with your praise as its conclusion, and through explanations by you, and declarations from you, I see that it was a complex task to tackle this topic, related to surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The activity is prostrated in our region and in our time of total privacy, so much so that the science of him becomes a great peril to me; I have seen it from his eyes only; and they did not depart from him except for some short descriptions in ancient books which I have altered as most and even more towards correcting those errors and beliefs contained therein. His intentions are closed, and the force of his art is extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It has been shown to me that you have lived the order of this treatise in that part according to the method of exposition and explanation and abbreviation; and for that reason I come with the tools of cautery and other instruments used in the work, which are additional by way of declaration and preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May's cause is that back then artisans were not as skilled in the medical field, and it required a lot of time for practicing medicine. In this era, anatomy was considered one of the most important sciences, which included Galen's knowledge of the benefits of limbs and their forms; the connection and separation of those parts; bone consciousness, nerves, and muscles; the number of these, and their organization; venous pulsations and calm ones; and locations in the body.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	E indeed, Hippocrates said that my name is of little importance in his work, but rather in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	From this text in Catalan we learn about a certain person mentioned at the beginning of this book; those who are not aware of what has been said to him about anatomy will fall into error, and as a result people may die from it - just as I have seen many times, who were formed in this science and used their knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a playwright wrote a scene where an expert surgeon makes a mistake during a procedure on a woman's vulva, causing an abscess in the area. He then accidentally damages several arteries in the same location, leading to severe bleeding and ultimately resulting in the death of the woman within hours.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only swore that he would take back a stone from a person whom he had accused in his state, and the stone was big. So they brought this stone to him as well as one other of the jury, so that this man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You have already called me a stray animal because of the size of the stone and its malicious disposition that I found it difficult to endure, to the point where I would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A different man took the salary of a duke from our land for surgery, and he ended up breaking a dark-skinned person's shoulder blade, which had been fractured in his rib cage. Due to his ignorance, the man performed the procedure on top of the blood clot, using heavy instruments like spikes and stakes with strong pressure, but did not properly drain the accumulated fluid.
