Ayssi comensan las paraulas de Albucasim .	Al'Bucasim began speaking the words of Ayssa.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, dear children, you have completed this free book, which is the last of medical science literature, receiving my praise and recognition for it. Through your comprehensive understanding of this topic, I see that you have tackled this complex subject with great dedication, a part of which lies in surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	In our region and in our times of general privacy, I was greatly concerned about the science of him, so I examined it thoroughly; and they did not abandon him except for a few descriptions in ancient books, which I have modified as much as possible to correct those errors and show that his intentions are closed and strengthened by force, and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that you have lived the order I commanded in this treatise during that part of exposure and explanation and abbreviation; and for that reason, we will come back to the tools of caution and other instruments used in the work as an addition by the declaration, and preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May's reason for not being an atrocious artist of the plague is that in our times medicine has become long, and it requires that the sick person already be exercised in the science of anatomy, which counts Galen as knowing well how to appreciate the benefits of the limbs and their forms; and about bones, nerves, and muscles, and the number of them; and about the organization of these parts; and about veins pulsating and others still, and the places in the body where blood circulates.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	He who calls himself Ippocrates says that my name is a motive for me, but in the work it is minor, and mostly in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have said about that person at the beginning of this book; who is not aware of what we told him about anatomy, he will not be exempt from making a mistake through which men will die, as I have seen many times like him, raised in this science and boasting of their knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	A few years ago, a playwright depicted an event where the protagonist, a doctor, mistakenly performs a circumcision on a woman's vulva, and subsequently causes severe bleeding by cutting some arteries in the area. As a result, her condition worsens quickly, leading to her death within hours.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There was another man who only took a stone from a person who had been convicted in his state, and the stone was large, and they brought that stone to him along with another one, so that same day this man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	You have already called that wanderer a stranger and for the size of the stone and its malicious disposition I understood that beneath it one could die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A different man took the salary of a duke from our land to perform surgery, and he ended up inflicting a crushed black man who had fractured his shoulder joint. Due to the surgeon's ignorance, he arbitrarily extracted the fracture over the blood clot using large screws and plates with strong fixation, but failed to drain the accumulated blood from the wound.
