Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, now that I have completed this book, which is the last of the science of medicine, for the completion of which I have labored to its end, and through its explanations and declarations, it is clear to me that I have fully covered those matters in this treatise, which deals with surgical operations.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the operation of surgery is proscribed in our region and our time, it has been almost entirely abandoned; yet, this science is important, and its methods are well-known. Only some brief descriptions remain in the works of the Ancients, which have corrected many errors and hesitations, but have left the understanding of it incomplete and have extended its practice.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is clear to me that I should revitalize that order in this treatise according to the way of explanation and declaration and abbreviation; so that it can include the forms of the cautery tools and other instruments of the work through the addition of declarations and preparation, which are necessary causes.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	More the reason why a good craftsman does not apply his hand in this our time is that the art of medicine is lengthy, and it requires one's actor to be exercised beforehand in the science of anatomy, which Gualia knew well, knowing the youth of the members and their forms, as well as their conjunction and separation; and had knowledge of the bones, nerves, and sinews, their number, and their disease; and of the veins pulsatile and quiet, and of their places of effusion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates says that in the name is small, more in the work itself, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	More however we have already spoken of that in the introduction to this treatise; for who does not know what we have said about anatomy, will not be cleared that he does not fall into error through which many men will die, as I have seen too many of those, for some are formed in this science and venture from that other science and its experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a doctor who, having fallen ill, incurred an apostema scrophulous in the neck of a woman, and injured some arteries so that great blood flowed until the woman died among her distresses.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And there was another doctor who, when the patient passed a stone from his bladder, and the stone was large, came to him and removed that stone with a piece of the bladder, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for it to be extracted, and I saw that due to the size of the stone and the position of the patient, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And there was another doctor who took payment from a duke of our land for surgery, and he came upon a black servant who had suffered a fracture in the thigh; and because of the doctor's ignorance, he removed the fracture, over the wound, with pillows and splints of strong structure, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then the dressing according to his desires, and then the rejoining, and then the letting it rest for some days and commanding us to remove the bandage; and thus we remain until the thigh and foot recover, and then proceed to our detriment.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to remove the bandage, and peace and an attempt to alleviate his pains was achieved.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Moreover, however, corruption was confirmed in the member, because I could not prevent that, and did not cease to allow the corruption to spread within the limb while the illness persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And there was another doctor who perforated an oncotic abscess, and it became ulcerated for several days, during which the evil increased greatly in him and affected his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the pain is purely from melancholic humors, and does not affect the whole body, but rather affects a member that suffers from everything being hostile to it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my son, it is necessary for you that the operation be devised in two ways: one is in an operation where health is associated, and one where danger is present in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed here in all parts of this treatise where the operation involves error and fear; therefore, it is necessary for you to keep this and leave that, so that the leaves do not find a way to speak ill of you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with diligence and protection of God, and the patient with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God seeking salvation and glorious success, and lay aside the terrible diseases of difficult cure, and uphold your weapons against what makes you fear, so that sitting in your faith and in your name you are not overcome: for more remains to your glory, and more in the world and beyond to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gout is already dissected in some monastic texts:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat the bad disease, lest bad doctors be named.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already devoted this libretto according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the libretto, and first with the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered of the head into the foot, concerning the forms of the instruments and the tools of the cautery, and what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on cups, and on plagues, and on the extraction of arrows and similar, all categorized and organized by the forms of the instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of sprains and similar conditions; a chapter organized by the head between the feet, and by the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On the cautery with fire and with sharp medicine, and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that, the treatise of the whole book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	First, let me describe the quality of the metal of that cautery and its ingredients, and in which condition cautery use is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discourse on the quality of the metal of the cautery and its ingredients is long and tedious, subtle through science and a hidden secret; much has already been said about it by wise men, and they are in disagreement. For me, it suffices to mention a small part of their sermons, lest I become too lengthy.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus say that cautery benefits all compositions universally which are of flesh or bone material, except two compositions, which are compositions of sinew material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the sinewy and dry composition, the flesh will desiccate; for some said that cautery is beneficial for that, while others said the opposite, that cautery is not appropriate in malaise which is due to quality and dryness, for the nature of fire is quality and dryness, and it is inappropriate that a malaise sinewy and dry be cured by what is cautery and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And say that those who say the opposite, that by cautery one is cured in all sinewy and dry malaise that comes in men's bodies, for when you compare the body to its humors to the composition of fire, you find the body to be dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to his speech, for I have already experienced this several times myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not consider that it comes to me who has already been experienced and exercised in the capital of cautery through recent exercises, and who knows the diversity of human composition and the disposition of maladies in their various forms, and the causes of those, and the accidents related to them, as well as the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other complications, there is no need to fear, especially in wet and inflammatory diseases, for all doctors agree on these and are not divided in youth regarding the use of cautery in such cases.
