Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, my children, now I have completed this book for you, which is the last of the medical sciences. By its completion, by what it contains, and by its explanations and clarifications, in my view, I believe I have fulfilled your love for this treatise, which pertains to the practice that lies with me, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the practice that lies with me is almost entirely deprived in our region and at our time, except that there is a slight trace of its science, and its appearance remains. We have nothing but small descriptions in the books of the Ancients, which mislead people into error and hesitation regarding its principles and weaken its strength and the art itself.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this through the order of this treatise according to the way of exposition and explanation and abbreviation; and so that it comes in the forms of cautery tools and other instruments used in the work as indicated by the explanation, and for its preparation, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a good practitioner is not found in surgery at this time is that the art of medicine is extensive, and one must be well versed in anatomy before being practiced, which Galen described as understanding the functions of the limbs and their forms, and the connection and separation of them; having knowledge of the bones, nerves, and muscles, and their numbers and distribution; and of the pulsating veins and the stationary ones, and the places where they are found.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates said that in name it is much, but in practice little, and especially in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	This we have already said at the beginning of this book; for whoever is not well versed in what we have said about anatomy will inevitably fall into error through which men may die, as I have seen too many of them, for some are formed in this science and get themselves out of that without knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish doctor who had incised an abscess on the neck of a woman, and he cut some arteries in the neck so that much blood flowed out, causing the woman to die quickly.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who thought he would remove a stone from a man who was suffering from kidney stones, and the stone was large. He came to him and pulled out that stone along with a piece of the bladder, whereupon that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I was called to remove that stone and saw that because of the size of the stone and the condition of the patient, I knew for certain that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was being paid by a duke of our land to perform surgery on a black castrated man who had a fracture in his thigh. Due to the doctor's ignorance, he exposed the fracture over the wound with splints and bandages in a strong structure but did not allow the wound to breathe.
