Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucaсим.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus yeu he a vos complit aquest libre,  
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with the hand is prohibited in our region and in our time, so much so that there is barely any trace of its knowledge remaining; and nothing remains of it except some small descriptions in the books of the Ancients, which have been largely altered and led to errors and confusion such that the meanings are closed off and the power and art have been weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that I revivify that matter according to the order of this treatise in such a way through the method of exposition and explanation and abbreviation; and so that it comes with the forms of the tools of cautery and other instruments of the work, as if by addition of the explanation, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which a good craftsman is not found with his hand in our time is that the art of medicine is long, and requires its practitioner to be exercised beforehand in the science of anatomy, which tells us that one must know the joints of the members and their forms, as well as their conjunction and separation; and have knowledge of the bones, nerves, and veins, and their number and extension; and of the pulsating and quiet veins, and the places of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that in name it is small, but in action it is great, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of this in the introduction of this book; for one who is not knowledgeable about what we have said concerning anatomy will not avoid falling into error, through which many people may die, as I have seen too many of such cases, for some are formed in this science and then fall away from it due to a lack of knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw an inexperienced and unskilled doctor incise an scrophulous abscess on a woman's neck, and cut some arteries of the neck so that a great amount of blood flowed, causing the woman to die in the hands of the doctor.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out a stone from a man who had suffered in his condition, and the stone was large, and he came to him and extracted that stone with a piece of the bladder, because that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for it to be extracted, and saw that due to the size of the stone and the condition of the patient, he would die under it.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you saw another doctor who was receiving payment from a duke of our land for surgery, and came upon a black castrated man who had a fracture in his thigh; and the doctor prepared with his ignorance, extracted the fracture, over the wound, with cushions and splints with strong binding, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then release the bandage according to his wishes, and then relieve him, and then keep him dry for several days and command that we loosen the binding; and this is so until the thigh and foot become inflamed, and it leads to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the binding, and succeeded in bringing calm and easing his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption had already set in the member, so it could not be restrained, and the corruption did not cease to spread throughout the limb until the patient was at peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And you see another doctor who punctures a cancerous abscess, and it became ulcerated after about those days, during which the malignancy of it was exacerbated by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The given line translates as follows:
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And by this, sons, it is necessary for you to divide the operation with your hand into two parts: one part is an operation that is associated with health, and the other is a work in which there is danger in the greatest decisions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already expressed this in every part of this book where I find an operation that contains error and fear; therefore, it is necessary for you to keep this in mind and let go of the other, so that the pages do not lead you to speak and dishonor yourself.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your weapons with diligence and the protection of God, and face your illnesses with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to achieve health and honorable success, and leave behind terrible illnesses that are difficult to heal, and keep your weapons away from what makes you fear, so that hesitation in your faith and in your name does not evade you: for more enduring is your glory, and more abundant in this world and later for your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia already mentioned in some of his minor works:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad illnesses, lest you be named a bad doctor.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered concerning the head to the feet, in the forms of the instruments and in the tools of the cauteries, and about what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and puncturing, and on cupping, and on plasters, and on the extraction of arrows and similar objects, all chapters categorized and ordered by the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the treatment of fractures and similar conditions; a chapter ordered from head to foot, and about the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauteries with fire and with sharp medicine and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With this, the treatise on the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to speak of the benefits of that cautery and its drawbacks, and in what conditions the use of a cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discussion about the quality of the benefit and harm of cauterization is long and verbose, subtle due to knowledge, and secretive; many wise people have spoken about it, and they disagree on it, and for me a little bit of their discussions is enough, fearing lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is beneficial to all kinds of swellings universally, whether they are with matter or without matter, except for two types of swellings, which are swellings in the tail without matter. 
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex condition that is dry and hot, there is disagreement regarding treatment; for some say that a cautery is helpful in such cases, while others say the opposite, that a cautery is not suitable for an illness which is by nature hot and dry, because the quality of fire is heat and dryness, and it is inappropriate to treat a hot and dry illness with something that is also hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And says the one who argues against this, that a cautery is beneficial in all hot and dry illnesses that occur in human bodies, because when you compare the body of a person and its moistures to the composition of fire, you find that the human body is cold. 
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that one, who has experienced this already several times to me openly. 
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But nevertheless, it is not necessary for one who has already been exposed and exercised in the chapter of cauterization by previous practice, and has known the diversity of human constitution and the disposition of diseases within them, and the causes thereof, and their accidents, and the time span of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	And in other conditions, there is no need for fear, especially in cold and wet diseases, because all doctors agree on these, and they do not disagree about treating them with cautery.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing through cautery with fire and its effectiveness lies particularly in the use of fire along with a burning medicine. For fire is simple, its action only reaching the member which is cauterized and not significantly affecting the adjacent member except with minor harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And here is the translation of the given sentence:
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	More so, the fire, due to its sublimity and goodness of substance, does not do this but rather overflows. And it is already known to us through experience and through a long period of study in the art regarding the truth of causes; and because of this, I am excused from the lengthiness of the speech. But if it were not that my book is hidden away with fire, and the quality of its operation on bodies and its expulsion by which you expel illnesses, demonstrated through a philosophical and demonstrative discourse, would be sharp in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they forget the time in which it is appropriate to perform cautery and wait for the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is appropriate at all times, so that the harm from accidental time is submerged in the benefit of what is drawn by the cautery, and especially if the cautery is for necessary pains or strong and sudden ones, which do not tolerate delay because it is feared that mischief will come, which is greater than a small harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this does not fall on your feet, or, sons, it is only esteemed by the common people and foolish doctors, which is why for that disease that is healed by cautery it is not always recommended, and they pause at that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think it to be because of this, for a cautery is nothing more than a form of medicine that alters the composition and dries out the humidity which is the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, superfluous cauteries on medicine due to the desire for their health and virtue of their operation and greatness of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time in the future, according to the complexity of the patient and the location of their illness, as well as their strength, and what has been prepared within their body due to the accumulation of excesses within them, and what they have acquired through food and similar causes; however, if cautery is administered for an illness that is subtle in a member with few excesses and moistures, such as tooth cautery for pain and similar conditions, it is possible that this pain will not return to them, although this applies only partially.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cautery is the last resort of medicine, and this saying is true, not in the way some people understand it, for I believe that there is no cure that truly helps without medicine or any other cause before resorting to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; the intention that cautery is the last resort of medicine is only when we administer methods of cure in some illnesses and those medicines do not produce results, and then at the end of the treatment process, one administers cautery, and it helps in that case.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here on out, the cautery is considered the last resort of medicine, not according to the understanding of the common people and too many foolish doctors. 
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cautery does not burn, which is not absolutely true, for I have experienced this and found that it only happens in some bodies, not all others; cautery with that method is good and better than iron as they said; however when you do cautery with fire with gold, it is not declared to you, for it ignites according to the quantity you want by the heat of the gold, and because it prepares to receive cold; and if you apply it over the area the ignition melts the gold due to the fire, and some layers fall into the fire so that the craftsman cuts through the occupation of that. 
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, cauteries are made with an iron that is applied lightly and precisely during the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter concerning the cautery according to sections, and I have organized those of the head between the feet, so that I can quickly provide the inquirer with what they seek from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headache caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization you apply to moisture and coldness on the accidental site of which are causes; it is caused by soda and a multitude of rheumatic fluxes, called catarrh, from the head down to the areas around the eyes and ears, and a multitude of sleepiness, toothache, and throat pain, and universally for all diseases that come from coldness, such as paralysis, apoplexy, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, you command the patient to be evacuated with a purgative medicine for three or four nights, according to the strength of the patient, their age, and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor. Then have that person lie down between your hands on a lowered bench and place his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the tip of your palm near the nostrils on the ridge of the nose between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when the middle spot has been reached with your finger, mark that place with a thread, and then ignite the olive-shaped cautery which is of this form:
