Ayssi comensan las paraulas de Albucasim .	Here is the translation of the given line:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina,
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with the hand is laid down in our region and in our time entirely private, except that some traces of its knowledge remain and its practice has ceased; and nothing remains of it but a few small descriptions in the books of the Ancients, which have changed much and led to errors and superstition, such that the meanings behind them are closed off and their power and art have been weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will revitalize that by following the order of this treatise according to its manner of exposition and clarification and abbreviation; and for which purpose comes with the forms of the tools of cautery and other instruments of the work as an addition to the explanation, and for preparing it, which necessity causes.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May the cause for which one does not find a good craftsman with their hand in this our time is that the art of medicine is long, and it requires its practitioner to be exercised in the science of anatomy, which Galen tells us is necessary to know the joints of the members and the forms of those, and the conjunction and separation of them; and to have knowledge of the bones, nerves, and ligaments, and their number, and their extension; and of the pulsating veins and the quiet ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates says that a name does not matter much, but rather in the action it is small, and more so in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about this at the beginning of this book; for whoever is not knowledgeable about what we have said about anatomy will not be able to avoid falling into error, which can lead to death in people, as I have seen too many of those cases, for some are formed in this science but fall away from it due to their lack of knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here is the translation of the provided sentence:
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out a stone from a man who had suffered in his state, and the stone was large, and he came to him and extracted that stone along with a piece of the bladder, because that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for extracting it, and saw that because of the size of the stone and the condition of the patient, he would surely die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And here is the translation of the provided sentence:
