Ayssi comensan las paraulas de Albucasim .	Here is the translation of the provided line:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus yeu he a vos complit aquest libre,  
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with hands is greatly prohibited in our region and in our time, except that some knowledge of it remains and traces of it are still visible; and nothing has remained of it except some small descriptions in the books of the Ancients, which have altered much and led to errors and misconceptions such that its intentions are closed off and its strength and art are weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I revive or rather apply that according to the order of this treatise in a way that includes exposition and clarification and abbreviation; and for this to come with the forms of the cautery tools and other instruments of the work through the addition of clarification, and for the preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Here is the translation of the given sentence:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And by this Hippocrates means that it is not in the name but in the small deed, and especially in the skill of the hand. 
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of this in the introduction of this book; for whoever is not knowledgeable about what we have said about anatomy will not avoid falling into error, which can lead to the death of people, as I have seen too many of those who are formed in this science and fall from that because of their lack of knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here is the translation of the given sentence:
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out a stone from a man who had suffered in his condition, and the stone was large, and he came to him and extracted that stone with a piece of the bladder, because that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for extracting it, and saw that due to the size of the stone and the condition of the patient, I knew above him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you saw another doctor who was receiving payment from a duke of our land for surgery, and they came upon a black castrated man who had a fracture in his thigh; and the doctor prepared with his ignorance, extracted the fracture, over the wound, with cushions and splints with strong tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then release the binding according to their desires, and apply relief, and keep them dry for some days and command that we loosen the bandage; and this should be done until the thigh and foot become inflamed, and it leads to corruption.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called upon him, and prepared to loosen the bandage, and achieved calmness and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if corruption was already confirmed in the limb, because it could not be restrained, and the corruption would continue to spread within the limb until the patient was at risk.
