Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus yeu he a vos complit aquest libre,  
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with a hand is so rare in our region and in our time that it is completely neglected, except for some who risk their knowledge of it, and its traces remain; and nothing remains of it but small descriptions in the books of the Ancients, which have been altered by most and led to those errors and superstitions where the intentions behind it are sealed off and its force and art are stretched thin.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I revitalize that through the order of this treatise in accordance with the method of exposition and declaration and abbreviation; and for that reason it comes with the forms of the tools of cautery and the other instruments of the work as by addition of the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no good artisan is found with his hand in this our time is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which tells us how one knows the joints of the members and their forms; and has knowledge of the bones, nerves, and ligaments, and their number and extension; and of the pulsating veins and the quiet ones, and the places from where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that in the name there is little, but in the deed it is more significant, and especially so in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about this in the introduction of this book; for whoever is not knowledgeable about what we have said concerning anatomy will likely fall into error, through which many people may die, as I have seen too many instances of this. For some are formed in this science and then stray from it due to a lack of knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw an inexperienced and unskilled doctor incise an scrotal abscess on a woman's groin, and cut some arteries in the process, causing a great deal of blood to flow, leading to the woman dying in the arms of those present.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out a stone from a man who had suffered in his state, and the stone was large, and he came to him and extracted that stone with a piece of the bladder, because that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for help to extract it, and I saw that because of the size of the stone and the condition of the patient, he would die under it.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you saw another doctor who received payment from a duke of our land for surgery, and came upon a castrated black man who had a fracture in his thigh; and the doctor prepared with his ignorance, extracted the fracture, over the wound, with pillows and splints with strong binding, and did not leave the wound any outlet to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then untie the bandage according to his desires, and then dress the wound, and keep it dry for several days and command that we loosen the binding; and thus wait until the thigh and foot are free of inflammation, and they reach recovery. 
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to untie the bandage, and relief from his pain was achieved.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if corruption was already confirmed in the limb, because it could not be restrained, and the corruption did not cease to spread throughout the limb until the patient was in peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess, and it became ulcerated over the course of several days, until the malignancy of it was magnified under the care of the doctor.
