Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, grant me the completion of this book, which is the last part of medical science, for its completion brings peace to you, and through its exposition, and through your declarations, it appears to me that I can complete this treatise, which is a segment of my operation, in other words surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation in our body is now largely private and not as public as before, making the science of this field suffer greatly, and its traces have been forgotten; it has not advanced much beyond a few small descriptions in the books of the Ancients, which corrected many misconceptions and errors within their studies, causing misunderstandings of these fields and extending the effort required.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should regenerate this treatise in the manner of exposition and declaration and abbreviation; and for the forms of the tools such as cauterizers and other work instruments like adding a description, and for preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why it is difficult to find a skilled craftsman in our own hand for this period, is because the art of medicine is long and requires knowledge that comes only after being exercised in the science of anatomy as described by Galen. He knew about the joints of the members and their forms, their connection and separation; he had knowledge of bones, nerves, and veins, their numbers, and their function. He was familiar with pulsating veins and quiet ones, and the locations for their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that is why Hippocrates says about this name that it might be a mistake in the small work, but mostly in the art of our hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; whoever does not know what we have told about anatomy will fall into error that could kill people, just as I have seen too many of them, who are formed in this science and abandon it for another science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a physician foolish and experienced who developed an abscess in the neck of a woman, and he incised some arteries in the neck causing great bleeding leading to the woman's death among her companions.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who was about to drain pus from a man whose condition had worsened in his state, and the pus was large. He operated on it and removed that pus with a piece of the bladder, causing that man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already attempted to drain it, and I saw that due to the size of the pus and the position of the patient below him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who was paid a salary by a duke of our country for surgery, and he treated a black soldier who had been debilitated by his fracture; and due to the physician's lack of knowledge, he removed the fracture, on the wound, with pins and staples with strong tension, and did not allow the wound to heal.
