Ayssi comensan las paraulas de Albucasim .	This begins the words of Al-Baghdadi.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I give you this book as a gift, which is the last of medical science, for the benefit of your health, and through its explanations, and thanks to its statements, in my view it seems fitting that I complete this treatise for you, which is part of my surgical operation, or surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on oneself is confined to our region and in our times it's entirely private, there exists great danger with this knowledge, and its traces remain; and there would not have been a lot of progress without some small descriptions in ancient books, which rectify many errors and misconceptions where their principles are closed for understanding and extends the effort and skill required.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should renew this treatise in a manner akin to exposition and declaration and abbreviation; and for the introduction of forms of the tools used like cautery and other equipment required for surgery, and for preparation thereof, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no skilled artisan operates on his own hand in our times might be that the art of medicine is extensive, and one must practice it before becoming proficient in the science of anatomy which Gualia described. He knew about the youthfulness of body parts and their forms, as well as their connections and separations; he had knowledge of bones, nerves, and glands, including the number of these and how to manipulate them; he understood pulsating veins and quiet ones, and the sites for their insertion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that's why Hippocrates said about it that in speech there is a difference, but more importantly in the work and especially in the art of one's own hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this at the beginning of this book; whoever does not know what we have told about anatomy, should be avoided from falling into an error which would lead to many deaths, as I have seen too many cases like this, where some were trained in this science and abandoned it for that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a skilled doctor who accidentally caused an inflamed abscess on the neck of a woman, and cut some neck arteries so that there was a large amount of bleeding, resulting in the woman dying among his patients.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who almost killed a man by removing a large stone from his condition, and the stone was big, it hurt him and he removed that stone with a piece of bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already sought to remove it, and saw that due to the size of the stone and the position of the patient under him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who was paid by a duke of our land for surgery, and operated on a black soldier who had suffered from his fracture in the leg; due to the doctor's lack of knowledge, he removed the fracture, covering it with dust and plaster over the wound, without allowing air into the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he let it heal according to his desires, and he applied bandages, and let it dry for several days as commanded that we loosen the bandage; and this happened also when bone and flesh were infected with abscesses, resulting in loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I sought help from you and prepared to remove the bandage, thus achieving calmness and alleviation of his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But unfortunately the corruption had been confirmed in the limb, so I couldn't stop it and it continued to spread through the body of the patient, which was dangerous.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who punctured an inflamed abscess and it became worse for the lord of his patient over some days.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cold cauterization is pure of melancholy humor, so it doesn't affect everything, but rather it is a body part that suffers from being affected by everything.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, children, it is necessary for you that self-operation be divided into two distincts: one associated with health and the other where there is danger in major positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already discussed this in every part of this book about the operation where there is error and fear; so it is necessary for you to keep this in mind and let that happen, so the pages don't accuse you of speaking or dishonesty.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take your tools in the service of God and for protection, and your patients with joy and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace to gain salvation and a prosperous succession, let the terrible illnesses with difficult recovery stay away from your patients, keep your tools prepared for what you fear, so that stability remains in your faith and in your name; which is more lasting to your glory, better than in this world and at last in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia already said in several of his writings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat bad patients with bad doctors," he said.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter organized in the section about feet, concerning the forms of tools and instruments for cautery, and what is necessary in operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning drying and puncturing, as well as suction cups, plagues, extraction of arrows, and similarity to those, entirely organized and detailed about the forms of the instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and repositioning, as well as the treatment of dislocations and similarity to those treatments; an organized chapter about the head in relation to the bones, and the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Regarding the use of a hot cautery and acute medicine, recalling the operation procedure.
Am aquel comensa le tractat de tot le libre.	Here begins the treatise on all freedom.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Let me tell you about the quality of those cauteries and their consequences, as well as when it is forbidden to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discussion about the quality of cautery's effects and its aftermath is long-winded and tedious for those with knowledge, subtle in science, and hidden by mystery; many wise men have already spoken on this topic, differing from each other, and for my part, it's enough to mention a small aspect of their teachings, fearing over-explanation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cautery strengthens the entire body universally in terms of its material or double materials, except for two components, which are parts concerning the double material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the component of the tail and the body's dry part there is material; some say that cautery strengthens that, while others say its opposite, that cautery isn't suitable for ailments that are due to quality and dryness. For nature is quality and dryness, and it's inconvenient when an ailment's tail and dryness are cured by that which causes dryness and harm would be its cure.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite argue that with cautery one strengthens youth in all tail and dry ailments that appear in men's bodies. When you compare a man's body and its humidity to the nature of fire, you find that a man's body is dried out.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to this discussion, which I have already discovered several times through experience.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not wish for this to be discussed again in detail as it has already been elaborated upon in the section on cautery techniques and exercises, where one comes to know about the diversity of human bodies and the positioning of ailments among them, their causes, occurrences, accidents, and the timeline associated with these issues.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other parts of the body, there's no need for concern, especially with wet and cold ailments, which many doctors have already discussed about, not differing on whether youth from cautery is beneficial in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know this, children, that the secret of healing through cautery with fire and its good qualities lie in the use of hot medicines with cautery. For fire is simple, its action only reaches the limb being cauterized and does not spread to other limbs unless there's a small harm involved.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of hot medicines spreads to those limbs that are distant from the source, and it strongly facilitates the arrival of difficult-to-heal illness in the diseased limb and weakens it.
