Ayssi comensan las paraulas de Albucasim .	The words of Albucasim begin thusly.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, grant me your patience as I complete this book, which is the last part of medical science, and for its completion it brings to fruition his health, and through its explanations, and through its declarations, in my view, I believe that I have completed that towards you with this treatise, which forms part of the operation with me, it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation with me is reduced to our region and in our time it was entirely private, through which the risk of its science increases, and its traces have remained; and without progress from it, except a few small descriptions in the works of the Ancients, which correct the mistakes and errors among those who are confined within their explanations and extend the effort and skill.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen to me that I will enliven this order of this treatise according to the way of exposition and declaration and abbreviation; and so as to come upon the forms of the tools of cautery and other workshop instruments such as for addition in the declaration, and for preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason for why it is not possible to find a good artisan in his own trade in this our time, is because the art of medicine is long and complicated. It requires being trained beforehand in the science of anatomy as Gualia knew about the joints of the limbs and their forms, as well as their connection and separation; he had knowledge of bones, nerves, and muscles, including the number of each and how to handle them; and also about pulsating veins and quiet ones, and the places of their secretion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that's why it is said by Hippocrates that in his name there is a lot of work, but more so in the minor part, and greatly in the art of hands.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already mentioned this in the introduction of this book; whoever does not know what we have told about anatomy will inevitably fall into error which can cause death to people, as I have seen too many cases like that. Some are formed in this science and then leave it for another field of study and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	And I saw a skilled doctor who had applied an abscess on the neck of a woman and then opened some arteries in her neck, causing great blood to flow that resulted in her death before many could help.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who was about to swallow the gallstone of a man who had gotten stuck in his state, and the stone was large, it passed into him and dissolved that gallstone with a piece of the bladder, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already tried to extract that stone, and I saw that due to the size of the gallstone and the position of the patient below him, it would result in his death.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was taking a salary from the Duke of our country for surgery, and he ended up on a black soldier whom had been wounded in his leg; and with his lack of knowledge, he extracted the fracture from him, covering the wound with poultices and splints made of strong material, and did not allow air to escape from the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And it proceeds according to his wishes, and it is dressed with bandages, and it is treated for several days as commanded that we release him. And thus when the leg and foot are infected, it ends in loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I tried to apply this on him, and arranged to release his tension, resulting in calmness and alleviation of his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption was already confirmed in the limb, so I couldn't control that, and it didn't stop spreading the corruption through the limb before the patient's life could be endangered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who drilled an abscess on cancer, and was inflamed for several days after that, during which the severity of his disease became evident to its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the cancerous lump is pure of melancholic humor, so it does not allow itself to spread throughout completely, but rather that there's a limb being affected by which everything was poisoned.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, children, it is necessary for you that the operation with me be divided into two parts: one being in operation associated with health, and another in work where there's great risk in major positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already established this throughout all sections of this book concerning operations where errors and fear occur; so it is necessary for you to keep this in mind and refrain from telling others, lest your pages be taken out of context and mislead.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take your weapons for the service and protection of God, and your patients for happiness and strength.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by God's grace for salvation and possible succession, and leave your terrible illnesses with difficult recovery, and keep your weapons from what makes you fear, so that endurance is in your faith and in your name does not fail: those more remain to your glory, further in the world and finally to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia had already said in some of his monastic sayings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat terrible illnesses with bad doctors, for it is the fault of bad doctors that one does not recover".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Starting the division of the work, and beginning with the first part of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first ordered chapter in the section about feet, concerning the tools and instruments of cautery and what is necessary for their operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, about drying and piercing, as well as about suction cups, boils, extraction of arrows, and matching them to those, all organized by the forms of the tools.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, about restoration and dislocation, as well as treatment of twists and matching them to those; a chapter ordered on operations in the feet, and concerning the forms of the tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On using fire from the cautery and acute medicine, as well as recalling the operation.
Am aquel comensa le tractat de tot le libre.	That is how one begins the discussion of all the body.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Let me tell you about the quality of those cautery tools and their use, as well as when it is forbidden to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, the discourse about the quality of cautery needles and their materials is long and tedious, subtle in science, and secretly concealed; many great scholars have spoken on this subject and they disagree among themselves. I am content with a small part of their discourses, fearing overindulgence.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that the cautery agrees with all parts universally based on their material or multiple materials, except for two parts, which are those of the anus and rectum.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the part of the anus and rectum, there is a material that would dry out; some people say that the cautery should be used for this condition, while others argue against it. They say that it is not convenient to use cautery in illnesses characterized by their nature and dryness, because fire (or heat) and dryness are what cause illnesses of the anus and rectum to improve when treated with heat or drying processes.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite argue that cautery should be used for any young illness of the anus and rectum that occurs in human bodies. When you compare a human body with its humidity to the nature of fire, you find that the human body is already hot.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to their discourse, something that I have experienced several times before discovering it myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not intend to delve into what has already been elaborated upon in the section on cautery procedures and exercises, nor have I come to understand the diversity of human body parts and the disposition of illnesses within them, as well as their causes, occurrences, and the time periods associated with these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other parts of the body, there is nothing to fear, especially with respect to damp and moist illnesses; all doctors are already familiar with these conditions, and they do not disagree on using cautery in such cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, about the secret of healing through cautery with fire and its benefit; this is about cautery with burning medicine. The fire itself is simple, its action only affects the member being cauterized and does not spread to other members without a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of burning medicine reaches there to those members from which it emanates, and strongly prompts the difficult healing of the diseased member and effectively suppresses it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The fire, thanks to its superiority and the goodness of its substance, does not do anything except overflow. We have come to know this through experience and long years of service in studying the art and understanding its causes; thus I excuse myself for the length of my discourse, for there is no mention of it in my work about this hidden knowledge of fire, and the quality of its operation within bodies and its expulsion via which you expel illnesses, with a philosophical demonstration that would sharpen your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time in which it is suitable to do cautery and pause the best springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at any time because the inconvenience due to accidental delay is submerged by the youth that comes from what follows after the cautery and especially if cautery is for pain or necessary pains, strong aches and swellings which do not tolerate tardiness as feared for those causing malice, which exceeds small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And do not doubt this in your minds, or, children, that which only considers the common people and lay doctors say, is that there is not an absolute time for all illnesses to be healed by cautery, and they pause at those consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not that they are worried about this, because cautery is only medicine in a place where it alters the constitution and dries up the humidity which is the cause of pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But, nonetheless, unnecessary cautery in addition to medicine due to the value and virtue of its operation and the greatness of its master.
