Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, let this book be pleasing to you as it fulfills the science of medicine for your satisfaction, and through its explanations, and through its declarations, in my view, I find that this treatise has been compiled for you. This part is from the operation on myself, which is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on oneself is confined to our region and in our times entirely private, where its science faces great peril, and its traces have been left behind; it would not be possible without it except for some small descriptions in the books of the Ancients, which rectify many errors and misconceptions within these confines where interpretations are closed, thus extending the effort and skill required.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that this treatise should be revived in the manner of exposition, declaration, and abbreviation; and to bring forth the forms of the tools like cauteries and other work equipment as part of the explanation, and for their preparation, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for why a good artisan cannot be found to use their own hands in this our time is that the art of medicine is long and requires expertise before being exercised in the science of anatomy which Gualia knew about the young parts of the members and their shapes, and their connection and separation; one must have knowledge of bones, nerves, and ducts, their number, and their removal; as well as pulsating veins and quiet ones, and the locations for their exit.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that is why Hippocrates said about his name is motion, but in the work small, and mostly in the art of hands.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already said about this in the introduction to this book; whoever does not know what we have told you about anatomy will fall into error which can lead to the death of many people, as I have seen too many like them who are formed in this science and then move on to that other field of study.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a physician who was experienced and had performed an abscess operation on the neck of a woman, and he opened several neck arteries so that there would be a great bleeding, resulting in her dying among the many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who was about to remove a stone from an old man, who had been suffering for his condition, and the stone was large. It successfully removed that stone using a piece of the bladder, resulting in the old man's death on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already attempted to remove it, and I saw that due to the size of the stone and because of the position of the patient beneath him causing obstruction below, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who was paid a fee by a duke from our land for surgery. He operated on a black slave who had suffered a fracture in his thigh; and with his lack of knowledge, he removed the fracture piece onto the wound, using pieces of wood and strong bands around it, not allowing air to enter the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he would let it heal according to his desires, and he would dress the wound, and he would keep it clean for several days and instruct us to remove the stitches; and this is also within when the thigh and the leg abscesses, it will lead to disaster.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I had him call me, and I prepared to remove the stitches, and thus achieved calmness and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was confirmed in the limb, so I could not stop it, and it continued to spread the corruption within the limb as the patient's condition worsened.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who punctured an abscess and became infected over several days, during which the severity of his illness increased in front of his lord.
