Ayssi comensan las paraulas de Albucasim .	Albucasim begins his words.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I fulfill this book for you, which is the last part of medical science, by adding it to your knowledge, and through its explanations, and through your declarations, it appears to me that I should complete this treatise for you, which is a segment of my operation in my own person, which is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation on oneself is confined to our region and our time, which has left this science in jeopardy, and its traces have remained; and without it there would not be much knowledge of surgery from the ancient books, which correct these errors and exaggerations within those passages where the interpretations of the science are closed, and prolonging the force of one's body and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this order of the treatise in this manner according to exposition and declaration and abbreviation; and for compatibility with the forms of the tools such as cauterys and other work instruments, a declaration addition is necessary, and for preparation which is required.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why there is no great surgeon in one's own hand in this our time could be due to the length of medical art and the need for experience before being trained in the science of anatomy as taught by Gualia, where they knew about joints, their forms, connections and separations; had knowledge of bones, nerves and lymph nodes, their numbers, and how they were arranged; and about pulsating veins and quiet ones, and about the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And this is why Hippocrates said that in his name, there is truth, but mainly in the work of small things and notably in the art of one's own hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; whoever does not understand what we have said about anatomy, should beware of falling into an error that could lead to the death of people, just as I have seen too many cases where some are formed in this science and abandon it for its own science and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a doctor who fell into a scrophulous abscess under the chin of a woman and had to incise some neck arteries because so much blood flowed that the woman died among his patients.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who was about to remove a stone from a man who had been suffering for some time with this condition. The stone was large and it was removed by him using a piece of the bladder; that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already attempted to remove it, and saw that due to the size of the stone and the location under his hip, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was paid by the Duke of our land for surgery, and was treating a black slave who had sustained a fracture on his leg; taking advantage of his lack of knowledge, he removed the fracture from the wound, covering it with powders and stitches on a hard structure, not allowing air to enter the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And after that, he removed it according to his wishes, then he bandaged and left it to dry for several days, and I instructed him to remove the stitches; this also happened when the leg and foot swelled with an abscess, leading to loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I attempted this for him, and prepared to remove the stitches, achieving calmness and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was confirmed in the member, so I could not control it, and the corruption would continue to spread within the body of the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess of cancer and was inflamed for several days, causing great suffering to his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is why the cancerous ulcer is pure of melancholic humor, so it doesn't spread throughout the body, but rather that there's a member suffering from which all is affected.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, children, it is necessary for you that the operation on oneself be divided into two ways: one where healing is associated with it, and in work where there are major dangers.
