Ayssi comensan las paraulas de Albucasim .	This begins the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, know that I have given you this book as a gift, the last of the art of medicine, for its completion serves your health, and through its explanations, and through its declarations, it is clear to me how I have completed that which I promised in this treatise. This work is part of my surgical practice.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on a human being is relegated to our region and in our time, almost entirely private, where its science endures great risk, and its traces are left behind; it would not have survived without some small descriptions in the books of the Ancients, which corrected many errors and misunderstandings about it. The interpretations of these were often closed off and the effort required to understand them was extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive the order of this treatise according to the way of exposition, declaration, and abbreviation; and for bringing it to conform with the forms of the tools of cauterization and other work instruments, as well as for adding the declaration, and preparing it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no skilled artisan exists in their own hand in this our time is that the art of medicine is long and requires being exercised in front of knowledge in the science of anatomy, as Guali knew about the youth of body parts and their forms, as well as their connection and separation; he had knowledge of bones, nerves, and muscles, including their number and structure. He was aware of pulsatile veins and quiet ones, and the sites for their discharge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And that's why Hippocrates said in his book, mostly in the art of the hand, that skill is everything.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we have already mentioned this in the introduction of this book; whoever does not know what we have said about anatomy cannot avoid falling into error, which will lead to the death of people. I have seen too many cases like this, where some are formed in this science and abandon their own field of study and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	And I have seen a surgeon skilled and experienced who has caused an erysipelas to occur on the neck of a woman, and by incising some neck arteries that there was a large hemorrhage resulting in her death during one of his operations.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another surgeon who was about to remove a hernia from an old man whose condition had deteriorated, the hernia being large. It moved towards him and removed that hernia with a piece of the bladder. As a result, that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already attempted to remove that, and I saw that due to the size of the hernia and the position of the patient under him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another surgeon who was taking pay from the Duke of our land for surgery, and operated on a black captain who had been hit by his horse; he took advantage of the surgeon's ignorance to remove the fracture, covering the wound with bandages and splints made of strong material, and did not allow air into the wound.
