Ayssi comensan las paraulas de Albucasim .	Albucasim begins his words.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, grant me permission to complete this book, which is the last of the science of medicine, for it leads to your health and through its explanations and statements, I see that I must fulfill my task in providing this treatise, which forms part of the medical operation and is akin to surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the medical operation is confined in our region and time to private practice, which poses great risk to its science, and its legacy remains; it would not have survived without some small descriptions in ancient books, which correct many misunderstandings leading to errors and misinterpretations that extend the effort of learning and practice.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this order of this treatise according to the method of exposition and declaration, as well as abbreviation; and to include in the descriptions of the tools like the cautery and other equipment for work, as well as preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why skilled craftsmen in their own trade do not exist in our time is that the art of medicine is long and complex. One must be acquainted with anatomy to practice this science properly; understanding the youth of body parts, their forms, their connections and separations; knowing about bones, nerves, lymph nodes, their number, and their location; knowledge about pulsating veins and those that are still, and the places where they are found.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And it is for this reason that Hippocrates said that in his name, work exists, but more so in the craft of hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we have already said in the introduction to this book; whoever does not know what we have explained about anatomy cannot avoid falling into error which could lead to the death of people, as I have seen too many cases of such individuals who are educated in this science but abandon it for another field of study and experimentation.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a doctor who has treated an erysipelas (a type of skin infection) on the neck of a woman and incised some neck arteries causing much bleeding that led to the woman's death in her later years.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who was about to swallow an omen (a sign indicating future misfortune) on the face of a man whose condition had progressed into its final stages, and the omen was large. It came towards him, and he used a piece of the bladder to remove that omen from his body; it resulted in that man dying on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I already had to remove that (the omen), and I saw that due to the size of the omen and the position of the patient beneath it, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who took a reward from the Duke of our land for surgery. He operated on a black prisoner whose leg had been broken; he showed off his lack of knowledge by removing the fracture, covering it with cotton and bandages made of strong fabric, and did not allow air to escape the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he then proceeds according to his desires, he heals, and he waits several days to clean the wound as instructed; and this is also true when the bone is treated with erysipelas, it leads to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I had him treated, and equipped to remove the bone, achieving peace and alleviation of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was confirmed in the member, so I could not prevent that, and the corruption continued to wander within the body of the patient, which posed danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who drilled an abscess and was infected some days later; during this time, the wickedness in him increased towards his lord.
