#To be cleaned - This text, despite the prompt to not include any comments/summaries/conversation, has several lines of such content.

Prologue	"When chronic pain comes in the whole head and lasts a long time,"
	"the patient should use salves and pills called "cochie","
O vos, tres chiers filz, je vos ai acomplit cest livre qui est li derriens de la science de medicine ensamble l’emplissement de lui, et ai fait la fin per ses expositions et par ses declarations. Et m’est venu en vision que je le vos acomplisse avec cest traitier, qui est partie de l’uevre de mains, c’est a savoir «cyrurgie». ¶ Et por ceu que l’uevre de mains est fortraite en nostre region et est etraingie dou tout en tout, si est perie li science et decopee, et n’est riens demorez de li fuers que les petites descriptions en livres des anciens que les mains ont muees. ¶ Et de ceu est venue li error et li vanitez, et sont closes les ententions et est aloignie li science. ¶ Or me semble que je la vuel vivifier ensamble l’ordination de cest traitier selonc la voie d’exposition et de declaration et de l’abreviation; et venrai ensamble les formes des ferremens de cautere, et des autres estrumens de l’uevre avec l’ajostement de la declaration et de preparation de li, sicom il est mestier. Et por la raison de ceu que nuls boins maistres de mains n’est trovez en nostre tens, est li ars de medicine eslongié. Et covient celui qui s’en entremet sormonter en la science d’anathomie, si com Galiens dit, tant qu’il saiche la juement des menbres, et les formes et les conjunctions et les separations d’aus, et aient connissance des osses et des nerf et des brais et le nombre d’ous, et le demenement et des voines movans et des reposans, et dou leu de lor issue. ¶ Et por ceu dist Ypocras que li nons avec le non est mout, et avec l’uevre est poc; et meismement en l’art de main. ¶ Nos vos disons en l’introite de cest livre que qui n’est conissans des choses devant dites, si se gart qu’il ne chiece en error et qu’il n’ocie les homes; ensi que j’ai veut maintes fois plusors de ces qui s’entremettent de ceste science et si s’abandonent sen science et sens experiment. ¶ Car je vis un fol mire qui copa .i. apostume de scrophules ou col d’une femme, et copa les arteres dou col; por coi tant de sanc issit hors que li femme cheit morte entre ses mains. ¶ Et vis .i. autre mire qui traït une piere d’un home d’eaige, et li piere estoit grans; si emporta avec li une piece de la vessie, et fut mors li hons dedens .iij. jors. Et je i avoie ja esteit apelez por lou traire, et vis la disposition dou malaide et la grandor de la piere, et soi bien s’on lou tailloit il en morroit. Et vis .i. autre mire qui prist en cure .i. duc de nostre terre qui avoit la jambe brisie, et avec la briseure ot plaie; et li mires plains d’ignorance estraint la brisure sus la plaie as esteles par fort lieure, et ne lassa a la plaie point de xalain, et le lassa ensi .i. termine; et li comanda qu’il ne la desliast mie; et demora ensi que li jambe fut toute enflee et li piez et vint a perdition. Je fuis apelez por venir a lui, et me hastai por venir deslier la jambe; et quant je l’oi desloie si fut em pais et ne sentit point de dolor. Mais toute voie li corruptions estoit ja confermee ou membre, et ne la poi saner; et ne cessa li corrution d’aler par le membre tant que li membres fut dou tout perdus. ¶ Et vis .i. autre mire qui effondra .i. apostume enchancreit, et puis enflama per le malice de sa signorie. Car chancre, quant il est purs d’umor melancolique, ne covient mie qu’on i(l) touche de fer s’il n’est en teil leu c’on puisse toute oster ce que est corrumpus. ¶ Et por ceu, treschier filz, vos est besoig que vos sachiez que oevre de mains est devisee en .ij. divisions: c’est asavoir, huevre ou il a peril en plusors dispositions; et je mostrerai en chescun leu de cest livre ou il a paour et peril. Por coi il est besoig que vos vos en gardez, si que li fol mire ne puissent mal parler de vos ¶ Si prenez vos armes en cusenson, et entreprenez vos malaides legierement et fermement, et usez de la millor voie si que per la graice de Deu vos venez a salut et soiez loez; et lassiez les maladies espoantables de grief saniteit; et ostez vos armes de ceu que vos fait douter, et aiez foit en vos si que vos puissiez venir de cestui monde a l’autre de gloire. ¶ Galiens dist en aucuns de ses amonestemens: «Ne prenez mie en cure male maladie, que vos ne soiez apelez fol mire.» ¶ J’ai deviseit cest traitier selonc .iij. chapitres. ¶ Li premiers chapitres est des cauteres de feu et dé cauteres de medicine ague, et est li chapitres ordenez de lou chief jusques as piez; et des formes des estrumens, et des ferremens de cautere, et de tout ceu qui est necessaire en l’ueuvre. ¶ Li secons chapitres si est de taillier et de percier, et des ventouses et des plaies, et des estractions des saiettes, et des semblans choses; et est li chapitres ordenez et les formes des estrumens. ¶ Li tiers chapitres est de restorer les dislocations et des torcions, et des semblans choses; et est ordeneiz des lou chief jusc’as piez, et des formes des estrumens.	"When chronic pain comes in the whole head and lasts a long time,"
Ainsois que nos nos remembriens de l’uevre, il covient que je die la qualiteit de l’aide et dou nuisement de chescune complexion. Je dis que li qualiteis de l’aide, et dou nuisement, est li plus longe parole et subtilz science et li secrez reponus; et de ceu parlerent li plusors des saiges, et s’acorderent a ceu; et me soffisent poc lor paroles, car je redous la longesce. ¶ Je dis que cautere aide universement a toute complexion ou il a matiere, fuer que .ij. complexions: c’est a savoir complexion chaude sens matere, et complexion seche sens matere. ¶ En complexion chaude et seche ensamble matiere, deviserent aucun et dirent que cautere i est grans aide; et li autre dirent le contraire: que cautere ne vaut a maladie que vient de chalor et de sechour. Car li nature dou feu si est chaude, et ne doit mie estre cureiz de chaude maladie par chalor, ne per sechour; et dist cil qui dist lou contraire que cautere fait grant aide a maladie chaude et seche que vient en cors des homes. Car quant tu comperes le cors de l’ome et sa moistor a la complexion dou feu, tu trueves le cors froit. Et je m’acorde a ceste parole. Car je l’ai troveit aucune fois per experiment. Et toute voie, ne s’en entremette mie fuers que cil qui l’a esproveit, et qui conoit par lonc usaige le chapistre des cauteres, et la diversiteit des complexions des homes, et les dispositions et les causes de lor maladies, et les sorvenues et l’espaice dou tens; des autres complexions n’avons nos mie paour, meismement em maladies froides et moistes. ¶ Et tuit li mire s’asemblerent et s’acorderent au cautere. ¶Et sachiez, filz, que cautere ensamble feu si est des secrez des cures, et de plus grant bonteit que cautere de medicine ardant. Car li feus est simples, et ne vient mie fuers que au membre qui est cuis, et ne nuit a autre membre se poc nom. Les medicines ardans vienent de membre a autre en aloignant, et font venir au membre maladies de grief sanation; et par aventure ocit lou malaide ¶ Li feus por sa hautece et por la bonteit de sa substance ne fait mie ceu, s’il n’i a superfluiteit. Et ceu vos ai je troveit par experiment et par la longesce dou servise et de l’estude que j’ai mis en l’art, et esteit sus la verteit des choses; et por ceu je m’escuse de la longesce de la parole, car il ne me plait mie que je vos oste le secreit qui est reponus ou feu, et la qualiteit de l’uevre, coment il deboute les maladies des cors, si com li philosophe le dit en demostrant; or le recevez en vos pensees. Et sachiez, fil, que il s’acorderent en quel tens doient estre faites les cauteres, et eslirent prientens. ¶ Et je dis que cautere est covenable en tous tens, por ceu que li nuisemens sorvenans est desoz mis par l’aide dou cautere; et meismement se li cauteres est por dolors necessaires fors et hastans que ne puent atendre le tens que plus grans malice ne veigne au membre. Et n’i pensez onques, chier fil, si com font li fol mire; car a la maladie qui est sanee par cautere n’a point de revenue; et il le dient ensi; mais il n’est mie si com il cuident, por ce que cauteres nen est que medicine qui mue la complexion, et seche les humors que sont cause de la dolor, et vaut mues que medicine por le hastement de sa valor, et por la vertut de son oevre et de sa signorie. ¶ Et possans chose est que li maladie viegne aucune fois selonc la complexion dou malaide et lou leu de la maladie et sa vertut; et sont assemblees en lui les superfluitez par l’aquisition des viandes et des semblans choses, se ce n’est cauteres administrez em leu ou il ait poc de superfluitez et de moistor, si com cauteres de dens por la dolor, et les semblans choses, et teil dolor ne revient mie; mais ce avient poc. Et mout de gens n’entendent mie por coi cauteres est apelez li derriens de medecine, et c’est voir; mais il ne croient mie que cauteres vaille aprés medicine, mais lor ententions est fause, et est cauteres li derriens de medicine por ceu que quant nos aministrons manieres de cures en aucune maladie et elles ne valent, adonc administrons nos le cautere, et il vaut. ¶ Adonques apert bien que cauteres est li derriens de medicine, ne mie selonc l’entention des folz mires. ¶ Li ancien dirent que cauteres d’estrument d’or est muedres que de fer, et ne dirent ceu fuers que por la qualiteit de l’or et por la hautece de sa substance; et dirent que li leus de cautere ne fait mie porriture, mais ceu n’est mie voir car je l’ai esprovei, et ai troveit que c’est voir en aucuns homes; et cauteres d’or vaut mues que de fer, si com il lou dirent. Et toutevoie quant tu chaufes estrument d’or, tu ne seis mie quant il est chaus par la color de l’or, et s’est tantost refroidiez; et s’on le chaufe trop; si font au feu; et ensi i a assez d’empechement. Et por ce usons nos de cautere de feir que nos l’avons mues apparilliet a nostre oevre. ¶ Or vos ai ordeneit cest chapitre des lou chief jusc’a piez, por ceu que li voie soit plus legiere a trover.	When chronic pain manifests throughout the entire head and lasts for an extended period of time, the patient should utilize salves and pills known as "cochie," and head-purging remedies along with oils and plasters; and if the cautery we previously mentioned is applied but doesn't prove effective.
	And indeed, all the attendees united in agreement regarding the cautery.
1.1	When chronic pain comes in the whole head and lasts a long time,
dou cautere olivaire	The patient should use salves and pills called "cochie",
Cist cauteres vaut a moistor et a froidor sus lou cerveil, et en i a dous c’on fait par la cause d’une maladie qui est apelee «soda», et par la cause de maintes humors qui dessendent dou chief as eulz, et as oreilles, et por multitude de songes et dolor de dens et dolor de gorge, et meismement a toutes maladies qui vienent de froidor si com paralisie et sode et apoplexie et semblans maladies. Li forme de cest cautere si est que li malaides soit espurgiez par medicine solutive mondifiant le chief .iij. nuis ou .iiij., selonc ceu que li vertus et li eaige et li acostumance dou malaide le puet soffrir; et puis fai rere lou chief dou malaide. ¶ Et puis le fai seoir croisiet entre tes mains, et mettre ses mains sor som peis; aprés met la racine de ta palme sus la racine de son neis entre ses .ij. eulz; et lai ou venra tes dois moiens, si saigne d’enche puis eschaufe le cautere qui est apelé «olivare», de coi ci est li forme:	The patient should use salves and pills called "cochie", and purgatives for the head and oils and plasters; and if the cautery we mentioned before is applied and it does not work.
Et le met sor le leu signiet d’encre, et fai en dessendant et en estraignant ta main poc et poc en trestornant; puis lieve ta main isnelement, et rewarde le leu se tu vois l’os .i. sol petit; et se tu ne lou vois, si rencomence le cautere tant que tu voies l’os si com je lou t’ai dit; aprés pren .i. poc de seil, et met en awe et molle coton dedens, et met sor le leu, et li laisse .iij. jors; aprés met sus cotun moilliet en burre; et laisse sus tant que li eschaudure soit ostee; aprés cure la plaie de l’oignement qui est apelez «tetrafarmaçon», tant qu’il soit sanez. Et se dirent li ancien, que quant plus demoure overte li plaie, plus s’espurge; et por ce si aide mues. // Et dirent aucun de ces que on doit tant lassier le cautere que partie de l’os soit arse, et puis rese on ceu qui est ars de l’os, et soit curez. ¶ Et dient li autre c’on doit le cautere tant lassier sus, et bouter si fort c’on abaite de l’os ausi large comme .i. vertoil que les femmes mettent en lor fusez por ceu que les humors issent mues hors; et doit on lassier la plaie longement overte; aprés le doit on curer et sodeir. ¶ Et ces .ij. manieres de cauteres ne me semblent mie estre bones dou tout en tout, fuers qu’en aucuns homes ou il ait voie de paor; et mues me semble que je lou doie laissier; car li chiés li est afoiblis par les solutions continuees de nature, si com nos le tesmoignons ens autres membres; et meisme quant li chiés dou malaide est foibles par nature, et li premiere semblance de cautere est plus salve et muedre por moi, et de celi use je oevre en donques emsamble salut.	And place it under the sign of ink, and apply it downwards and squeezing it gently back and forth; then lift your hand alone until you see a small bone after one or two days; if you do not see it, repeat the cautery until you see the bone as I've described. After that, take half a spoon of flour and wet a piece of soft cotton with it, place it under the sign of ink, and leave it there for three days; afterwards, put on a poultice made of butter; let it stay until the scalding is gone; then treat the wound with the ointment called 'tetrafarmaçon' until it heals. And according to the old saying, that the longer the wound stays open, the more purged it becomes; this is what I've learned from experience. // And do not let the cautery stay long enough for a part of the bone to burn, and then treat the burned part of the bone separately. And some say that you should leave the cautery there until it lifts up the bone as wide as one twelfth of an olive, because women use this method when they have to expel menses; and I believe I should let it stay open for a long time after that. Then treat and purify the wound. // And these two ways of using a cautery do not seem to be good in every situation, except when there is a sign of pus; and according to me, this method seems more effective at first, so I use it in such cases together with healing treatments.
	When chronic pain comes in the whole head and lasts a long time, the patient should use salves and pills called "cochie", and purgatives for the head and oils and plasters; and if the cautery we mentioned before is applied and it does not work.
1.2	"When chronic pain comes in the whole head and lasts a long time,"
de l’anciainne dolor dou chief	"When chronic pain affects the entire head and lasts for a long period,"
