Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, sons, when I have completed this book for you, which is the last of the science of medicine, by its completion in it, and by its expositions and declarations, it has become clear to me that you will complete with this treatise, which is a part of the action by hand, i.e., surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the action by hand is prohibited in our realm and in our time is deprived of all prestige, while greatly risking the science of it, and its traces are obscured; and nothing remains of it except a few small descriptions in the books of the Ancients, which they altered and led to those errors and hesitations that closed their minds to it and diminished its strength and skill.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has become clear to me that I will animate this through the arrangement of this treatise in that second way of exposition and declaration and abbreviation; and so that it might come with the forms of the tools of cauterization and other instruments of the work as is fitting for addition of the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which there is no good craftsman by hand in our time is because the art of medicine is long, and that its practitioner must be practiced beforehand in the science of anatomy, which recognizes Gaulish in that it knows the joints of the members and their forms, and the connection and separation of them; and have the knowledge of bones, nerves, and tendons, and the number of those, and their emanation.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so Hypocras says that by name is much, but in the work is little, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said that in the introduction to this book; for whomever is not learned what we have said of anatomy, it is not permitted that they might fall into error by which men will die, as I have seen too many of those, for some are formed in this science and throw themselves from it without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced physician pierce a scrophula on the neck of a woman, and piercing some arteries of the neck so that much blood flowed and the woman died in his arms.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who extracted a stone from a man who had proceeded in his state, and the stone was large, and he came to him and drew out that stone with a piece of the bladder, and that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had called to extract it, and I saw that for the size of the stone and for the disposition of the patient over him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who took stipends from a duke of our land for surgery, and there came to him a broken black slave; and preparing with his ignorance, he extracted the fracture over the plague with powders and splints with strong compression, and did not allow the wound air.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he discharged it according to his desires, and then bound it, and then let it remain for some days and commanded that we loosen the dressing; and it became so that the thigh and leg were pustularized, and came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the dressing, and achieved tranquility and eased of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, corruption was confirmed in the member, so that I could not restrain it and the corruption did not cease wandering in the member as the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who pierced a cankerous ulcer, and was ulcerated for some days, as the wickedness of it increased with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cold choler is pure, and then it does not come to him from iron at all, but that there be some member suffering from it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so, sons, it is necessary for you that the action by hand be divided into two divisions: one is in operation to him who is associated with health, and the other is in work with which there is peril in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already discussed that in every chapter of this book in which there appears operation in which there is error and fear; so that it is necessary for you to guard against that and leave it, so that the foolish might not hinder your way and disgraced you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And thus take up your arms with solicitude and the protection of God, and your patients with gentleness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way by the grace of God and to bring about health and praiseworthy success, and lay aside the terrible diseases of difficult cure, and take up your arms from what makes you fearful so that solicitude in your faith and in your name does not escape you: for it remains to your glory, and more in the world and beyond to your saintliness.
Gualia ja diyssec en alcunas sieuas monicios:	Gaulish has already said in some of his books:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal evil ill, so that bad physicians are not named."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered from the head into feet, in the forms of the instruments and the tools of cauterization, and what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of bleeding and piercing, and of cupping, and of plagues, and of extraction of arrows and like things, all chaptered and ordered from the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and of dislocation, and of cure of torque and like things; chaptered from the head into feet, and of the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterization by fire and by acute medicine and reminiscence of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	We will say the quality of the humors of that cauterization and of the pains of it, and in what condition cauterization is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the speech of the quality of the humor of cauterization and the pain of it is long speech and prolix, and subtle by science, and secret hidden; and many have spoken greatly of it, and from it are disagreed, and for me a little of their speeches suffices, fearing prolixity.
