Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, sons, as you will have completed this book, which is the last of the science of medicine, by its fulfillment in it, and by its expositions and by its declarations, to me it seems that you complete that for yourselves with this treatise, which is a part of the operation by hand, and is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation by hand is spread out in our land and in our times of all deprived, while greatly fearing the science of it, its practices are obstructed; and nothing remains of it except some small descriptions in the books of the Ancients, which altered the most and led to those errors and misunderstandings among those whose understanding of it was closed and its force and art prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you vivify that by the arrangement of this treatise in accordance with the way of exposition and declaration and of abbreviation; and so that it comes through the forms of the tools of cautery and other instruments of the work as though it were a preparation of the declaration, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which no good artist is found by hand in our time is because the art of medicine is long, and that its practitioner before anything be exercised in the science of anatomy, which knows the joints of the members and their forms, and the conjunction and separation of them; and have knowledge of the bones, of the nerves and of the ligaments, and the number of those, and their discharge; and of the pulsating veins and the quiet ones, and the locations of their exit from them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so says Hippocrates that by name is great, yet in work small, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of that in the introduction to this book; for who is not learned that which we have said of anatomy, it is not vacated that he does not fall into error by which men will die, as I have seen too many of those, for some are formed in this science and throw themselves from it without science or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced doctor who pricked an abscess scrofulous on the neck of a woman, and pierced some arteries in the neck so that much blood flowed and the woman died in his arms.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who before he swallowed a stone from a man who had a process in his state, and the stone was large, and it came to him and drew that stone with a piece of the vesica, so that the man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called out to extract that, and saw that by the size of the stone and by the disposition of the patient over him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received stipends from a duke of our land for surgery, and indeed gave to a black slave whose leg was broken by a fall; and prepared the doctor with his ignorance, extracted the fracture above the plague, with powders and splints with great tightness, and did not leave the plague to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he released him according to his desires, and then he layed, and then he released it for several days and commanded that we unbind the bandage; and so it stayed as though the leg and thigh had apostematized, and came to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to unbind the bandage, and obtained tranquillity and ceased from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was confirmed in the member, so that I could not restrain it, and the corruption did not cease to wander in the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated an apostematoid ulcer, and was open for several days, while the wickedness of it magnified with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the ulcerative humor is pure of melancholic humor, then it does not come to him by iron from all over, but that there be some member in which he suffers that from all over he is hostile.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so, sons, it is necessary for you that the operation by hand be divided into two divisions: one in operation to him who is associated with health, and in work with which there is peril in the greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already excused that in all places of this book in which it occurs in operation in which there is error and fear; so that it is necessary for you that you guard that and leave that, so that fools do not obstruct the way to speak and to you discredit.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take your arms with solicitude and with protection of God, and your patients with gentleness and with firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way by the grace of God to health and to laudable success, and lay the terrible diseases of difficult cure, and place your arms from that which causes you to fear, so that solicitude in your faith and in your name does not evade you: for it remains to your glory, and more in the world and lastly to your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Gaulish already said in some of his maxims:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not heal bad diseases, so that bad doctors do not be named.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter arranged of the head into feet, in the forms of the tools and in the iron of the cauteries, and of that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
