Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, since I have completed this book for you, which is the last of the science of medicine, through its fulfillment in me, and through its expositions and declarations, it has become clear to me that you will understand this treatise, which is a part of the operation with the hand, i.e., surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation of the hand is nearly unknown in our realm and time, having been deprived of it almost entirely, while those who know something about it have distorted its science, and its procedures are obscured; only a few small descriptions of it remain in the books of the Ancients, which confuse the matter and lead to error and uncertainty, so that the understanding of it is blocked and its force and art diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has seemed good to me that I should animate this treatise according to the way of exposition and declaration and abbreviation; and so that it might come with the forms of the tools of cautery and other instruments of the work as they are through the addition of the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no one is adept with their hand in our time is because the art of medicine is long, and its practitioner must be exercised in the science of anatomy, which knows the parts of the members and their forms, and the conjunction and separation of them; and has knowledge of the bones, the nerves, and the tendons, and the number of them, and their movement; and of the pulsating veins and the quiet ones, and their places of emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so Hypocrites says that though his name is small, in the work he is great, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this in the introduction to this book; for whoever is not learned in what we have said about anatomy, it has been made clear that he should not fall into error, by which men will die, as I have seen many of them, for some are formed in this science and yet stray from it without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw an experienced fool of a doctor pierce a scrophula on a woman's neck, and pierce some arteries in the neck so that much blood flowed and the woman died under his hand.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who pulled out a stone from a man who was in great pain, and the stone was large; he came to him and extracted that stone with a fragment of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for them to stop extracting it, and saw that due to the size of the stone and the condition of the patient, I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he treated a black slave who had a fracture in his thigh; and preparing with his ignorance, he extracted the fracture over the plague with powders and splints with strong compression, and did not let the plague breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he healed according to his desires, and he bound it, and let it be for several days, and commanded that I should not loosen the bandage; and so it stayed as it was, and the thigh and the leg became pustular, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to loosen the bandage; and after there was tranquility and he was eased of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was confirmed in the member, so that I could not restrain it, and the corruption wandered in the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous ulcer, and it festered for some days, until the wickedness of it increased with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the black humor is pure in its melancholy, therefore it does not come to it with fire at all, but rather that it is in a member which suffers from everything that is hostile to it.
