Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, when I have completed this book for you, which is the last of the science of medicine, by its accomplishment in it and by its expositions and declarations, it has seemed to me that you will understand this treatise, which is a part of the operation with the hand, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with the hand is spread abroad in our realm and in our time deprived of all, while the science of it perishes, and its vestige is obstructed; and there remain of it only a few small descriptions in the books of the Ancients, which have altered the most part and led to errors and confusion, so that the minds of men are closed to it, and its force and art are prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has seemed to me that I should animate this with the arrangement of this treatise in the second place according to the way of exposition and declaration and abbreviation; and so that the forms of the instruments of cautery and of other tools of the work might come by addition of declaration, and by preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why no good artificer is found with his hand in our time, is because the art of medicine is long, and that requires one to be exercised in the science of anatomy, which knows the joints of the members and their forms, and the conjunction and separation of them; and has the knowledge of bones, nerves, and tendons, and the number of these, and the issue of them; and of the pulsating veins and the quiet ones, and the places of their issuing.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hypocras says that by name is much, but in the work little, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this in the introduction to this book; for whoever is not learned in what we have said of anatomy, it is not vacated that he may not fall into error by which men will die, as I have seen troops of these, for some are formed in this science and throw themselves from it without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced doctor open an abscess of scrofula on the neck of a woman, and he cut some arteries of the neck so that much blood flowed and the woman died under his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who had taken a stone from a man who was in his condition, and the stone was great, and he brought it out with a part of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called to take it out, and I saw that by the size of the stone and the disposition of the patient that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received stipends from a duke of our land for surgery, and he treated a broken black slave; and through the ignorance of the doctor, when he had extracted the fracture, over the wound with poultices and bandages with strong pressure, he did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he did this according to his desires, and he released it, and he bound it for many days and commanded that we should not loosen the bandage; and he did so until the thigh and foot were apostematized, and he came to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to loosen the bandage, and I obtained tranquillity and he was eased of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed the corruption was confirmed in the member, so that I could not restrain it, and the corruption did not cease to wander through the member until the man died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who opened an apostema of a canker, and it was ulcerated for some days, until the malice of it was magnified with his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that the black cautery is pure of melancholy humor, therefore it does not come to him with fire from all, but that there be a member which suffers that from all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation with the hand be considered in two ways: first, in operation which is associated with health; and second, in work with which there is peril in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already exhorted this in all parts of this book in which comes operation in which there is error and fear; so that it is necessary for you to guard this and leave that, so that the foolish may not obstruct the way of speaking and disgracing you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with solicitude and with protection of God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way by the grace of God to health and laudable success, and leave terrible diseases of difficult cure, and bear your arms against that which makes you afraid, so that solicitude in your faith and in your name does not abandon you; for there remain for your glory, and most in the world and beyond to your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Gaulish already said in some of his maxims:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“Do not heal ill disease, so that evil doctors are not named.”
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter arranged of the head-to-toe, in the forms of the instruments and in the tools of the cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter of bleeding and puncturing, and of cupping-glasses, and of bandages, and of extraction of thorns and of their likes, all capitulated and arranged of the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter of restoration and of dislocation, and of cure of torsion and their likes; a chapter arranged of the head-to-toe, and of the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and with acute medicine and reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you the quality of the humors of that cautery and the pains of it, and in what complexions cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the term of the quality of the humor of cautery and of the pain of it is long and prolix, and subtle through science, and secret hid; and of it have spoken greatly many sages, and of it are they disagreed, and for me a little suffices of their terms, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery confers with all complexions universally the which is of matter or of matter, excepting two complexions, which are cold and moist complexions.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the cold and dry complexions with matter they disagreed; for some said that cautery is beneficial to it, and others said the contrary of that, that cautery is not convenient in disease which is by quality and by dryness, for nature of fire is quality and dryness, and convenient is that disease cold and dry with that which is cauted and dried be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I said the contrary of that, that by cautery is made benefit in all disease cold and dry which you see in the bodies of men; for when you compare the body of man and its humidity to the complexions of fire, you rub the body of man moist.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I speak from experience, as I have tried this myself several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not advisable for someone to attempt this who has not already been instructed and practiced in the art of cautery, and become familiar with the variety of human complexions and dispositions of illnesses within them, and their causes, and the accidents of those illnesses, and the span of time involved.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexions there is no need for fear, especially in moist and humid illnesses, for all doctors have agreed on these, and they are not at odds over the use of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my children, that the secret of healing with cautery by fire and of its goodness is that cautery is a simple action, the effect of which does not reach except to the member that is cauterized, and it does not affect another member by it except for a little harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of a burning medicine reaches to those members from which it is removed, and it strongly brings about an illness in the member that is difficult to heal, and it strongly causes pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its subtlety and the goodness of its substance, does not do that except to make it superfluous. And it is known to us by experience and by long service in the study of art upon the truth of causes; and because of this I am excused from the length of speech. And if it were not for the fact that my free will is not read in this hidden secret of fire, and the quality of its operation in bodies and its expulsion by which illnesses are expelled, in philosophical speech demonstrated, which would be sharpened in your hearts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, my children, that they disagree on the time in which it is convenient to perform cautery and they pause at the best time in spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm from the accidental time is submerged in the benefit of what is drawn by cautery, and especially if the cautery is for pains or necessary pains, strong and fierce, which do not tolerate delay, so that it is feared that evil may come, which is greater than the little harm that comes from the season.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And yet, do not wonder in your hearts, o my children, at this, for it is not esteemed except by the common people and foolish doctors; it is that to that illness which is healed by cautery, there is not a reduction in time, and they pause at that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think it to be, for cautery is only in place of medicine which alters the complexion and dries up the moistness which are causes that bring about pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, cautery surpasses medicine in the strength of its value and the power of its operation and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness may return at some time according to the complexion of the patient and the location of the illness, and the power of it, and what is prepared in the body of it from the aggregation of superfluities in it, and what is come to it in its acquisition in foods and likenesses of those causes; unless that the illness on which cautery is administered is a subtle illness in a member with few superfluities and moistness, so that as with cautery for tooth pain and likenesses, it is possible that the pain will not return in him, but what happens in him is small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And yet, the common speech is that cautery is the last remedy of medicine, and it is a just speech, not to what they understand about it, for they believe that there is no cure that benefits by medicine nor by any other cause except cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last remedy of medicine is not except when we administer the manners of cure in some illnesses, and those medicines do not confer it, and then at the end of the cause we administer man cautery, and it benefits to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And then from here it happens that cautery is the last remedy of medicine, not according to the intention which the commoners and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not do harm, when it is not absolutely true, for I have already tried this and have proven to you that it does not do this except in some bodies without the others, and cautery with it is good and better than with iron as they said; but when you perform cautery with fire and gold, it is not declared to you, because it is kindled according to the quantity that you desire by the heat of the gold, and because it prepares to receive burn; and if you apply fire on it some leaves so that the craftsman sees by the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, cautery with iron must be made more gently and closer to the site of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in cautery according to chapters, and I have ordered those of the head into the feet, so that also ask me what you want from him.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headache due to coldness and moistness.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to the moisture and coldness on the servile accident of which there are two causes, it is cause of soda and multitude of flux, called rhachitis, from the head to the tips of the ears and from the ears flowing, and multitude of sleeping, and toothache, and generally of all illness that comes by chill, so as paralysis, palsy, and likenesses in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: that first you command the patient to be evacuated by laxative medicine the head cleansing, for three or for four days, according to the strength of the patient and his age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command that he shaves his head with a razor, and then let him sit between your hands on a heated bed and let him rest his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the root of your palm near the foot over the root of the nose between your heels.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you have reached the mid-point of that location, mark it with a tent and then apply the olive oil cautery whose recipe is as follows:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place this over the marked spot, in such a way that it covers and presses down gently, and you shall keep turning it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and examine the spot, and if you see some of the bone exposed, with some amount of flesh, then lift your hand again, and if not, return your hand with that iron, with another one of those, if it is cooled off, back to the spot until you see what I have described to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the spot, and let that stay there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place raw meat over it, wrapped in a cloth, and let this stay until the burn scar is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the spot with four-ingredient ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they also say that when the plague sores open up, the better the pus flows out, and so it is healthier and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the bone should be cauterized within, and that the cautery should stay until some part of the bone is charred.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it should be cut away from the bone, and then treated.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach down to the nerve, causing strong pressure within the bone until it breaks, and this is the recipe for alphecat in small amounts:
E estiman de aquel loc expiran la vapors del cap.	And they consider that location to be where the brain's vapors escape from.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the plague sore remains open for a long time, then it should be treated until it is healed and consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two cauteries used in their entirety except on some men according to the way of fear; and it is better for them as they are, since the head is made transparent by solution of continuity from there, as we have testified in other members, especially when the patient's head is of a phlegmatic nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first cautery is more gentle and better for them; and it works in this way with advantage.
Capitol segon.	Chapter according to St.
Del cauteri del cap.	Of cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in every part of the head there is chronic and long-lasting pain, which has been prolonged in the patient, and he uses oils and salves and clysters and poultices and compresses and bandages and other similar remedies without any benefit, then consider that if the patient's head is of a strong constitution by nature, not phlegmatic but having a great deal of heat, then cauterize him with another cautery after the first one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that at the crown of his head with a cautery until the bone is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The bone split and the amount we have described exposed, then cauterize that with a cautery at the back of the head in the place called the foramen magnum — and it is the location where the ventouse is applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand back and forth, and do not expose the bone, for by doing this he will experience great pain unlike with any of the other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will describe this cautery in its place, for the cautery by which the horns of the head and the occipital are cauterized is more gentle than that cautery by which the middle of the head is cauterized; and this is its recipe:
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	Of cauterization for non-ancient hemorrhoids.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the head caused by a cold disorder, or pain within the eye socket, first let it be evacuated with purifying medicines, and let other remedies also be administered as described in earlier diseases; and if nothing helps, then cauterization can be performed in two ways: either cauterization with burning medicine, or with an iron.
