Ayssi comensan las paraulas de Albucasim .	Thus begins the treatise of Al-Bucayashi .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O son, I give you this book, which is the last of medical science; its completion brings me great joy. With its explanations and descriptions, it is clear that I have fulfilled my task in writing this treatise, which is a supplement to surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For although the operation of maiming is laid out in our region and at our time entirely deprived, yet it is a very dangerous science; and the evidence of it remains; but a few small descriptions are found in the books of the Ancients, which change their intentions and put them into error and confusion, because they are closed and lengthy in their reasons and the force of them and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I have brought life to this treatise with the second order of its exposition and description and brevity; and for it to come to the forms of cautery instruments and other tools of the operation by means of addition to the description, and for preparation of it, which is necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause why a good surgeon does not exist in our time is that the art of medicine is long, and because before he exercises himself in the science of anatomy which covers Gualia, for he knows the growth of the members and their shapes, and the joint and separation of them; and has knowledge of the bones, nerves, and ligaments, and the names of them, and the structure of them; and of the pulsating veins and quiet ones, and the locations of their sensation.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this I say that the name of Hippocrates, which is by itself, is enough in the small work, and more so in the art of maiming.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already said of that in the introduction to this book; for who does not know that I have told you about anatomy, it is not evident that he will fall into error by which men will die; so many errors have been found in this science and taken from that other science and those experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor look at an apple and find an abscess in the neck of a woman; and he hit some of the arteries in the neck with a needle, so that blood flowed out in large amounts from her neck, causing her to die among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who said that he would drink a draught of a man who had fallen sick; and the draught was large, and he drank it, and cut off a piece of his bladder, causing that man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called it to mind that because of the large size of the draught and the state of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipend from our duke for surgery; and he was about to break a hernia on his chest, but because of his ignorance he broke it over the skin, using ashes and straws to strengthen the fracture, and left the skin unhealed.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he followed his own desires and his god, and left it unhealed for several days and commanded that we cut the lien; and so, within those days, the hernia in the foot broke out and came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I have been called to do it, and I prepared myself to cut the lien, and when it was done there was peace and comfort for his sufferings.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already set in the member, so that I could not stop it; and it did not cease to walk until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess of cancer, and it became ulcerated near the skin after a few days; then the malignancy of it spread to its master.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For the reason that the cancer cauterized is pure of melancholic humor; otherwise it does not remain in its place, but goes to another member than that on which you suffer, so that it becomes a source of all suffering.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, son, it is necessary for you that the operation of maiming be divided into two operations: one in which health is associated with it, and another work by which danger is incurred in the main dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already examined this book completely in every place where it involves an operation of error and fear; therefore, you must keep this book away from your eyes and not allow it to be read, so that its pages do not turn your way and distract you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with diligence and protection from God, and your ailments to facilitate and fortitude.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace to achieve salvation and worthy succession; leave behind you terrible illnesses of difficult healing, and hold your weapons away from those who cause you fear, so that you do not falter in your faith and do not abandon your name: for more remains to be done by you out of love, and further on to the end of your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia has already said in some of his motivational quotes:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat a bad disease, so that you do not offend a doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is organized by chapters; in the forms of instruments and tools of cautery, and from which it is necessary for the operation.
La divisio de la segonda partida.	The division of the second part:
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of incision and perforation, and of vacuums, and of clouds, and of extracts of arrows and similar things, completely organized by the shapes of instruments.
Divisio de la tersa partida.	The division of the third part:
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and displacement, and of cure for twists and similar things; a chapter organized by chapters; in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cautery and of acute medicine and recall of the operation.
Am aquel comensa le tractat de tot le libre.	At that point, I begin the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you the quality of those who perform cauterization and those who are unsuitable for it, and in which combination it should be done.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of cauterization and the unsuitability of it is long and tedious, and subtle by science, and hidden away; and there is much wisdom in it, and I have enough of their disagreements, and I am satisfied with a little of their speeches, fearing repetition.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization is done in every combination universally; which is either of one matter or of two matters, except for two combinations, which are combinations of the tail of two matters.
