Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Al-Bucasi .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O son, I give you this book, which is the last of the science of medicine, to its completion by its consequences, and for its explanations, and for its clarifications, I see that I have pleased you with this treatise, which is part of the work of hand, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the work of hand is laid down in our region and in our times entirely deprived, so great perils the science of it, and its evidence remains; and they did not come from it except a few small descriptions in the books of the Ancients, which changed them to error and confusion within that they are closed the doctrines of it and is extended the force of it and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen to me that I have revived that in the order of this treatise in that second way of explanation and declaration and abbreviation; and so that it comes by addition of the declaration, and by preparation, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May the cause why a good craftsman does not excel at his work in this our time, is that the art of medicine is long, and that he has to be exercised in the science of anatomy which connects Guaria within that it knows the movements of the limbs and the shapes of them, and the connection and separation of their; and had the consciousness of the bones, nerves, and ligaments, and the name of those, and the grace of them; and of the pulsating veins and the quiet ones, and the places of emission of them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore say I that a certain word is called a monkey, less in the work small, and more in the art of hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we have already said in the entrance of this book; for who does not know that I have told you about anatomy, it is not evaded that does not fall into error by which men die, so therefore I see many of them, because some are formed in this science and get themselves of that science, and those experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor of medicine and tried to see that he had made an ulcerous abscess on the neck of a woman, and had cut some arteries of the neck so that blood flowed out from it, but the woman died among its most.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who said that he would drink a pill from a man which had passed in his state, and the pill was large, and came to him and dried up that pill with a piece of the bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have called to be drawn out that, and I saw that because of the size of the pill and the disposition of the patient knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a salary from our lord of his territory by surgery, and went to a black cast that was his fracture in the crotch; and prepared the doctor, drew out the fracture, on the skin, with powder and needles with strong stretching, and did not leave it on the skin breath.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he removed it according to his desires, and then he prayed, and then he left by some days and commanded that we remove the ligament; and so it came in that the crotch and the foot hole ulcerated, and came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to it, and prepared myself to remove the ligament, and achieved peace and no longer feel his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	May however the corruption had been confirmed in the member, so that I could not restrain it, and did not cease to walk the corruption in the member within that the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous ulcer, and came to burst after some days, within that the evil of it came out on its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	That is because the cancerous wound is pure of melancholic humor, then it does not cover that it comes to him by all means, but that it be a member which you suffer that of all is host.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, son, it is necessary that you consider the operation of hand to be divided into two sections: one in the work which is associated with health, and the other in the work in which there is danger in its most dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already exhausted it here in all places of this book where victory operation is the error and the fear; so that it is necessary for you to keep it and to leave it, so that the pages do not rob the way to speak and to disappoint you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your arms with diligence and protection of God, and your evils with kindness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And you use the best way by the grace of God to get to salvation and to praise glorious succession, and leave behind the terrible evils of difficult healing, and keep your weapons from here that you make fear, so that you hesitate in your faith and in your name do not you run away: for it is left to your glory, and more in heaven and behind your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Guaria has said in some of its instructions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat bad disease, so that you do not know how to treat it."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters:
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered in heads, within the feet, in the forms of instruments and tools of cauteries, and from that it is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
