Ayssi comensan las paraulas de Albucasim .	Thus begins Al-Buqadi's discourse.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, I present to you this book, which is the last one in the science of medicine, by its completion, its consequences, its explanations and its explanations, it seems to me that I satisfy you with this treatise, which begins with the operation of hand, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation of hand is laid down in our region and at our time totally deprived, except that it greatly threatens the science of it, and its signs are left; and they would not be other than a few small descriptions in the books of the Ancients, which have changed most and have led to error and confusion within that they are closed the explanations of it and is stretched the force of it and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I have revived that by the order of this treatise in that second way of explanation and declaration and abbreviation; and because it comes to the forms of instruments of cautery and other instruments of work, whether by addition of the declaration, and preparation thereof, which is necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	And the reason that a good craftsman does not excel in his art in our time is because the art of medicine is long, and that he covers his actor before it has been practiced in the science of anatomy which discovers the joints within it; and the connection and separation of them; and the sense of bones, nerves, and ligaments, and their names, and the expansion of them; and the pulses of veins and quiet veins, and the places of their feeling.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore I say that Hipocrates, who is called by a name, excels in the work that is small, and more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already said of that in the introduction to this book; for whoever does not know that we have spoken of anatomy, it is clear that he falls into error and because many are formed in this science and get their knowledge from that one, which is the science of experiments and experiences.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor with an open book and tried to prove that he had made an incision of a scrofulous apostema in the neck of a woman, and cut some arteries of the neck so that blood flowed much from her, so that the woman died among her friends.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor that he drank a stone from a man who had passed it in his state; the stone was large, and brought it to him, and dried up that stone with a piece of the bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have called me to draw out that stone, and I saw that by the size of the stone and the disposition of the patient, surely he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a fee of a duke from our land for surgery; and he put his patient on a black couch, and prepared the doctor with his ignorance, drew out the fracture on the skin, using powdices and needles to make strong tension, and did not leave the skin breathing.
