Ayssi comensan las paraulas de Albucasim .	Thus begins the discourse of Al-Bucashi .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, son, I present to you this book, which is the last of medical science, in order to complete it as far as possible; for its explanations and declarations, I consider that I have completed it to you with this treatise, which begins with a description of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since surgery is laid down in our region and at our time completely deprived; so much so that the science of it, and its indications, are left out; and only a few small descriptions remain in the books of the Ancients, who mistook them and put them into such error and confusion as to render their intentions and forces ineffective and their art useless.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I consider that I have brought life to that in the order of this treatise in that second way of exposition and declaration and abbreviation; and because it comes with the forms of surgical instruments of cauterization and other instruments by addition of the statement, and for preparation thereof, which is necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause why a good surgeon does not practice his art in our time is that the science of medicine is long; and because he does not find himself in front of anatomy which joins and separates its parts; and has knowledge of the growth of bones, nerves, and ligaments, their names, and the shape of each; and knows the pulsating and quiet veins, and the places of sensation from them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore I say that I put a name to it which is a man; less in the work small, and more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said in the introduction of this book; for one who does not know that I have spoken to him about anatomy, it is not clear that he will not fall into error whereby men will die; so many are there of those in this science and those who are drawn from that science and put themselves into that art, which they know little about.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Since I saw a doctor leave the head of a woman with a large abscess and cut some arteries in her neck that flowed with much blood, causing the woman to die among those who were operating on her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who thought that he had passed urine in his body, which was large, and went to him and cut it with a thread from the bladder, so that this man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called out to him to extract that, and I saw that because of the size of the urine and the state of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was paid a fee from our land for surgery; and he was looking to break the hernia of that man with his hands, and prepared the doctor in his ignorance, breaking it on the skin with powdery and steel tools, and did not allow the skin to move.
