Ayssi comensan las paraulas de Albucasim .	Thus begins Albucasis' words.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, son, I have completed this book to you, which is the last of medical science, because its end is accomplished by it, and for its explanations, and its declarations, I see that I accomplish that to you from this treatise, which is a beginning of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is laid down in our region and in our time totally deprived, except that very much the science of it, and its traces remain; and they do not end except in a few small descriptions in books of the Ancients, which have altered their more and are mistaken and wrong within that they are closed the expressions of it, and is elongated the force of it and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I animate that with an order of this treatise in that second way of expression and declaration and abbreviation; and because it comes with the forms of tools of cauterization and other instruments of the work by addition of the declaration, and by preparation of it, which necessary cause is.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause why the good artisan does not master himself in our time, is that the art of medicine is long, and that his actor goes before being exercised in the science of anatomy which connects Gualia within that he knows the springs of the limbs and their forms, and the connection and separation of them; and has the knowledge of bones, nerves, and ligaments, and their names, and the structure of them; and of the pulsating veins and the quiet ones, and places of their impression.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore says Iopracras that by a name is meant, more in the small work and more in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have said of that in the entrance of this book; for who does not know that I have told him about anatomy, it is not understood that he falls into error by which men may die, so often as I have seen examples thereof, because they are formed in this science and get from that other science and those experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor who was learned and experienced to have cut an ulcerous sore in the neck of a woman, and cut some arteries in the neck because they flowed with great blood, so that the woman died among her more.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who was learned and experienced to have cut off a great stone from a man which had passed in his state, and the stone was large, and he brought it off him by a thread of the bladder, so that that man died at the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have called it away to extract that; and I saw that by the size of the stone and the disposition of the patient under him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a fee from a duke of our land for surgery; and in the same way he fractured him in the crotch; and prepared the doctor with his ignorance, cut off the fracture, on the skin, with dust and needles to strengthen it, and did not leave the skin breathing.
