Ayssi comensan las paraulas de Albucasim .	Thus begins the speech of Alcubierrez .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, son children, I present to you this book, which is the last of medical science, to its completion, therefore, the end of it, and for the explanations, and declarations of it, I see that I fulfill that to you with this treatise, which is a beginning of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation on the body is set down in our land and in our time, all of which greatly dangers the science of it, and the traces of it remain; and except for a few small descriptions in books of the Ancients, they have changed the most and in those situations error and confusion arise, within that their sentences are closed and the force of it is elongated and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I fulfill that to you with this order of treatment in the second way of explanation and declaration and abbreviation; and for it to come with forms of instruments of cautery and other tools of the work by addition of the statement, and for preparation of it, which necessary cause is.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason that no good artisan works on his body in our time is because the art of medicine is long, and that before him being exercised in the science of anatomy which discovers Guila within it; he knows the growth of members and their shapes, as well as their connection and separation, and has knowledge of the bones, nerves, and ligaments, and their numbers, and the shape of them; and of the pulsating veins and quiet ones, and of the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore I say that a certain name is necessary, in the work small, and more so in the art of the body.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already said that in the introduction of this book; for whoever is not aware that I told him about anatomy, it is not known to me that they fall into an error because so many people die, as I have seen with some of them, since they are formed from this science and get out of that one by experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a doctor who was a young man and an experienced one had hit an abscess of scrofula in the neck of a woman, and he hit some arteries of the neck, so that blood flowed out strongly from it, causing the woman to die among its people.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who thought that he would swallow a stone from a man in his state; and the stone was large, and he brought it to him and cut it with a piece of the bladder, so that this man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have called it to be removed and I have seen that because of the size of the stone, and the patient's state, I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who took payment from a Duke of our country to perform an operation; and there he put his hand on the patient's hip, which was already broken, and prepared the doctor with his ignorance, removing the fracture from the hip, on top of sawdust and needles to make it tighter, and not leaving it at the hip's spi
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he followed his desires, and he followed prayer, and he left it at that for many days, and commanded us to remove the ligament; and thus, within that the hip was broken and the wound was open, it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to do so, and I prepared myself to remove the ligament, and achieved peace and relief of its pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption was already established in the member, so I could not restrain it, and I did not stop walking the corruption in the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who pierced a cancerous abscess and it became an ulcer within a few days, so that the malignancy of it grew up to its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is because the cancerous cauterization is pure of melancholic humor; therefore, it does not cover that it comes to him by all means, but that it is in a member that you suffer from all of them.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For thus, children, it is necessary for you that the operation on the body be divided into two operations; one is an operation that is associated with health, and another work in which there is danger to the greatest extent.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already presented in this book wherever there is a mistake and fear in it; so that it is necessary for you to keep it away from you and not allow it to turn to speaking and displease you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your arms with diligence and the protection of God, and your diseases with faith and with steadfastness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with the grace of God, that you may arrive at salvation and blessedness; leave behind the terrible diseases of difficult healing, and hold your arms from which you are afraid, so that you may not hesitate in your faith and in your name, for it remains to your glory, and then go to heaven and before your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Guilac already said in some of his admonitions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat a bad disease, so that you do not have to take care of a sick doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered from the head, in the shapes of the instruments and the tools of the cauterizations, and from that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second section:
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter is ordered from the head in the forms of the operation by the art of medicine; and from that which it is necessary for the doctor to know his causes, and his consequences, and how to treat each one, and what he cannot do.
Divisio de la tersa partida.	The division of the third section:
