Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Buqaqua.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, I have completed this book for you, which is the last part of medical science, because it follows its consequences, and for its explanations and descriptions, I consider that I have pleased you with this treatise, which is based on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since surgery is practiced in our region and at all times, when it is greatly lacking, then the science of it remains; its traces are left; and a few small descriptions of it are found in the books of the Ancients, which change their interpretations and positions, to such an extent that they are closed and extended in force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I consider that I have given life to that with the arrangement of this treatise in that second way of explanation and description and abbreviation; and because it comes with the forms of instruments of cauterization and other tools of work by addition of description, and for preparation, which is necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	May the cause for which a good artisan does not excel in his art in our time, is because the art of medicine is long, and he has to learn before all things the science of anatomy which connects Girdle within itself since it knows the spring of the limbs and their forms, and the connection and separation of them; and recognizes the bones, nerves, and ligaments, and their names, and the flexibility of them; and the pulsing veins and quiet veins, and places of sensation.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore say I that "hypocrisy" which is a name in itself, makes small work and more in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we have already said in the entrance of this book; for who does not know that I have told you about anatomy, it is not evident that he does not fall into error and cause the death of men, so many times as I have seen such ones formed in this science, and having gotten themselves from that science and those experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor who had fallen ill and experienced an ulcerous abscess in the neck of a woman, and he cut some arteries of the neck flowing with much blood until the woman died between his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who thought that he had swallowed something in his stomach, which was large, and went to him and removed that thing with a piece of the bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for him to be removed, and I saw that by the size of the thing and the position of the patient that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a fee from a duke of our land for surgery, and he put him in a black cast that was broken in his crotch; and prepared the doctor because of his ignorance, removed the fracture on the skin, with needles and threads to tighten it, and did not leave the skin breath.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he removed it according to his desires, and then he prayed, and then he left it with some days and ordered us to remove the bandage; and thus, within that time, the crotch and foot were broken, and came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called for him, and I prepared to remove the bandage, and with success there was peace and relief of their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption had already been confirmed in the member, so that he could not restrain it, and did not stop walking the corruption in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who had pierced a cancerous abscess and became ulcerated in some days, within which the evil of it spread to his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For this reason is because the hot water is pure of melancholic humor; therefore, it does not cover that it should come to you with fire of all, but that it is a member which you suffer that of all comes to you.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the surgery of the ma be divided into two operations: one in an operation to which health is associated, and a work in which danger is present in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already done that in all places of this book where surgery is performed in which it is error and fear; therefore it is necessary for you to keep that away from you and not open it, so that the pages do not rob you of your way to speak and confuse you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your arms with diligence and protection of God, and your misfortunes with help and constancy.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God, and achieve salvation and worthy succession, and keep your terrible misfortunes of difficult healing, and put your weapons away from where you are afraid, lest it be lost in your faith and in your name; because there remains to you to glorify, and then go into the monastery and behind your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Guiliam I said: "In a few months, I will leave this world, and my soul will not be in this place."
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Don't put bad medicine; because you don't know where you are going.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the head, in the forms of instruments and tools of cauterization, and from that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
