Ayssi comensan las paraulas de Albucasim .	Thus begins the discourse of Al-Bucasyi.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, I present to you this book, which is the final treatise on medicine, for the sake of completeness, it follows from it that its conclusion is in it, and because of its explanations and declarations, I consider that I fulfill that which comes before you with respect to this text, which is a description of the operation of the heart.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the operation of the heart is laid out in our region and at our time entirely deprived, then very few perils lie in the science of it, and its vestiges remain; and they would not have been except for a few small descriptions in the books of the Ancients, which changed their most things and placed them in error and confusion within that which is closed in their interpretations and is extended in their force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that I have brought to bear in this treatise the order of things regarding the explanations and declarations and brevity; and because it comes by addition to the declaration, and for the preparation thereof, which is necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why a good artisan does not master the art of surgery in our time is that the art of medicine is long, and because before it is necessary to know the actor's anatomy, which connects with the joints and separates them; and has knowledge of the bones, nerves, and ligaments, and their names, as well as the movement of the veins, pulsating and quiet, and the places of their outlet.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore I say that it is called by a name only in the small work, and more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said in the introduction of this book; for he who does not know that we have spoken to him about anatomy, does not realize that he falls into error because many people die as a result, and I have seen such errors in this science, for it is not a part of the knowledge of surgery, but gets its ideas from another science and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a doctor with a blade and an experienced one has made an abscess of a scrofulous woman in the neck, which burst out with much blood; for that she died between its contents.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I have also seen another doctor who took a stone out of a man's bladder, which was large, and returned it to him; and after three days that man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for the stone to be removed, and I saw that because of the size of the stone and the patient' s condition, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I have also seen another doctor who took a fee from a duke of our land for surgery; and he was going to operate on his crotch, which was broken, but prepared the doctor in his ignorance, removing the fracture, on the skin, with powder and needles to make it stronger, and did not leave the skin open for respiration.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he carried out the procedure according to his wishes, and he prayed, and he left him with some days; and he ordered us to cut off the limb, so that the crotch was broken by the hole, and it came to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called for it; and I prepared myself to cut off the limb, and I gained peace and eased his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However corruption was already confirmed in the limb, so I could not restrain it, and I continued to walk with the corruption in the limb until the patient' s death.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I have also seen another doctor who perforated a cancerous abscess, and it became ulcerated after a few days, until the evil of it spread to its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the sharp knife cuts off bad humors of the melancholic type; therefore, it is clear that it can reach everywhere, but it is a limb that suffers from all over the place.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation of the heart be divided into two operations: one is an operation to save life, and the other is an operation to risk death.
