Ayssi comensan las paraulas de Albucasim .	Indeed, here is the translation:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, know that I have finished this book for you, which is the latest of the science of medicine, by following your faith in me, by your demonstrations, and by your statements, so I have undertaken to explain to you this treatise, which is part of my art, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For our region and our times, surgery is a perilous art, so that the science of it is almost lost; and its vision is reduced to a few small descriptions in the books of the Ancients, which change all things and bring about those errors and excesses that arise from a lack of understanding of it and from the lengthening of its forces and art
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I know that I must explain this treatise in such a way that it follows the way of demonstration and statement, and of abbreviation; and that I must speak of the forms of the instruments of cautery and of other instruments of the work as well as for the addition of the declaration, and for the preparation of the patient, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The greatest cause why no good artisan can be found in our time for this surgery is that the art of medicine is long, and that it includes the exercise of the science of anatomy, which Gualius knew well in that he recognized the functions of the members and the forms of these, and the junction and separation of them; and the knowledge of bones, nerves and vessels, their number and their course, and their blood supply.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus speaks Hippocrates, who said that my name is nothing in the small work, but it is great in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	I have already told you in the introduction of this book that he who is not learned in anatomy will fall into error and cause the death of men, as I have often seen happen, for many are formed in this science and depart from it by this science and its experiments
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish doctor who, having incisions in the groin of a woman, caused her to bleed to death by incising several arteries of the groin.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who, having been deceived by a stone in a man’s bladder which he had treated in its time, when it grew large, went to take it out with a piece of intestine, and the man died three days later
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have often appealed in this way to extract it, and I have seen that because of the greatness of the stone and the condition of the patient I knew that he would die of it.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I have seen another doctor who was taking care of a duke from our land for surgery, and he was deceived by a black sorcerer who had fractured his thigh; and although the doctor was aware of this, in his ignorance he extracted the fracture with sponges and bandages with great tension, and did not allow the wound to breathe air
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And thus I have seen him discharge the patient according to his desires, and then relieve him, and then lie down with him for several days and commanded that he be left alone; and this happened until the thigh was loosened and the bone was fractured again, and he died of this.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I appealed to him and I saw that he discharged the liament, and he obtained tranquility and was relieved of his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was already confirmed in the limb, for he could not restrain it, and he did not cease to spread corruption in the limb until the patient was in danger of death
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who performed an incision for cancer, and he formed ulcers nearby several days later, while the cancer was growing greater than he had thought at first.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because cancer is pure melancholy humor, and it does not suffice for it to overcome it with all one’s force, but that one must also take care of the limb which suffers from it as from everything else.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	Therefore, children, you must know that surgery must be divided into two parts: the part which is associated with health, and the part which is dangerous even in the greatest precautions.
