Ayssi comensan las paraulas de Albucasim .	The sentence translates to: "Thus begins the speech of Albucasim."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, I have finished this book for you, which is the last of the science of medicine, in order to perfect your faith in it, and for the praises of its works, and for the declarations of its secrets, it seems to me that I must complete this work for you, which is a part of my art, so to speak, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For our region and our time, surgery is a perilous art, so that the science of it is almost lost; and its signs are few; and it remains only for a few small descriptions in the books of the Ancients, which change all things and even makes void the greatest knowledge and strength of it
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I declare that I have composed this treatise in such a way as to follow the way of exposition and declaration, and to abbreviate; and that I have added to it the forms of the cautery instruments and other instruments of the work as well as for the addition of the declaration, and for the preparation of the patient, which is necessary
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The greatest cause why you will not find a good surgeon in our time is that the art of medicine is long, and that it covers many actors who have not exercised in the science of anatomy, who do not know the joints and the shapes of these, and the connection and separation of these; and the knowledge of bones, nerves and lacerations, and the number of these, and their colour; and of the pulse veins and their sounds, and the places of their sensation.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said, I have no name in small works, but I have it in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Indeed, as I said at the beginning of this book, he already mentioned that anyone who is not learned in anatomy will fall into an error which will cause the death of men, as I have seen many of these fall into this error, for they are formed in this science but they throw away this science and these experiments
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a foolish doctor and expert who has incised an abscess of scrofula in the groin of a woman, and has cut some arteries of the groin so that there flows great blood within her, and the woman died between her thighs.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who believed that he could extract a stone from a man who had suffered from it for a long time, and the stone was great, and he went to him and cut out that stone with a piece of glass, and the man died on the third day
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already mentioned this, and I see that because of the greatness of the stone and the condition of the patient I know that he will die from this.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who took the stipend of a duke from our land for surgery, and he owed it to a black slave who had been injured in the thigh; and in his ignorance the doctor, without taking any precautions, extracted the fracture, over the wound, with pins and needles, and did not allow the wound to breathe.
