Ayssi comensan las paraulas de Albucasim .	Certainly. Here is the translation:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children of wisdom, I have come to you to complete this book, which is the last of the science of medicine, because of your faith in me, and for your experiences, and for your declarations, it is clear to me that you must understand this treatise, which is a part of my art, so to speak.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For our region and our time, surgery is a dangerous art, so that the science of it is in great danger; its vision is in its decline; and it does not remain among us except for a few small descriptions in the books of the Ancients, which change the most and bring about those errors and ignorance that arise from the lack of understanding of its principles and the increase of its power and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I believe that I have composed this treatise in such a way as to order the sayings and the declarations and the abbreviations; and that it is for the purpose of adding to the forms of the instruments of cautery and other instruments of the work as well as for the addition of the declaration and the preparation of it, which is necessary
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why one does not find a good surgeon in our time is that the art of medicine is long, and that it includes many actors who must exercise their skill in the science of anatomy, which Gualia knows well, since she knows the structure of the limbs and their forms, and their union and separation; and she has knowledge of bones, nerves, and lacerations, and of their number, and of their color; and of the pulsating veins and the quietness of their place.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus says Hippocrates that he who has no name is not a man, and in small works and more in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Indeed, as we said at the beginning of this book, he seen many of those who learn anatomy but do not learn it in the way that will save lives; for these are the ones who are formed in this science and depart from it by means of this science and by experiment
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish doctor who, having incised an abscess of the scrotum in the groin of a woman, has incised several arteries of the groin so that a great amount of blood flows out, and the woman died between her legs.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who took a stone from a man who had had it for a long time, and the stone was great, and when he brought it to me, I cut out that stone with a piece of the bladder, and on the third day the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already told you that in such a case, when the stone is great and the patient’s condition is bad, we must know that he will die
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I have seen another doctor who was taking care of a duke from our land for surgery, and he caused a black slave who was his servant to break his thigh in the patient’s groin; and in his ignorance the doctor, having fractured the bone, closed the wound with silk and thread of strong structure, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then I dismissed them according to their desires, and I bound him, and I left him for five days and commanded that they remove the dressing; and thus the wound festered until the bone was completely exposed and the patient died.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I went back and found that they had taken off the dressing, and there was peace and the patient was relieved of his pain
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption was already confirmed in the limb, for I could not restrain it, and I did not cease to spread corruption in the limb until the patient was in danger of death.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I have seen another doctor who performed an operation for cancer of the kidney, and caused ulcers nearby in a few days, so that the malice of the disease grew greater in the master of the house
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that black bile is pure melancholy, which does not suffice to drive out the humour from the whole body, but that it should be applied to the limb which suffers so that the whole body becomes host to the rest
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And thus, children, you must know that the art of surgery must be divided into two divisions: that which is associated with health, and that which is dangerous in the greatest conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already spoken of this in many places in this book where I have discussed the error and fear of surgery; for you must know that it is necessary for you to preserve this and leave that, so that the fools do not find fault with you and you do not suffer for it
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take the sacred arms in the request and in the protection of God, and the wicked diseases in the facility and in the firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And thus, through the goodness of God, we have reached salvation and a blessed succession, and we have laid low the terrible diseases that are difficult to heal, and we have overcome the rest of the weapons of that which you fear, so that you may rejoice in your faith and in your name, for your merit rests with your glory, and more so in heaven and behind the rest of the saints.
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already mentioned several times:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“There is no cure for a bad disease, so that no doctor shall be called by that name”.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already had to deliver this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is arranged of the head inwards of the foot, in the forms of the instruments and in the instruments of the cautery, and of what is necessary in the operation
La divisio de la segonda partida.	The division of the second part
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of swelling and perforation, and of blisters, and of wounds, and of the extraction of arrows and similar to these, all capitulated and arranged of the forms of the instruments
Divisio de la tersa partida.	Division of the third part
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and dislocation, and of treatment of twist and similar to these; chapter arranged from the head inwards of the foot, and of the forms of the instruments
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	From cautery with fire and acute medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that one begins the treatise of all the book
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Since I have said what is the quality of the instruments of that cautery and of the documents of them, and in what combination it is prohibited to cauterize
