Ayssi comensan las paraulas de Albucasim .	The text means: "Thus Commences the speech of Albucasim."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, I have finished this book for you, which is the last of the science of medicine, because of your faith in me, because of your exposure, and because of your declarations, so I have undertaken to complete this treatise for you, which is a part of my art, that is to say, surgery.</end_of_turn>
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is very rare in our land and in our time, so that the science of it is almost lost; and its witnesses are few; and it remains only with some small descriptions in the books of the Ancients, which alter the most and aggravate those errors and hesitation which were in them until understanding of them is clarified and their power and art is increased.</end_of_turn
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I believe that I have composed this treatise in such a way that it follows the way of exposure and declaration and abbreviation; and that it should be added to the forms of the instruments of cautery and other instruments of the work as well as for the addition of the declaration, and for preparation, which is necessary.</end_of_turn
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The greatest cause for which a good craftsman is not found in our time in this art is that the art of medicine is long, and that it embraces many actors who must exercise themselves in the science of anatomy, since Gualius knew the movements of the limbs and the shapes of these, and the connection and separation of these; and the knowledge of bones, nerves and veins, and the number of these, and their colors; and of the pulse veins and the quietness of these, and the places of their sensation.</end_of_turn
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus says Hippocrates that in my name is more, in the small work, and especially in the art of the hand.</end_of_turn>
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And as we said at the beginning of this book, whoever is not learned in anatomy is not worthy of the name of a physician, because many have perished by the hands of those who have erred in this science. Indeed, I have seen many who have been trained in this science and have abandoned it.</end_of_turn
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and ignorant physician who, having incised an abscess of scrofula in the groin of a woman, has inciscated several arteries of the groin so that great blood flowed into her, and the woman died between her thighs.</end_of_turn
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another physician who, because he thought that a tumor had grown in a man who was in his prime, extracted that tumor with a piece of the bladder, and the man died on the third day.</end_of_turn
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already told you that I will speak of these things, and I have seen that because of the greatness of the tumor and the condition of the patient, he knew that he would die.</end_of_turn
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another physician who took a fee from a duke from our land for surgery, and he was indebted to a black slave who was his servant; and the physician, in his ignorance, extracted the fracture, with sponges and cloths, with great tension, and did not allow the wound to breathe.
