Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, I have now completed this book for you, which is the latest of the science of medicine, to your delight, because of your faith in me, because of your exposure to me, and because of your declarations of me, behold that I must explain to you this treatise which is a part of my art, that is to say, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is highly dangerous in our land and in our time, so that the science of it is almost lost; and its vision is almost gone; and it remains only with a few small descriptions in the books of the Ancients, which change the most and cause those errors and hesitation which arise from the understanding of it and from the shortness of its force and art
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that I have composed this treatise in such a way as to follow the path of exposure and declaration and abbreviation; and that I have added to the forms of the instruments of cautery and other instruments of the work as much as possible, in order to facilitate the declaration and to prepare the work, which is necessary
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the greatest cause why no wise man can be found in our time who is able to perform this art is that the art of medicine is long, and that it requires a great actor who has been exercised in the science of anatomy, who knows the structure of the members and the form of those, and the junction and separation of them; and who has the knowledge of bones, nerves and veins, and the number of them, and their color; and of the pulse of the veins and the quietness of the body.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus says Hippocrates that I have no name, more in the little work, and most of all in the art of the hand
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And indeed we have already said in the beginning of this book that whoever is not learned in anatomy will fall into an error which will cause the death of men, as I have seen many of them who have been formed in this science and have departed from it because of this science and their experiments
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish doctor who, being skilled, has incised an abscess of scrofula in the groin of a woman, and has incsed several arteries of the groin so that there flows a great abundance of blood, and the woman died between her thighs as a result
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who, being proud, took hold of a stone from a man who was suffering from it in his belly, and the stone was great, and he brought it to me and I cut that stone out with a piece of the intestine, and the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already mentioned this, and I see that for the greatness of the stone and for the condition of the patient I knew beforehand that he would die
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who took charge of the surgery of a duke from our land, and because of his stupidity he fractured the pelvis of a black slave who belonged to him; and neglecting to prepare the patient, he cut the fracture without letting out the wound, with sponges and towels of great tension, and did not allow the wound to breathe.
