Ayssi comensan las paraulas de Albucasim .	Then apply the techniques of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus o is a book of medicine.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	And if there are many cushions on their body, that is what they call gout in their time or it is known as gout in our time.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	The intestine or other affected areas should be treated with a cushion.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Then the doctor should know that the patient has been suffering from the disease of the foot and learn about the intestine's location, the number of its veins and arteries, and its connection to other parts of the body.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	The name Hippocrates refers to a method of treating the intestine or foot using cautery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But whoever does not understand this science, let them be expelled from the house.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	The doctor was foolishly called by the woman's family, who thought it was a boil.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And if there is a need for the intestines to be purged, then a hot cauterizer should be used.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And so the patient's intestines were inflamed, causing them to swell.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here comes a doctor who was treating a nobleman for a broken bone in his leg.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The body will be destroyed if the doctors do not intervene.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	E a quietus est qui ex quolibet incommodo;
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Mays it is an error in the Latin language.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And he saw another doctor who was accused of being a magician, to whom his evil deeds are attributed.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	La qual causa es quar the first sentence in your prompt.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so it is necessary for you, sons, to think of the health of your patients as being more important than your own.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And now I have placed a cushion under its (the patient's) legs/feet, because they were in pain.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so you will be able to keep them safe from pain, but the cushion should be placed on their legs, and only then apply the cautery.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Then, for the sake of your health and by your own hand, leave behind the diseases that make you afraid, and seek the glory of the divine grace.
Gualia ja diyssec en alcunas sieuas monicios:	Another way to say it is that they are often called gouty growths.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat illnesses that you are not qualified to address.
E yeu ja he devesit aquest libre segontz tres capitols.	This book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the first chapter/section of the book, so to speak.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter will be about the treatment of gout and how to treat it properly.
La divisio de la segonda partida.	This is the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter discusses various treatments for joint pain.
Divisio de la tersa partida.	E si fa un dolor en el cuerpo, es que se applies a la partie affected by the condition.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with the treatment of an intestine injury; the third chapter deals with the use of the tools used in the treatment of the leg pain, which is caused by the same causes as a person suffering from a wound.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The surgeon will treat the patient's gout with a cauterizing tool and medicine.
Am aquel comensa le tractat de tot le libre.	When the pain starts in the legs, then you must apply your hand to the area to prevent the opening of the intestine.
