Ayssi comensan las paraulas de Albucasim .	Thus we begin to read the paragraphs of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since you have completed this book, which is the last part of the science of medicine, for the completion of it, and for its consequences, and for its declarations, it seems to me that you have compiled it for yourselves in this treatise, which is a part of my operation, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation of my mother was prostrated in our region and in our time, totally deprived, until they feared losing the science of it, and its vigilance is outdated; and there remained no remainder of it except some small descriptions in the books of the Ancients, which muddy the most and endevour to avoid those errors and hesitations until their intentions are closed and its force is elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will vivify this mother in the ordering of this treatise according to the way of exposition and declaration and abbreviation; and because it comes into the forms of the ferraments of cautery and of the other instruments of the work, as is necessary for the addition of the declaration, and for its preparation, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no artificial hand was found in this our time is because the art of medicine is long, and it covers the whole actor, denoting that it should be exercised in the science of anatomy, which Galen understood until he knew the juvenation of the members and their forms, and their conjunction and separation; and had knowledge of the osseous, nervous, and cartilaginous, and their number, and their dimension; and of the pulsating veins and quiet ones, and of the places of their issuance.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that Hippocrates said that a name is moved, more in the small work, and greatly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said that about him in the introduction of this book; because whoever does not know what we have said about anatomy, is not evacuated from falling into error, for which many men die, thus you have seen many of them, because they are formed in this science and get away from it, and their experiences.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you have seen a foolish doctor who has attempted to incise an scrophilous aposteme on the neck of a woman, and has cut some arteries of the neck so that great blood flowed out until the woman almost died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who pretended to remove a stone from a man's bladder, which had progressed in his state, and the stone was large, and he came to him and extracted that stone in a tube of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called it foolish to extract that, and I saw that because of the greatness of the stone and because of the disposition of the patient's thighs, which conduced under him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he made a cruel incision on the black crust which was devouring his fracture in the thigh; and because of the doctor's ignorance, he extracted the fracture, above the plague, with pulvination and astelation in strong structure, and did not leave the plague to breathe.
