Ayssi comensan las paraulas de Albucasim .	Thus we begin with the remedies of Albucazim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since you have completed this book, which is the last part of the science of medicine, for the completion of its consequences in it, and for its explanations, and for its declarations, it seems to me that you have fulfilled what I wanted from you in this treatise, which is a part of my operation on hand, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation on hand is spread throughout our region and in our entire private time, until they have very little perception of its science, and its investigation has been stopped; and I do not remain silent about it except for some small descriptions in the books of the Ancients, which muddy the waters and lead to those errors and hesitations until the intentions of it are closed and its strength is elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have vivified this hand in the ordering of this treatise according to the way of exposition and declaration and abbreviation; and so that they come into the forms of the ferraments of cauteries and other instruments of the work as if by addition of the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why there is no expert artist in this our time, is because the art of medicine is long and it covers the whole actor who needs to be exercised in the science of anatomy which Galen described until he knew the juices of the members and their forms, and the conjunction and separation of them; and had knowledge of the bones, nerves and ligaments, and their number, and their precision; and of the pulsating veins and quiet ones, and of the places of their establishment.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates said that a name is not enough, but rather in the small work, and mainly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said this about him in the introduction of this book; because who does not know what we have said about anatomy, is not exempt from falling into error, by which many men have died, thus you have seen many of them, because they were formed in this science and got away from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you have seen a foolish doctor who has incompetently induced an scrophilous abscess on the neck of a woman, and damaged some arteries of the neck so that great blood flowed until the woman nearly died among his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who promised that he would remove a stone from a man's bladder which had progressed to his state, and the stone was large, and he came to him and extracted that stone in a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called him to remove that, and I saw that due to the size of the stone and due to the disposition of the patient's body, he was going to die under his hands.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he made a bad incision on the thigh of a man who had a fracture in his leg; and due to the doctor's ignorance, he removed the fracture, above the wound, with pumice stones and asters in strong structure, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he dislocated the joint according to his foolish desires, and then he relaxed, and then he left it for several days and commanded that we should not disturb the limb; and it was thus until the thigh and foot became putrid with apostemes, and he came to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have already called him to it, and he has prepared himself to dislocate the limb, and thus he achieved tranquility and also alleviated his own pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption had already spread to the member, so that it could not be restrained, and did not cease to walk with the corruption in the member until the patient suffered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous abscess, and he ulcerated it for several days, until the evil of it was magnified in his lord's sense.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous tumor was pure melancholic humor, then it did not cover that it would come to him at all, but rather that it was in a member which suffered from everything, and had been held back from everything.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this, sons, it is necessary for you that the operation on hand be divided into two devotions: one is an operation where health is associated, and another work where danger is in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in every place of this book where I have found operation in which there is error and fear; because it is necessary for you to guard against that and leave it, so that the foolish ones do not take the way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take your arms in solicitude and protection of God, and your evils are abolished and strengthened.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And you have used the best way for the grace of God to obtain health and laudable success, and you have left the terrible evils of difficult healing, and you have stopped your arms from that which makes you afraid, so that you may stay in your faith and in your name you will not be evasive: because it remains in your glory, and afterwards in the world and finally among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Although there are some difficulties in this patient's joints:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no medical treatment for a bad case of gout, because bad doctors do not know its name."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have divided this book into three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Here begins the division of the book, and first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter deals with the head entering into the feet, in the forms of instruments and in the ferrumens of cauteries, and what is necessary for the operation."
La divisio de la segonda partida.	"The division of the second part."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, on suction and perforation, and of cupping glasses, and of poultices, and of extraction of arrows and of similarities to those, all capitulated and ordered according to the forms of instruments."
Divisio de la tersa partida.	"The division of the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter, on restoration and dislocation, and of curvature correction and of similarities to those; a chapter ordered from head to feet, and according to the forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cautery I make a focus and medicine acute and reminiscence of the operation."
Am aquel comensa le tractat de tot le libre.	"I begin the treatise on the entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"So that I indicate the quality of the juvenations of that cautery and of its instruments, and in what complexity it is prohibited to use cautery."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the sermon on the quality of the juvenation of cautery and of its instrument is long and prolix, and subtle for science, and secretly hidden; and already many wise men have spoken about it, and they disagree with each other, and I need a little bit of their sermons, fearing prolongation."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"Therefore I say that cautery corresponds to the entire universal complexity, which is either matter or multiple matters, except for two complexities, which are warm complexities of matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the warm and dry complexity matter disagrees; because some said that cautery is juvenated to that, and others said the opposite of that, that cautery is not convenient in bad gout which is by quality and by dryness, because the nature of fire is quality and dryness, and it is inconvenient that bad gout warm and dry matter is healed by cautery and dryness."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And they say that those who say the opposite of that, that by cautery it is made juvenation in all bad warm and dry gout that occurs in men's bodies, because when you compare men's bodies with the humidity of them to the complexity of fire, you find that men's bodies are cold."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say by the sermon of that, that experience has already taught me some things to discover."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"Moreover, I do not know what comes over that which has already been experimented and exercised in the chapter of cautery for the last exercise, and to know the diversity of the complexity of men's bodies and the disposition of their gouts in their meteyssas, and the causes of those, and their accidents, and the space of time of those."
