Ayssi comensan las paraulas de Albucasim .	Thus begin the remedies of Albucazim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since you have completed this book, which is the last part of the science of medicine, to complete its consequence in it, and for its explanations, and for its declarations, it seems to me that you have fulfilled that for you at this treatise, which is a part of my operation with my own hand, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation with my own hand has been spread throughout our region and in our time, all private; so that few people have perused the science of it, and its vision is lost; and there remain no remnants of it except some petty descriptions in the books of the Ancients, which muddy the waters and lead to those errors and hesitations until the intentions of it are closed and its force is elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will vivify this order of this treatise according to the way of exposition and declaration and abbreviation; and so that you come to the forms of the ferraments of cautery and other instruments of the work as it is for addition to the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no artificial limb has been found in our time is that the art of medicine is long, and it covers the skillful actor who needs to be exercised in the science of anatomy which reconstructs Galen, until he knows the junctions of the members and their forms, and the conjunction and separation of them; and has knowledge of the bones, nerves and ligaments, and their number, and their relation; and of the pulsating veins and quiet ones, and of the places of their movement.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates said that a name is motion, mostly in small work, and greatly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said that about him in the introduction of this book; because who does not know what we have said about anatomy, does not evacuate that he will not fall into error, for which many men die, thus you have seen many of them, because they are formed in this science and get away from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you have seen a foolish doctor who has incidentally induced an scrophilous aposteme on the neck of a woman, and incidentally cut some arteries of the neck so that great bleeding occurred until the woman almost died among his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who pretended to remove a stone from a man's bladder, which had progressed to his state, and the stone was large, and he came to him and extracted that stone in a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called him a destroyer, and I saw that because of the greatness of the stone and because of the disposition of the patient's body, he was conscious under it that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he gave to a black craftsman whose duty was to break the fracture in his thigh; and because of the doctor's ignorance, he destroyed the fracture, above the wound, with poultices and stitches in a strong structure, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And I followed the dislocations according to their desires, and I followed the reliefs, and I followed the treatments for several days and commanded that they not dislocate the limb; and it was thus until the thigh and foot were affected by apostema, and he went to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have already called him a destroyer, and he was unable to dislocate the limb, and he achieved tranquility and thus relieved his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was confirmed in the limb, so that it could not be refrained, and it did not cease to walk around the corruption in the limb until the patient suffered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous aposteme, and he ulcerated for several days, until the malignity of it was magnificent in his lord's sight.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous humor is pure melancholy, then it does not cover that it will not come to him at all, but rather it is in the member which suffers from everything, as if it were held by all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this, sons, it is necessary that the operation with my own hand be divided into two devotions: one is an operation associated with health, and another is a work in which there is peril in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in every place of this book where I found opposition in which there is error and fear; because it is necessary for you to guard against that and leave it, so that the foolish ones do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take up your arms in solicitude and protection of God, and your evils are fallen and are confirmed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And you will follow the best way for the grace of God, leading to salvation and laudable success, and you will leave the terrible evils of difficult healing, and you will put away your arms from what makes you fear, so that you may have faith in your heart and in your name you may not be evasive: because more remains in your glory, and thus also in the world and afterwards among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Because the disease has been located in certain moist places:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Not to medicate bad patients badly, so that bad doctors are not named."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have devoted this book to three sections."
Comensa la divisio del libre, e primier de la primieyra partida.	"Here begins the division of the book, and first of the primary partition."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter deals with the head and feet, in the forms of instruments and in the ferrumens of the cauteries, and what is necessary for the operation."
La divisio de la segonda partida.	"The division of the second partition."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, on suction and perforation, and on cupping glasses, and on poultices, and on extraction of arrows and on similarities to those, all chaptered and ordered according to the forms of the instruments."
Divisio de la tersa partida.	"The division of the third partition."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter, on restoration and dislocation, and on treatment of twisting and on similarities to those; chapter ordered from head to feet, and according to the forms of the instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cauteries I make a focus and acute medicine and reminiscence of the operation."
Am aquel comensa le tractat de tot le libre.	"At this point begins the treatise of the entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"I will discuss the quality of the juices of that cautery and of its instruments, and in which complex situation it is prohibited to use cauteries."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the sermon on the quality of the juice of the cautery and of its instrument is a long and prolix sermon, subtle for science, and secretly hidden; and already many wise men have spoken about it, and they disagree among themselves, and to me it seems enough to take a small part of their sermons, fearing prolongation."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"Therefore I say that cauteries universally confer to all complex situations the quality of matter or its matter, except for two complex situations, which are complex situations devoid of matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the complex situation of dry and withered matter they disagree; for some said that cauteries are useful for that, and others said the contrary, that cauteries are not convenient in a bad illness which is by quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that a bad illness, dry and withered, may be healed."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And they say that one who says the contrary of that, that by cauteries it is made useful in all bad dry and withered illnesses that are seen in the bodies of men, because when you compare the body of man and its humidity to the complex situation of fire, you find the body of man to be cold."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say by the sermon of that one, that I have already experimented and discovered many times at my own expense."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"Moreover, I do not know that it comes over that one who has already been experimented and experienced in the chapter of cauteries by last exercise, and to have known the diversity of the complex situation of men and the disposition of illnesses in their metesises, and the causes of those, and the accidents of those, and the space of time of those."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"Moreover, in the other complex situations, it is not about your fear, and mainly in the cold and humid illnesses, because all doctors have agreed on those, and do not disagree about the usefulness of cauteries in those."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And know, sons, that the secret of cure by cauteries is fire and its goodness, so concerning cauteries, it is a comburent medicine, because fire is simple, whose action does not reach except to the member which is cauterized and does not harm another member unless it is adjusted with a small benefit."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"Moreover, the action of comburent medicine reaches to that in the members which are near it, and strengthens them to come into the ailing member with difficult healing and strengthens them to listen."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"Moreover, fire, by its sublime quality and good substance, does not do anything but superfluously, and it is already known to us through experiment and long duration of service in the art about the truth of causes; and for that I have been excused from the length of the sermon, and if it were not that it is not read in my book in this passage to you secretly hidden fire, and the quality of its operation in bodies and of the expulsion by which it expels illnesses, a philosophical sermon demonstrative, which would be acquiesced in your pestilent pages."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And know, sons, that they disagree about the time in which it is convenient to use cauteries and pause at the best time of spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cauteries are convenient at all times, because the harm from the accidental time is submerged in the usefulness of that which I have with cauteries, and mainly if the cautery is for pains or necessary pains, strong and steady, which do not suffer tardiness because it is feared that those who bring evil may come, which is more than a small harm entering at that time."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And thus I do not cater to your pestilent pages, or, sons, that which is not esteemed except by the common people and foolish doctors, so it is that at that illness which is healed by cauteries, it is not returned at all times, and they pause at that consequence."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not so because the doctors do not burn in that place of medicine which alters the complexion and dries out the humors which are the cause for why pains occur.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Maybe the emperor's cautery is excessive on the medicine to demonstrate his worth and virtue of his operation and greatness of his lordship.
