Ayssi comensan las paraulas de Albucasim .	Thus begin the rules of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since you have completed this book, which is the last part of the science of medicine, for the completion of its consequence, and for its explanations, and for its declarations, it seems to me that you complete it at your own pace in this treatise, which is a part of the operation with my hand, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation with my hand is spread throughout our region and in our time of total privacy, until they strongly perceive the science of it, and its vigilance is established; and no one remained of it except some small descriptions in the books of the Ancients, which muddy the hands and endeavor to correct those errors and hesitations until the intentions of it are closed and its force is elongated and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will vivify this order of this treatise in the second way of exposition and declaration and abbreviation; and so that you may come into possession of the forms of the ferramentz of cautery and of the other instruments of the work, as it is for addition of the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no artificial expert is found in our time, is that the art of medicine is long, and it covers the actor who needs to be exercised in the science of anatomy, which Galen discovered until he knew the juvenation of the members and their forms, and the conjunction and separation of them; and he had knowledge of the bones, nerves, and ligaments, and the number of them, and their size; and of the pulsating veins and quiet ones, and of the places of their issuance.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that Hippocrates said that a name is a word, mostly in small works, and greatly in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said that in the introduction of this book; because whoever does not know what we have said about anatomy, is not exempt from error, for which they will be mortally wounded, thus you have seen many of them, because few are formed in this science and get away from it with their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you have seen a foolish doctor who has inadvertently induced an scrophilous abscess in the neck of a woman, and has cut some arteries of the neck so that great bleeding occurs until the woman almost dies between his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who pretended that he would remove a stone from a man's bladder, which had progressed to his state, and the stone was large, and he came to him and performed a trephine operation on the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called him a destroyer of that, and I saw that because of the greatness of the stone and because of the disposition of the patient's body, he would know that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he ended up with a black crust that was on the fracture in his thigh; and because of the doctor's ignorance, he destroyed the fracture, above the wound, with poultices and astellas in strong structure, and did not leave the wound to breathe.
