Ayssi comensan las paraulas de Albucasim .	Thus begin the paragraphs of Albucazim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since you have completed this book, which is the last part of the science of medicine, for the completion of its consequences, and for its explanations, and for its declarations, it seems to me that you complete what you want in this treatise, which is divided into operative parts, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the operation of my hand is spread out in our region and in our entire private time, until the very few people who possess the science of it, and its vigilant sight has been stopped; and there remains no remainder of it except some small descriptions in the books of the Ancients, which muddy the waters and lead to those errors and hesitations until the intentions of it are closed and its force is elongated and its art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will vivify this hand in the ordering of this treatise according to the way of exposition and declaration and abbreviation; and so that you may come with the forms of the ferramentz of cautery and of the other instruments of the work, as it is for addition of the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why there is no artist who has mastered this art in our time, is that the art of medicine is long and requires the actor to have been exercised in the science of anatomy, which Galen reconstructs until he knew the juices of the members and their forms, and their conjunction and separation; and had knowledge of the bones, nerves and ligaments, and their number, and their position; and of the pulsating veins and quiet ones, and of the places of their sentiment.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates said that a name is vain, more in small works, and greatly in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said this at the beginning of this book; because whoever does not know what we have said about anatomy, is not exempt from error, for which many men die, thus you have seen many of them, because they were formed in this science and got away from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you have seen a foolish doctor who, in his imprudence, has caused a scrophilous aposteme to occur on the neck of a woman, and has cut some arteries of the neck so that great blood flowed out until the woman died between their hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who pretended to remove a stone from a man's bladder, which had progressed to his state, and the stone was large, and he came to him and extracted that stone in a trope of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called it a futile effort to extract that stone, and I saw that due to the greatness of the stone and due to the disposition of the patient's body, I knew that he would die under my hands.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipend from a duke of our land to perform surgery, and he made a bad incision on the patient's thigh, which was devoured by the fracture in his hip; and because of the doctor's ignorance, he extracted the fracture, above the wound, with poultices and asters, using strong stretching, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And I followed the dislocations according to their desires, and I followed the relaxation, and I followed the loosening for some days and commanded that they not disturb the ligament; and it was thus until the thigh and foot became apostematous, and I saw them going to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have already called it futile, and I had to dislocate the ligament, and consequently I achieved tranquility and thus relieved them of their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption had already spread to the member, so that I could not contain it, and I did not cease to walk with the corruption in the member until the patient suffered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous aposteme, and it was ulcerated for several days, until the malignity of it was magnified in his lord's sense.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous tumor is pure melancholic humor, therefore it does not fit that it would come from anywhere else, but rather it is in a member which suffers from everything, as if it were held hostage.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this, sons, it is necessary for you that the operation of my hand be divided into two devotions: one is an operation associated with health, and another work in which there is danger in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in every place of this book where I found operation in which there is error and fear; because it is necessary for you to guard against that and leave it alone, so that the foolish ones do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms in solicitude and protection of God, and your evils are fallen and firm.
