Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin thus.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, now I have completed this book for you, which is the last of the science of medicine, since its completion has led to its end, and through its explanations and declarations, it seems to me that you will be able to understand that treatise, which is a part of my operation, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For my operation is scattered throughout our region and in our time, deprived of everything, so that the science of it is very much endangered, and its investigation remains stalled; and there remain no more than some small descriptions in the books of the Ancients, which have been corrupted by many errors and confusions, until their intentions are sealed and the force of it and the art are exhausted.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it appears to me that you should bring this order of the treatise to life through the method of exposition and declaration and abbreviation; and so that I may provide the forms of surgical instruments and other tools of the craft, as well as add to the declaration and prepare for it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a good craftsman is not found with his own hand in our present time, is because the art of medicine is long and complex, and one who wishes to be proficient in it must first be exercised in the science of anatomy, which was known by Galen, so that he may know the joints of the members and their forms, as well as their conjunction and separation; and have knowledge of the bones, nerves, and ligaments, and their number, and their arrangement; and of the pulsing and quiet veins, and the locations where they are inserted.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore says Hippocrates that with a great name comes little honor, but most of all in the craft of one's hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of him in the introduction to this book; for one who is not knowledgeable about anatomy as we have described it, will not be spared from falling into error which will cause men's deaths, just as I have seen many of them, since some are formed in this science and think they know it without true knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish and inexperienced doctor who had inserted an abscess in the neck of a woman, and had cut through some arteries of the neck so that great blood flowed out, until the woman died among her companions.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who had applied a poultice to a man's wound, which was great and had progressed in his condition, and the poultice came loose from his skin, so that that man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you yourself had previously said that it would not work out for this one, and I saw that because of the great size of the wound and the patient's condition, you knew he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took pay from a duke of our land for surgery, and endeavored to set the fracture of a blacksmith on his leg; but the doctor's ignorance was revealed, as he extracted the fracture, placing it above the wound with pillows and bandages with excessive tension, and did not allow the wound to breathe.
