Ayssi comensan las paraulas de Albucasim .	The words of Albucazim begin thus.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, I have completed this book for you, which is the last of the science of medicine, because it follows from its conclusion to its end, and through its explanations and declarations, it seems to me that you should complete that in you and this treatise, which is a part of surgical operation with my own hands.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the surgical operation with my own hands is almost extinct in our region and in our time, to the point that little remains of its science, and its practice is obscure; and there are hardly any descriptions of it left in the books of the Ancients, which have been corrupted and distorted by those errors and misunderstandings to the point that the intentions of it are sealed and the force of it and the art have been stretched.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you should revitalize that order of this treatise through the second way of exposition and declaration and abbreviation; and for the purpose of adding the forms of instruments such as cauteries and other tools of the craft, so that it may be added to the declaration and prepared in advance, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why one cannot find a good craftsman with his own hands in our time is because the art of medicine is lengthy, and one's actor must be exercised beforehand in the science of anatomy which Galen knew so well that he could recognize the joints of the members and their forms, and their conjunction and separation; and have knowledge of the bones, nerves, and ligaments, and their number, and the arrangement of them; and of the pulsating veins and quiet ones, and the places of their effusion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore I say with Hippocrates that a name is but a sound, much more in the small work and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this about him in the introduction to this book; for whoever is not knowledgeable in anatomy as we have taught it will not be spared from falling into error by which men are killed, just as I have seen many of them, since some are formed in this science and take themselves out of that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish and inexperienced doctor who inserted an abscess in the throat of a woman, and cut some arteries of the throat so that great blood flowed out, until the woman died between her own hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who forced the removal of a stone from a man whom he had operated on in his state, and the stone was large, and it came out to him and pulled that stone with a piece of the bladder, so that that man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already warned him to remove it, and I saw that because of the largeness of the stone and the disposition of the patient he would surely die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took stipend from a duke in our land for surgery, and endeavored to set a broken leg of a black man on his own; and the doctor prepared himself with his ignorance, extracted the fracture, over the wound, with pulleys and stays with strong tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he loosened it according to his own desires, and then he relaxed it, and then he allowed it to become loose for some days and commanded that we loosen the bandage; and thus it happened that the leg and foot became abscessed, and ultimately led to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the bandage, and subsequently achieved his tranquility and alleviation from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile corruption was confirmed in the member, so that I could not restrain it, and did not cease to spread corruption in the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess and let it ulcerate just a few days later, so that the great evil spread its malevolence to the lord of the house.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is because the cancerous humors are pure of melancholic humor, so that it does not need to be driven out with iron throughout, but rather remains in the member which suffers and is entirely hostile.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation with my own hands be divided into two parts: one being an operation associated with health, and another being an art in which there is peril in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in every place of this book where the operation is in which there is error and fear; therefore it is necessary for you to guard this and keep that, so that foolish people do not find a way to speak and to despise you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your own arms with solicitude and protection of God, and your own sick people with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to obtain salvation and glorious success, and keep the terrible diseases at bay from difficult healing, and remain steadfast with your arms from now on that make you afraid, so that your expectation in your faith and in your name does not deceive you: for it is remaining to your glory, and even more in this world and in the next to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen has already said in certain of his writings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Touch not the fallen, lest you fall yourself".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, ordered by the head to the feet, in the forms of instruments and ironmongery of cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on suction and perforation, and on cupping glasses, and on wounds, and on the extraction of splinters and similar things, all categorized and ordered by the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of torticollis and similar things; a chapter ordered from head to feet, and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauteries with fire and acute medicine, and recollection of the operation.
