Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin here.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, now I have completed this book for you, which is the final part of the science of medicine, since its completion has brought it to an end, and through its explanations and declarations, it is my wish that you may learn from this treatise, which is a part of surgery, carried out by myself.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the surgery done by me is spread out in our region and in our time, and it has been utterly privatized; so that the science of it is greatly endangered, and its practice is obstructed; and there remain only a few small descriptions in the books of the Ancients, which have been altered more and corrupted into those errors and mistakes, until the intentions of it are closed off and the force of it and the art are exhausted.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is clear to me that you must revitalize that ancient order of this treatise through the method of exposition and declaration and abbreviation; and so that the forms of the instruments of cautery and other tools of the work may be added to the declaration, and prepared for use, which necessity arises.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a good craftsman cannot be found with his own hand in our present time is that the art of medicine is long and requires its actor to have been exercised beforehand in the science of anatomy, which was understood by Galen, so that he knows the joints of the members and their forms, and their conjunction and separation; and has knowledge of the bones, nerves, and ligaments, and their number and arrangement; and also of the pulsating veins and quiet ones, and the locations of their effusion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore says Hippocrates that a name is not enough, but rather in small work and most of all in the art of one's hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this about him in the introduction to this book; for whoever is not well-versed in anatomy as we have described it, will not be spared from falling into error by which many men are killed, just as I have seen many of those who are thus formed in this science and take themselves out of that without science or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish and inexperienced doctor who had caused an abscess to form in the throat of a woman, and had cut some arteries in the throat so that a great deal of blood flowed, and as a result the woman died between them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you saw another doctor who ordered that a stone be removed from a man's bladder, which had progressed in his condition, and the stone was large, and he came to him and removed that stone with a piece of his own intestines, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you yourself had already appealed to remove it, and saw that due to the largeness of the stone and the condition of the patient, one could conclude above him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you saw another doctor who took payment from the duke of our land for surgery, and endeavored to set the fracture of a blacksmith's broken leg; but the doctor prepared it with his ignorance, removed the fracture above the wound with pulleys and astels with great tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he loosened it according to his desires, and then relaxed the bandage, and then loosened it again after some days and commanded us to loosen the bond; and thus it was that the leg and foot became gangrened, and came to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you were called to him, and I prepared to loosen the bond, and as a result he obtained relief and began to be freed from his pains.
