Ayssi comensan las paraulas de Albucasim .	The opening words of the treatise begin: "Thus begins the words of Albucaisem."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, now I have completed this book for you, which is the last part of the science of medicine, because it has been concluded by its own result, and through its explanations, and through its declarations, it seems to me that you will be able to grasp that which belongs to you in this treatise, which is divided from my operation, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For my operation is abolished in our region and at our time, entirely private, except that little light remains of it, and the remnants of it are left; and there remain no more than some small descriptions in the books of the Ancients, which have been modified by most errors and misunderstandings, until the intentions of it are sealed and its force and art are lengthened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will revitalize that same order of this treatise according to the way of exposition and declaration and abbreviation; and so that you may be familiar with the forms of the cauterizing instruments and other tools of the craft, as is necessary for addition to the declaration, and preparation for the work, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no good craftsman can be found in our time who has his own hand is because the art of medicine is long-winded, and it requires its own practitioner to have been exercised in the science of anatomy, which Galen knew, so that he could know the joints of the members and their forms, and their conjunction and separation; and having knowledge of bones, nerves, and ligaments, and their number, and the arrangement of them; and of the pulsating veins and quiet ones, and the places where they are inserted.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hippocrates says that a name is not much, but in the small work, and most of all in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of that in the introduction to this book; for whoever is not knowledgeable about what we have said about anatomy, will not be freed from error by which men will die, just as I have seen many of them, since some are formed in this science and fall short of its science and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish doctor and ignorant cut open the esophagus of a woman, and cut through some arteries of the neck, so that a great deal of blood flowed until the woman died between her hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who insisted that he pull out an abscess from a man's body which had progressed in his condition, and the abscess was large, and it came to him and tore open that abscess with a piece of the intestines, so that that man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you had already been asked to pull it out, and I saw that due to the size of the abscess and the condition of the patient, I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was receiving a stipend from a duke in our land for surgery, and he applied himself to a blacksmith's apprentice who had a fracture on his thigh; and the doctor, with his ignorance, pulled out the fracture, above the wound, with pulleys and astals with strong tension, and did not allow the wound to breathe.
