Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuccassis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Therefore, as Albuccassis has completed this book for you, the last of the science of medicine, it is fitting that he conveys it to you through this treatise, which is divided into surgical procedures.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the art of surgery has been altogether abandoned in our region and in our times, due to great danger that threatens the science itself and its tools are lost; there remains only a few brief descriptions of it in the books of the ancients, which are altered by many errors and obscured until their true meanings and the power of the art become obscure.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It appears that I will revive this treatise in accordance with its original structure of exposition and clarification and abbreviation; and for the forms of cauterizing instruments and other tools necessary for the work, the explanation and preparation are essential.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	One of the reasons why there are few skilled artificers with their tools in this time is that the art of medicine is long, and that its practitioner must be familiar with anatomy, which includes knowledge of the joints and their forms, as well as their connection and disconnection; knowing the bones, nerves, and ligaments, and their number, and their excrescence; and the pulsating veins and quiet veins, and the locations for their issuance.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And according to Hippocrates, who has a name that is much in word, but small in deed, and even more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about that [Hippocrates] in the beginning of this book; for whoever does not know what we have said about anatomy, is not worthy to be considered a doctor, as I myself have seen many who are ill-informed about this science and practice medicine outside their field and through experimentation, which often leads to the death of patients.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and inexperienced doctor perform an abscess called "escrophilos" on the neck of a woman, and cut some arteries of the neck causing a large amount of blood to flow into it, which led to the death of the woman among those present.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who pretended to pull out a stone from a man's bladder, which was already infected, and the stone was large, and he cut part of the bladder in order to extract it, but the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called for it to be extracted, and I saw that due to the size of the stone and the condition of the patient, it was evident that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another doctor who received a salary from a duke of our land to perform surgery, and then operated on a black slave who had fractured his hip; and with his ignorance, the doctor cut the fracture open in the wound using pulvins and large staples, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he wrapped it according to his wishes, and rebandaged it, and kept it dry for several days and commanded us not to unwrap it; and thus it became an abscess, and led to its destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to unwrap the bandages, but he obtained peace and subsided with his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption was already confirmed in the member, so that it could not be stopped, and the corruption spread throughout the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who pierced an abscess cancerous, and it was ulcerated after several days, to the aggravation of the malice of it by its master.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancerous tumor is pure of melancholic humor, therefore it does not necessarily have to affect everything, but rather only an organ or part of the body which is susceptible to its hostility.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my son, it is necessary for you to be careful with the operation in two ways: one is associated with health, and the other is with danger in greater circumstances.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I myself have already experienced this in many places where there is surgery that involves error and fear; therefore it is necessary for you to be careful and to avoid this, so that the foolish do not speak falsely about you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with caution and the protection of God, and your patients with happiness and firmness.
