Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Therefore, my children, since I have completed this book for you, which is the last of the knowledge in medicine, by completing it you will attain its end, and by reading its explanations and clarifications, I find that I should complete this treatise on surgery for you.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the art of surgery is almost entirely obsolete in our kingdom and time, due to the great danger it poses, and the instruments of surgery are lost; only a few small descriptions remain in the books of the ancients, which have been corrupted by many errors and hazards until their meanings are obscured and their power diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I find it appropriate to arrange this treatise according to the method of explanation and clarification and abbreviation; and so that the forms of cautery instruments and other tools of the work come with their explanations and preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	One reason for the scarcity of good craftsmen in this field is that the art of medicine requires lengthy study, and the one who practices it must have knowledge of anatomy, which includes knowing the joints and shapes of members, their connection and separation; having knowledge of bones, nerves and ligaments, and their number, and the extraction of them; and of the pulsating veins and quiet ones, and the locations for their incision.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates said, a word is a small thing in itself, but it has great significance in work and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And we have already said about this in the introduction of this book; whoever is not well-versed in anatomy is not qualified to avoid falling into error, which can lead to the death of men, as I have seen many of these people, some are ignorant of this science and abandon it after their learning and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and experienced doctor make an abscess called scrophulus on the neck of a woman, and he cut some arteries in her neck so that a large amount of blood flowed until the woman died among them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I also saw another doctor who believed he could pull out a stone from a man in his condition, and the stone was large, and it came to him and cut a piece of the bladder while pulling out the stone, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already stated that this is the case, and I saw that due to the size of the stone and the condition of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I also saw another doctor who received a salary from a duke of our land to perform surgery, and he went to a black castellan who was owed a fracture in his thigh; and the doctor prepared himself with his ignorance, extracted the fracture, on the wound, with pulvines and splints of strong construction, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	He laid it open as desired, and he applied the dressing, and he left it to heal for several days and commanded us to remove the bandages; and so it was until the thigh and leg became abscessed, and this led to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you are called upon to him, and prepare to unbind the liniment, and peace and quiet is obtained, and he may then alleviate his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption had already spread in the limb, so it could not be restrained, and the corruption continued to spread through the limb until the patient was at risk.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor pierced an abscess full of cancer, and it became an ulcer close to several days, until the evil within it was magnified by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancerous growth is pure of melancholy humor, and therefore it should not come upon him with all ferocity, but rather on an organ or member that is most vulnerable to it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my son, it is necessary that the operation be divided into two parts: one part is the operation associated with health, and the other part is the operation in which danger lies in greater decisions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already examined this matter in every place of this book where the operation is carried out with error and fear; therefore it is necessary for you to guard against this and let go of that, so that foolish people do not find a way to speak and mislead you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take your weapons with caution and the protection of God, and your patients with compassion and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to be lost in salvation and a blessed succession, and set aside the terrible diseases that are difficult to heal, and lay down your weapons from that which causes you fear, so that examination in your faith and in your name does not cause you to be led astray: for it remains with your glory, and moreover in this world and in the next to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualla now says in some of her teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat an evil disease, so that bad doctors do not become known."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and it starts with the first chapter of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is arranged for the foot, regarding the shapes of instruments and the fire of cauteries, and what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter is about cysts and piercing, wounds, sores, extraction of bladders and similar things, all arranged in the shapes of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is about restoration and dislocation, and treatment of twisting and similar things, arranged for the foot, and in the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauteries with fire and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	That is where the treatment of the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I speak about the quality of the juxtaposition of the cautery and its negative effects, and in what circumstances cauterization should be prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the juxtaposition of the cautery and its negative effects is a long, detailed, subtle discourse full of science, hidden secrets; and many wise people have already spoken at length about it, and they disagree, and to me it amounts to only a small part of their discourses, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that the use of cauterization applies universally to all matters or substances, with two exceptions, which are situations without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the situation without matter and dry, there is disagreement; for some say that cauterization is beneficial in this case, while others say the opposite, that cauterization is not suitable for a disease that is due to quality and dryness, because the nature of fire is quality and dryness, and it is appropriate that a dry and desiccated disease be treated with wet things.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that he who says the opposite is correct, that cauterization is beneficial in all dry and desiccated diseases that occur in the bodies of men, because when you compare the bodies of men and their humidity to the nature of fire, the bodies of men are burned by it.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say from experience that this has been observed in some cases by me.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not necessary to reiterate that which has already been expounded and exercised in the chapter on cauterization by previous exercise, and to know the diversity of human bodies and the disposition of diseases in their bodies, and the causes of these diseases, and the accidents associated with them, and the time span of these conditions.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other situations, there is no need for fear, and especially in wet and cold diseases, because all doctors agree on these, and there is no disagreement about the beneficial effects of cauterization in these cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you, my sons, know that the secret of healing by cauterization with fire and the goodness of it is that cauterization with burning medicine is superior to cauterization with fire, because fire is simple, its action does not extend beyond the member being cauterized and is harmful only to a small extent to neighboring members.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	However, the action of burning medicine extends to adjacent members, and it has a strong effect in bringing disease to the diseased member that is difficult to heal and causes pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its sublimity and the goodness of its substance, does not do this, except that it superfluesc. It is already known to us by experience and by the length of service in the study of the art concerning the truth of the causes; and because of that, I am excused from the length of the sermon. If it were not forbidden in my free speech here, I would reveal secretly hidden about fire, and the quality of the operation in the bodies and its expulsion through which diseases are expelled, philosophical demonstrative discourse, which sharpens your thoughts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Know, sons, that they disagree about the time in which it is appropriate to perform cautery and pause the best time of springtime.
