Ayssi comensan las paraulas de Albucasim .	Ayssi learns words from Albuquerque.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O my sons and daughters, here you have completed this book, which is the last in the field of medicine, to mark your achievement by its completion, as well as for the expositions and explanations contained within it, I think that I should present this treatise to you, which forms part of the work on surgery done by me.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The work of our science has been laid prostrate in our realm and during our time, being entirely privatized so that few people have access to it; only some small descriptions in the books of the ancients remain, which lead to more errors and heresies as they close the meaning of these works and prolong the era of ignorance.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	I understand that you want to bring the aforementam order of this treatise to life in accordance with its exposition and declaration as well as abbreviation; and so that it may be translated into the forms of cautery tools and other instruments of work through addition by way of declaration, and preparation for use, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which there is no short cut made by the artist in this time of ours, is that the art of medicine is lengthy and requires its actor to be exercised in the science of anatomy, as Gualia told us who knew the movements of the limbs and their shapes; the union and separation of them; his knowledge included the bones, nerves, and ligaments, with the names of those parts and their strengths. He also understood arteries pulse-filled or still, and locations of their output.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	SIP OF WINE SAYS HYPOCRISY THAT IF YOU HAVE NO NAME IT MAY BE IN THE LITTLE THINGS AND MOSTLY IN THE ART OF THE MODERN.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	In the introduction to this book, we have mentioned that those who are not knowledgeable about anatomy may fall into errors which can cause many men to die, as I have seen too often with these people who are formed in this science and yet disregard its teachings through their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a folded sheet and the emperor was about to develop an esophageal hemorrhage in the neck of a woman, causing some arteries of her neck to bleed profusamo which caused the woman to die among many others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	Another physician who was less skilled than the usual healer pulled a stone from a man who had suffered an injury in his estate; and the stone was large. He tried to remove it using only tweezebar, but on the third day, that man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	By the sound of your appeal to me, I understood because of the enormity of the stone and due to my illness that you would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	In our land, there was another surgeon who took the salary of a duke for surgery, and ended up causing a black crust which resulted from his fracture during the procedure; unfortunately, due to the surgeon's ignorance, he improperly repaired the fracture, on a pillow with straps and strong tensioning rods, without fixing it properly.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	They followed the wishes of their lords, and adhered to the laws, and obeyed them without question day by day; yet so it happened that misfortune befell them due to carelessness and lack of foresight.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	You fled to her name and unraveled the letter, gaining tranquility and an endless relief from your sorrows.
